fixture_id,team_id,team,opponent_id,opponent,date,opp_n_prior,h2h_n_prior,h2h_last3_winrate,h2h_last3_margin,opp_concede_tries,opp_concede_metres,opp_concede_db,opp_concede_breaks,opp_concede_offloads,opp_concede_passes,opp_concede_lineout_steal,opp_concede_scrums,opp_turnovers_conceded,opp_missed_tackles,opp_runs,opp_tackles,opp_possession,opp_pens_conceded,opp_scrum_success,opp_scrums_won,opp_lineout_success,opp_lineout_steal,team_wr_pos,team_wr_pts,opp_wr_pos,opp_wr_pts,wr_pts_gap,wr_rank_gap
8380627,1817,Ireland,2117,Scotland,2023-03-12,13,3,1.0,13.0,2.7515169890661677,427.981858055743,17.662201754510928,3.5736264182782804,6.300037704264095,159.39011411867799,0.6289891839197358,3.9276576847143456,12.944461139896879,17.662201754510928,111.59239612079271,167.96926705547938,0.4980928118837269,9.911018696360756,0.649852396216716,3.6914559523853487,0.9412058503579682,1.2255117060048992,1,91.32874203635036,5,83.2585104325376,8.070231603812758,4
8380636,2117,Scotland,2873,Italy,2023-03-18,14,3,1.0,21.333333333333332,4.08269897421837,411.53928587282303,21.457982407809034,5.546079540507595,7.0710507775943094,137.2953541704557,1.559280925112654,4.171752964035696,14.010527636597503,21.457982407809034,122.14048645526613,127.60171357288013,0.5278607432729541,10.992001506506782,0.8142709520087145,6.921905202606632,0.9033292157212706,0.48383153042694294,5,82.76553359291889,14,74.63308367041473,8.13244992250415,9
8380636,2873,Italy,2117,Scotland,2023-03-18,14,3,0.0,-21.333333333333332,2.8178719445422056,455.75888454730165,15.616085787233082,3.9545255193944704,7.021036203305315,163.02450090550562,1.262144410681311,3.6799357815754,13.22633245899491,15.616085787233082,113.83756442814843,168.77859461810692,0.49593170569702005,9.93478028239029,0.7113110607127895,4.574970250384738,0.8607717767586783,1.4323312228468053,14,74.63308367041473,5,82.76553359291889,-8.13244992250415,-9
8380645,1967,France,1517,Wales,2023-03-18,14,3,1.0,7.666666666666667,3.2541137114101377,448.18142787327605,27.31898180649389,7.663534189986873,5.836363560284753,159.04880807081415,0.8798651217649786,5.947025007340193,10.98441620358329,27.31898180649389,115.33145598866297,155.46290846140883,0.48472699880799197,13.432562645983454,0.7432185912490322,4.121153225412239,0.8418174040948642,1.3169329739905031,2,90.46912274734876,9,78.07789613604628,12.391226611302486,7
8380645,1517,Wales,1967,France,2023-03-18,14,3,0.0,-7.666666666666667,2.1503968055435294,471.9380354359648,17.791156903477123,3.062675512189408,5.117296329646636,178.86233823228994,0.2513427362626154,4.610995615752306,11.580669482764542,17.791156903477123,107.9033245766997,165.0347102125304,0.4601925858127348,11.466673304831842,0.8038670120027201,3.5410674728389107,0.8919817416249614,0.6892879416588926,9,78.07789613604628,2,90.46912274734876,-12.391226611302486,-7
8380654,1817,Ireland,1667,England,2023-03-18,14,3,0.6666666666666666,6.666666666666667,3.521515261386006,417.82460581851905,24.58440954084705,6.024909845250232,8.317486900315288,146.43944814281554,0.7169103646265949,5.19289294354723,14.80563312208678,24.58440954084705,120.40431069163016,143.52495930127128,0.5113418016321917,8.682719462490343,0.874264332673679,5.048953193086839,0.9189275781768451,0.0717423573163854,1,91.82171887596908,6,82.11643046426532,9.705288411703762,5
8380654,1667,England,1817,Ireland,2023-03-18,14,3,0.3333333333333333,-6.666666666666667,1.2252214106569068,495.22159770862095,25.758988103183228,4.467328865668441,8.423388285867253,181.1465871742315,0.8197111727297288,4.791490878572701,10.964817852281564,25.758988103183228,141.00491814697935,150.19287245052084,0.5199422155957729,8.91069817605442,0.7475576876906772,4.177865112723574,0.8597933116216112,1.4963615853856003,6,82.11643046426532,1,91.82171887596908,-9.705288411703762,-5
8428786,1967,France,1817,Ireland,2024-02-02,15,3,0.6666666666666666,-1.6666666666666667,1.1759257645943744,446.3636634560022,23.404099782492153,3.4895361151275073,7.455213090173099,169.2951784247272,0.6402957622386528,5.0560049748988956,12.942405773276064,23.404099782492153,137.2829432963165,148.6185225987034,0.522143626992309,8.492491484495291,0.7590360709347967,4.1389346415125114,0.859838550824743,1.168843385052916,4,87.81117023957685,2,90.57071554542748,-2.7595453058506223,-2
8428786,1817,Ireland,1967,France,2024-02-02,15,3,0.3333333333333333,1.6666666666666667,2.5547868718405247,448.77615438941285,18.274089788173526,3.486244621721974,7.496648437133669,176.4874387451667,0.19639013557229507,4.696046025054812,11.67235028012337,18.274089788173526,107.0499168354711,160.65439890285668,0.46015047959783806,10.271461063205821,0.8467487675365363,3.8600428201727417,0.8937348225266307,0.757220820585802,2,90.57071554542748,4,87.81117023957685,2.7595453058506223,2
8428795,2873,Italy,1667,England,2024-02-03,15,3,0.0,-24.333333333333332,3.6262793707429637,428.5915456139726,26.42700088810696,6.457355322114188,7.153224523332289,151.3790751176815,0.5599430263235297,4.9317093431027805,13.753440997025367,26.42700088810696,116.37469164145432,143.41001959848023,0.502290024892657,9.627986915881795,0.8295407100395731,5.257184644672204,0.9169728872516529,0.056034386798472904,11,75.93068631037083,5,85.45761900222307,-9.526932691852238,-6
