player_id,player_name,canonical_pos,is_forward,matches,starts,teams,seasons
243378,Cameron Winnett,Back-three,False,5,5,Wales,2024
243480,Edwin Edogbo,,False,1,0,Ireland,2026
262248,Nicolas Depoortere,Centre,False,4,4,France,"2024,2026"
263016,David Odiase,,False,3,0,Italy,2026
263442,Dan Edwards,Fly-half,False,6,4,Wales,"2025,2026"
263466,Josh Hathaway,,False,1,0,Wales,2025
264444,Chandler Cunningham-South,,False,11,0,England,"2024,2025,2026"
337560,Mackenzie Martin,,False,3,0,Wales,2024
337638,Sam Prendergast,Fly-half,False,7,6,Ireland,"2025,2026"
339450,Theo Attissogbe,Back-three,False,7,7,France,"2025,2026"
339492,Louie Hennessey,,False,1,0,Wales,2026
341154,Noah Nene,,False,1,0,France,2026
342324,Henry Pollock,Back-row,True,6,1,England,"2025,2026"
342990,Temo Matiu,Back-row,True,1,1,France,2026
344334,Kalvin Gourgues,,False,1,0,France,2026
350502,Gus McCarthy,,False,2,0,Ireland,2025
354888,Fabien Brau-Boirie,Centre,False,2,2,France,2026
363636,Ellis Mee,Back-three,False,7,7,Wales,"2025,2026"
366438,Freddy Douglas,,False,1,0,Scotland,2026
