key,api_player_id,api_name,rp_slug,rp_name,official_name,nationality,canonical_pos,in_api,in_rp,in_official,key_collision,match_method
t|basham,178746,Taine Basham,taine-basham,Taine Basham,,Wales,Back-row,True,True,False,False,key
t|beirne,117954,Tadhg Beirne,tadgh-beirne,T. Beirne,T. Beirne,Ireland,Second-row,True,True,True,False,key
t|clarkson,203208,Thomas Clarkson,tom-clarkson,T. Clarkson,T. Clarkson,Ireland,Prop,True,True,True,False,key
t|curry,155892,Tom Curry,tom-curry,T. Curry,T. Curry,England,Back-row,True,True,True,False,key
t|dan,218844,Theo Dan,theo-dan,T. Dan,T. Dan,England,Hooker,True,True,True,False,key
t|davison,175890,Trevor Davison,trevor-davison,T. Davison,T. Davison,England,Prop,True,True,True,False,key
t|dibartolomeo,231714,Tommaso Di Bartolomeo,tommaso-di-bartolomeo,T. di Bartolomeo,T. di Bartolomeo,Italy,Hooker,True,True,True,False,key
t|faletau,66186,Taulupe Faletau,taulupe-faletau,T. Faletau,T. Faletau,Wales,Back-row,True,True,True,False,key
t|farrell,124548,Tom Farrell,thomas-farrell,T. Farrell,T. Farrell,Ireland,Centre,True,True,True,False,key
t|flament,213072,Thibaud Flament,thibaud-flament,T. Flament,T. Flament,France,Second-row,True,True,True,False,key
t|francis,131898,Tomas Francis,tomas-francis,T. Francis,T. Francis,Wales,Prop,True,True,True,False,key
t|freeman,213192,Tommy Freeman,tommy-freeman,T. Freeman,T. Freeman,England,Back-three,True,True,True,False,key
t|furlong,112374,Tadhg Furlong,tadhg-furlong,T. Furlong,T. Furlong,Ireland,Prop,True,True,True,False,key
t|halafihi,132732,Toa Halafihi,,,,,Back-row,True,False,False,False,key
t|hill,155868,Ted Hill,tom-hill,T. Hill,T. Hill,,Back-row,True,True,True,False,key
t|jordan,242766,Tom Jordan,tom-jordan,T. Jordan,T. Jordan,Scotland,Centre,True,True,True,False,key
t|laclayat,,,thomas-laclayat,T. Laclayat,,France,,False,True,False,False,key
t|lavault,178980,Thomas Lavault,thomas-lavault,Thomas Lavault,,France,Second-row,True,True,False,False,key
t|matiu,342990,Temo Matiu,temo-matiu,T. Matiu,T. Matiu,France,Back-row,True,True,True,False,key
t|menoncello,226818,Tommaso Menoncello,tommaso-menoncello,T. Menoncello,T. Menoncello,Italy,Centre,True,True,True,False,key
t|millet,,,theo-millet,T. Millet,,France,,False,True,False,False,key
t|obrien,148758,Tommy O'Brien,tommy-obrien,Tommy Obrien,T. O'Brien,Ireland,Back-three,True,True,True,False,key
t|otoole,148650,Tom O'Toole,tom-otoole,T. O'Toole,T. O'Toole,Ireland,Prop,True,True,True,False,key
t|pasquali,122910,Tiziano Pasquali,,,,,Prop,True,False,False,False,key
t|plumtree,206706,Taine Plumtree,taine-plumtree,T. Plumtree,,Wales,Back-row,True,True,False,False,key
t|ramos,129822,Thomas Ramos,thomas-ramos,T. Ramos,T. Ramos,France,Back-three,True,True,True,False,key
t|reffell,155826,Tommy Reffell,tommy-reffell,T. Reffell,T. Reffell,Wales,Back-row,True,True,True,False,key
t|roebuck,187458,Tom Roebuck,tom-roebuck,Tom Roebuck,T. Roebuck,England,Back-three,True,True,True,False,key
t|rogers,177600,Tom Rogers,tom-rogers,T. Rogers,T. Rogers,Wales,Back-three,True,True,True,False,key
t|staniforth,,,tom-staniforth,Tom Staniforth,,Australia,,False,True,False,False,key
t|stewart,201792,Tom Stewart,tom-stewart,T. Stewart,T. Stewart,Northern Ireland,Hooker,True,True,True,False,key
t|thomas,121614,Teddy Thomas,,,,,Back-three,True,False,False,False,key
t|williams,128628,Tomos Williams,tomos-williams,Tomos Williams,T. Williams,,Scrum-half,True,True,True,True,key
t|williams,203082,Teddy Williams,tomos-williams,Tomos Williams,T. Williams,,Second-row,True,True,True,True,key
t|willis,164394,Tom Willis,tom-willis,Tom Willis,T. Willis,England,Back-row,True,True,True,False,key
u|atonio,133446,Uini Atonio,uini-atonio,U. Atonio,U. Atonio,France,Prop,True,True,True,False,key
u|dillane,136290,Ultan Dillane,,,,,Second-row,True,False,False,False,key
u|seunes,,,ugo-seunes,U. Seunes,,,,False,True,False,False,key
v|vakatawa,110028,Virimi Vakatawa,,,,,Centre,True,False,False,False,key
w|connors,143568,Will Connors,,,,,Back-row,True,False,False,False,key
w|halaholo,125622,Willis Halaholo,,,,,Centre,True,False,False,False,key
w|hurd,203400,Will Hurd,will-hurd,W. Hurd,W. Hurd,Scotland,Prop,True,True,True,False,key
w|john,111564,WillGriff John,will-john,W. John,W. John,Wales,Prop,True,True,True,False,key
w|jones,128142,Wyn Jones,wyn-jones,Wyn Jones,W. Jones,,Prop,True,True,True,False,key
w|nel,61812,WP Nel,wp-nel,Wp Nel,W. Nel,,Prop,True,True,True,False,key
w|rowlands,122568,Will Rowlands,will-rowlands,W. Rowlands,W. Rowlands,Wales,Second-row,True,True,True,False,key
w|stuart,144738,Will Stuart,will-stuart,W. Stuart,W. Stuart,England,Prop,True,True,True,False,key
y|moefana,196152,Yoram Moefana,yoram-moefana,Y. Moefana,Y. Moefana,France,Centre,True,True,True,False,key
z|fagerson,130530,Zander Fagerson,zander-fagerson,Z. Fagerson,Z. Fagerson,Scotland,Prop,True,True,True,False,key
