season,comp_id,comp_name,round,fixture_id,date,team,team_id,opponent,opponent_id,home_away,team_score,opp_score,result,margin,tries_for,tries_against,conv_for,conv_against,pens_for,pens_against,dg_for,dg_against,ball_possession_last_10_mins,carries_crossed_gain_line,carries_metres,carries_not_made_gain_line,clean_breaks,conversion_goals,defenders_beaten,kicks_from_hand,lineout_success,lineout_won_steal,lineouts_Lost,lineouts_won,mauls_lost,mauls_total,mauls_won,mauls_won_penalty,mauls_won_try,missed_conversion_goals,missed_penalty_goals,missed_tackles,offload,passes,pc_possession_first,pc_possession_second,penalties_conceded,penalty_goals,possession,red_card_second_yellow,red_cards,rucks_lost,rucks_total,rucks_won,runs,scrums_lost,scrums_success,scrums_won,tackles,turnovers_conceded,turnovers_won,yellow_cards
2021,1266,Six Nations,5,8289475,2021-03-20,England,1667,Ireland,1817,away,18,32,L,-14,2,2,1,2,2,6,0,0,0.59,39,213,35,5,1,13,16,1.0,0,0,17,6,13,7,1,0,1,0,10,4,86,0.38,0.55,14,2,0.47,0,0,4,59,55,75,2,0.6,3,115,11,4,0
2021,1266,Six Nations,5,8289484,2021-03-20,France,1967,Wales,1517,home,32,30,W,2,4,3,3,3,2,3,0,0,0.87,64,506,74,9,3,28,19,0.93,0,1,13,0,4,4,1,0,1,0,8,12,176,0.37,0.64,6,2,0.51,0,1,0,105,105,151,0,1.0,7,166,13,2,1
2021,1266,Six Nations,5,8289484,2021-03-20,Wales,1517,France,1967,away,30,32,L,-2,3,4,3,3,3,2,0,0,0.13,67,356,52,5,3,8,29,1.0,0,0,8,0,6,6,2,0,0,0,28,4,154,0.63,0.36,15,3,0.49,0,0,2,103,101,122,0,1.0,7,171,6,1,2
2021,1266,Six Nations,3,8289304,2021-03-26,France,1967,Scotland,2117,home,23,27,L,-4,3,3,1,3,2,2,0,0,0.3,50,435,57,9,1,20,20,0.92,2,1,12,0,5,5,2,0,2,0,16,7,136,0.56,0.3,15,2,0.4,0,0,5,77,72,116,0,1.0,4,199,12,7,1
2021,1266,Six Nations,3,8289304,2021-03-26,Scotland,2117,France,1967,away,27,23,W,4,3,3,3,1,2,2,0,0,0.7,55,280,85,2,3,16,26,0.9,1,2,18,1,14,13,3,0,0,0,20,7,147,0.44,0.7,15,2,0.6,0,1,4,127,123,147,1,0.67,2,123,5,5,1
2022,1266,Six Nations,1,8289781,2022-02-05,Ireland,1817,Wales,1517,home,29,7,W,22,4,1,3,1,1,0,0,0,0.69,76,520,55,9,3,22,23,0.94,1,1,15,1,9,8,2,0,1,2,10,6,240,0.64,0.56,6,1,0.6,0,0,2,122,120,148,0,1.0,11,120,19,7,0
2022,1266,Six Nations,1,8289781,2022-02-05,Wales,1517,Ireland,1817,away,7,29,L,-22,1,4,1,3,0,1,0,0,0.31,43,220,44,4,1,10,14,0.67,0,4,8,1,4,3,1,0,0,0,22,8,162,0.36,0.44,14,0,0.4,0,0,4,80,76,95,1,0.83,5,187,16,4,1
2022,1266,Six Nations,1,8289790,2022-02-05,Scotland,2117,England,1667,home,20,17,W,3,1,1,1,0,2,4,0,0,0.39,40,309,32,5,1,17,27,1.0,1,0,16,1,7,6,0,0,0,0,8,3,103,0.38,0.55,13,2,0.46,0,0,5,63,58,78,0,0.57,4,124,11,6,0
2022,1266,Six Nations,1,8289790,2022-02-05,England,1667,Scotland,2117,away,17,20,L,-3,1,1,0,1,4,2,0,0,0.61,54,418,36,3,0,8,32,0.88,0,2,15,0,10,10,0,0,1,0,17,7,114,0.62,0.45,10,4,0.54,0,0,4,77,73,99,0,0.63,5,95,10,8,1
2022,1266,Six Nations,1,8289799,2022-02-06,France,1967,Italy,2873,home,37,10,W,27,5,1,3,1,2,1,0,0,0.88,72,492,41,7,3,23,33,0.94,2,1,17,1,10,9,1,0,2,0,7,9,157,0.62,0.54,14,2,0.57,0,0,5,96,91,124,1,0.8,4,100,10,5,0
