family,slate,competition,season,round,engine,n,mae,team_points,xv,captain_bonus,substitute,label_error,raw_error,roster_errors
rolling,ncr_2026_r2,ncr,2026,2,p3_tournament_frozen,262,8.383420315582988,473.0,392.0,36.0,45.0,0.0,,
rolling,ncr_2026_r3,ncr,2026,3,p3_tournament_frozen,269,8.518123184140238,520.0,436.0,45.0,39.0,0.0,,
rolling,ncr_2026_r2,ncr,2026,2,empirical_baseline,262,8.39324427480916,493.0,418.0,30.0,45.0,0.0,,
rolling,ncr_2026_r2,ncr,2026,2,p3_rolling,262,8.4280855523432,469.0,388.0,36.0,45.0,0.0,3.552713678800501e-15,
rolling,ncr_2026_r2,ncr,2026,2,p3_weighted,262,8.302743997656538,621.0,390.0,36.0,195.0,0.0,3.552713678800501e-15,
rolling,ncr_2026_r2,ncr,2026,2,p3_robust,262,8.352808939020127,638.0,407.0,36.0,195.0,0.0,3.552713678800501e-15,
rolling,ncr_2026_r3,ncr,2026,3,empirical_baseline,269,8.54468401486989,556.0,475.0,45.0,36.0,0.0,,
rolling,ncr_2026_r3,ncr,2026,3,p3_rolling,269,8.47560829277824,512.0,424.0,49.0,39.0,0.0,7.105427357601002e-15,
rolling,ncr_2026_r3,ncr,2026,3,p3_weighted,269,8.430103329774658,489.0,401.0,49.0,39.0,0.0,3.552713678800501e-15,
rolling,ncr_2026_r3,ncr,2026,3,p3_robust,269,8.423623643004225,525.0,441.0,45.0,39.0,0.0,3.552713678800501e-15,
rolling,six_nations_2025_r1,six_nations,2025,1,empirical_baseline,131,6.732238860348454,502.0,450.0,37.0,15.0,0.0,,
rolling,six_nations_2025_r1,six_nations,2025,1,p3_rolling,131,6.994739815570041,480.0,434.0,31.0,15.0,0.0,7.105427357601002e-15,
rolling,six_nations_2025_r1,six_nations,2025,1,p3_weighted,131,6.986187018830047,462.0,416.0,31.0,15.0,0.0,3.552713678800501e-15,
rolling,six_nations_2025_r1,six_nations,2025,1,p3_robust,131,6.95032033030613,462.0,416.0,31.0,15.0,0.0,3.552713678800501e-15,
rolling,six_nations_2025_r1,six_nations,2025,1,p3_tournament_frozen,131,6.994739815570041,480.0,434.0,31.0,15.0,0.0,,
rolling,six_nations_2025_r2,six_nations,2025,2,p3_tournament_frozen,134,6.894166319174843,365.0,322.0,13.0,30.0,0.0,,
rolling,six_nations_2025_r3,six_nations,2025,3,p3_tournament_frozen,136,6.826195419840439,475.0,352.0,90.0,33.0,0.0,,
rolling,six_nations_2025_r4,six_nations,2025,4,p3_tournament_frozen,137,7.687462058002073,525.0,377.0,40.0,108.0,0.0,,
rolling,six_nations_2025_r5,six_nations,2025,5,p3_tournament_frozen,136,7.518326376596476,438.0,362.0,10.0,66.0,0.0,,
rolling,six_nations_2025_r2,six_nations,2025,2,empirical_baseline,134,6.856118366506209,382.0,318.0,34.0,30.0,0.0,,
rolling,six_nations_2025_r2,six_nations,2025,2,p3_rolling,134,7.144178579800524,353.0,292.0,37.0,24.0,0.0,7.105427357601002e-15,
rolling,six_nations_2025_r2,six_nations,2025,2,p3_weighted,134,7.0839415841198194,322.0,285.0,13.0,24.0,0.0,3.552713678800501e-15,
rolling,six_nations_2025_r2,six_nations,2025,2,p3_robust,134,6.816444965072867,354.0,287.0,37.0,30.0,0.0,7.105427357601002e-15,
rolling,six_nations_2025_r3,six_nations,2025,3,empirical_baseline,136,7.012826608939697,451.0,382.0,36.0,33.0,0.0,,
rolling,six_nations_2025_r3,six_nations,2025,3,p3_rolling,136,7.308413610324221,439.0,400.0,36.0,3.0,0.0,7.105427357601002e-15,
