date,comp_id,comp_name,fixture_id,team,team_id,opponent,opponent_id,team_score,opp_score,player_id,player_name,jersey,started,minutes,yellow_cards,red_cards,tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,metres,defenders_beaten,clean_breaks,offload,runs,tackles,missed_tackles,dominant_tackles,tackle_success,tackle_turnover,tackle_try_saver,rucks_won,rucks_lost,passes,bad_passes,lineouts_won,turnovers_conceded,penalties_conceded,missed_conversion_goals,missed_penalty_goals,drop_goal_missed,points
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,231690,Pierre Bochaton,6,True,33,0,0,0,0,0,0,0,7,1,0,0,5,6,0,0,0.86,0,0,4,1,0,0,0,0,1,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,242478,Oscar Jegou,7,True,80,0,0,0,0,0,0,0,6,1,0,1,8,12,2,1,0.86,0,0,7,0,7,0,0,1,1,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,340140,Marko Gazzotti,8,True,80,0,0,0,0,0,0,0,22,2,0,1,12,17,1,1,0.89,1,0,11,0,8,0,0,0,1,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,243636,Barnabe Massa,16,False,18,0,0,0,0,0,0,0,4,1,0,0,1,5,1,0,0.83,0,0,1,0,2,0,2,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,189984,Reda Wardi,17,False,25,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0.67,0,0,2,0,2,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,207432,Regis Montagne,18,False,33,0,0,0,0,0,0,0,6,1,0,0,4,5,2,1,0.71,0,0,4,0,1,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,219930,Mickael Guillard,19,False,47,0,0,0,0,0,0,0,8,0,0,0,8,9,0,0,0.9,0,0,7,0,2,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,224352,Killian Tixeront,20,False,25,0,0,0,0,0,0,0,14,1,1,0,2,9,0,1,0.9,0,0,2,0,0,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,219972,Nolann Le Garrec,21,False,5,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,150468,Antoine Hastoy,22,False,15,0,0,1,0,1,0,0,43,3,1,0,12,0,2,0,0.0,0,0,9,0,4,1,0,0,0,0,0,0,7
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,262248,Nicolas Depoortere,23,False,12,0,0,0,0,0,0,0,4,0,0,0,3,1,1,0,0.5,0,0,2,1,0,0,0,1,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,229884,Takuro Matsunaga,15,True,80,0,0,1,0,3,2,0,49,1,0,0,7,3,0,0,1.0,0,0,7,0,3,0,1,1,0,0,0,0,17
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,350934,Kazuma Ueda,14,True,80,0,0,0,0,0,0,0,21,2,1,0,5,4,0,0,1.0,0,0,6,0,2,0,0,1,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,165924,Dylan Riley,13,True,80,0,0,0,0,0,0,0,2,0,0,0,3,8,3,0,0.73,0,0,2,0,4,2,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,371544,Yuya Hirose,12,True,80,0,0,0,1,0,0,0,10,2,1,0,4,7,1,0,0.7,0,0,3,0,7,0,0,0,1,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,204228,Kippei Ishida,11,True,80,0,0,0,0,0,0,0,23,0,0,0,5,5,1,0,0.71,1,0,3,1,3,0,0,0,1,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,371430,Ryunosuke Ito,10,True,80,0,0,0,0,0,0,0,34,3,0,1,11,1,0,0,0.5,0,0,4,0,28,2,0,0,1,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,150960,Naoto Saito,9,True,74,0,0,0,2,0,0,0,15,0,0,1,3,3,1,0,0.5,0,0,0,0,79,2,0,0,0,0,0,1,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,193938,Takato Okabe,1,True,59,0,0,0,0,0,0,0,12,0,1,0,4,9,0,0,1.0,0,0,5,0,1,0,0,0,2,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,206910,Mamoru Harada,2,True,56,0,0,0,0,0,0,0,10,1,0,0,5,13,1,0,0.93,0,0,7,0,2,0,7,0,1,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,227256,Shuhei Takeuchi,3,True,56,0,0,0,0,0,0,0,17,0,0,0,9,10,1,0,0.91,0,0,9,0,2,0,0,0,1,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,149754,Harry Hockings,4,True,59,0,0,0,0,0,0,0,23,0,0,1,9,13,0,0,0.93,0,0,9,0,2,0,0,0,1,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,242406,Warner Dearns,5,True,80,0,0,1,0,0,0,0,25,1,0,0,15,8,0,0,1.0,0,0,16,0,3,0,0,0,0,0,0,0,5
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,157710,Ben Gunter,6,True,64,0,0,1,0,0,0,0,6,0,0,0,8,19,1,0,0.95,1,0,8,0,0,0,0,0,0,0,0,0,5
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,185784,Kanji Shimokawa,7,True,51,0,0,0,0,0,0,0,4,0,0,0,2,6,0,0,1.0,0,0,2,0,3,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,142194,Jack Cornelsen,8,True,80,0,0,0,0,0,0,0,7,1,0,0,5,12,3,0,0.75,0,0,6,0,2,0,0,1,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,371742,Hayate Era,16,False,24,0,0,0,0,0,0,0,4,1,0,0,5,6,0,0,0.86,1,0,6,0,1,0,2,2,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,370146,Sojiro Otsuka,17,False,21,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1.0,0,0,3,0,0,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,371586,Keijiro Tamefusa,18,False,24,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,1.0,0,0,4,0,0,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,133026,Michael Stolberg,19,False,21,0,0,0,0,0,0,0,8,0,0,0,2,2,1,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,67848,Michael Leitch,20,False,29,0,0,0,0,0,0,0,4,1,0,0,5,11,2,0,0.85,0,0,5,0,1,1,0,2,1,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,353844,Tiennan Costley,21,False,16,0,0,0,0,0,0,0,3,0,0,1,2,4,0,0,1.0,0,0,1,0,2,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,372078,Itsuki Kamimura,22,False,6,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0.0,0,0,1,0,5,1,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Japan,9017,Italy,2873,27,10,135648,Sam Greene,23,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,231744,Lorenzo Pani,15,True,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,421050,Malik Faissal,14,True,80,0,0,0,0,0,0,0,28,0,1,0,6,7,0,0,0.88,0,0,3,0,0,0,0,3,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,118614,Juan Ignacio Brex,13,True,60,0,0,1,0,0,0,0,46,2,2,1,8,3,1,0,0.6,0,0,6,0,12,1,0,1,0,0,0,0,5
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,226818,Tommaso Menoncello,12,True,80,0,0,0,0,0,0,0,57,3,1,1,13,5,0,0,0.83,0,0,9,0,5,0,0,4,1,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,134016,Monty Ioane,11,True,80,0,0,0,0,0,0,0,30,2,0,0,10,2,2,0,0.5,0,0,8,0,1,1,0,2,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,203034,Paolo Garbisi,10,True,80,0,0,0,1,1,1,0,20,2,0,0,4,6,1,0,0.67,0,0,3,0,23,4,0,2,0,0,0,0,5
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,213144,Stephen Varney,9,True,60,0,0,0,0,0,0,0,5,0,0,0,3,4,0,0,0.57,0,0,0,0,69,0,0,2,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,164232,Danilo Fischetti,1,True,60,0,0,0,0,0,0,0,0,1,0,0,6,7,0,0,1.0,0,0,6,0,1,0,0,1,1,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,231714,Tommaso Di Bartolomeo,2,True,47,0,0,0,0,0,0,0,6,0,0,0,6,12,0,0,1.0,0,0,5,0,1,0,12,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,144684,Marco Riccioni,3,True,60,0,0,0,0,0,0,0,5,0,0,0,4,13,1,0,0.87,0,0,4,0,0,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,167196,Niccolo Cannone,4,True,67,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0.91,0,0,7,0,3,0,0,1,1,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,208140,Andrea Zambonin,5,True,80,0,0,0,0,0,0,0,8,1,0,0,6,13,2,0,0.87,0,1,6,0,2,0,0,2,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,263058,Alessandro Ortombina,6,True,47,0,0,0,0,0,0,0,1,0,0,0,2,12,1,0,0.92,0,0,2,0,2,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,164220,Michele Lamaro,7,True,80,0,0,0,0,0,0,0,3,0,0,0,5,19,1,0,0.95,0,0,4,0,6,1,0,1,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,220140,Lorenzo Cannone,8,True,80,0,0,0,0,0,0,0,69,4,0,0,18,16,0,0,1.0,0,0,15,0,2,0,0,0,1,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,202980,Gianmarco Lucchesi,16,False,33,0,0,0,0,0,0,0,5,0,0,0,3,7,0,0,1.0,0,0,2,0,4,1,4,1,2,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,231804,Mirco Spagnolo,17,False,20,0,0,0,0,0,0,0,5,0,0,1,1,5,2,0,0.71,0,0,0,0,1,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,220782,Muhamed Hasa,18,False,20,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,1.0,0,0,2,0,0,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,220128,Riccardo Favretto,19,False,13,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0.67,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,231840,Ross Vintcent,20,False,33,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.88,0,0,0,0,1,0,0,1,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,180450,Alessandro Fusco,21,False,20,0,0,0,0,0,0,0,21,0,0,0,1,3,0,0,1.0,0,0,1,0,12,1,1,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,231834,Leonardo Marin,22,False,20,0,0,0,0,0,0,0,3,1,0,0,2,2,0,0,0.67,0,1,2,0,2,1,0,1,0,0,0,0,0
2026-07-04,696,Nations Championship,8546092,Italy,2873,Japan,9017,10,27,117834,Tommaso Allan,23,False,68,0,0,0,0,0,0,0,10,0,0,2,5,2,1,0,0.67,0,0,2,0,5,1,0,1,0,0,0,0,0
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,173226,Jock Campbell,15,True,77,0,0,1,1,0,0,0,67,2,1,1,6,5,0,0,0.83,0,0,2,0,6,0,0,0,2,0,0,0,5
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,346554,Max Jorgensen,14,True,80,0,0,0,1,0,0,0,76,6,3,0,6,6,2,0,0.67,1,0,3,0,4,1,0,3,0,0,0,0,0
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,213924,Joseph-Aukuso Suaalii,13,True,80,0,0,0,0,0,0,0,48,5,1,2,11,7,1,0,0.78,0,0,6,0,7,2,0,1,1,0,0,0,0
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,153318,Len Ikitau,12,True,80,0,0,0,1,0,0,0,10,1,0,1,8,8,4,1,0.57,0,0,5,0,17,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,164262,Dylan Pietsch,11,True,80,0,0,1,0,0,0,0,24,2,2,0,10,11,0,1,0.85,0,0,8,0,0,0,0,1,0,0,0,0,5
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,191412,Carter Gordon,10,True,57,0,0,0,0,3,0,0,30,1,1,1,2,0,1,0,0.0,0,0,1,0,17,1,0,0,0,2,0,0,6
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,163734,Ryan Lonergan,9,True,33,0,0,1,0,0,0,0,39,1,0,0,2,3,0,0,1.0,0,0,1,0,36,0,0,0,0,0,0,0,5
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,192666,Angus Bell,1,True,54,0,0,0,0,0,0,0,14,1,0,0,10,12,0,0,1.0,0,0,10,0,2,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,153054,Josh Nasser,2,True,54,0,0,0,0,0,0,0,12,2,0,0,3,4,1,1,0.67,0,0,3,0,4,1,8,0,1,0,0,0,0
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,118890,Allan Alaalatoa,3,True,54,0,0,0,0,0,0,0,1,0,0,0,4,12,1,0,0.92,0,0,5,0,1,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,193422,Josh Canham,4,True,58,0,0,1,0,0,0,0,5,0,0,1,6,9,2,0,0.64,0,0,4,0,9,0,0,0,1,0,0,0,5
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,192618,Jeremy Williams,5,True,80,0,0,0,0,0,0,0,15,1,0,0,8,8,0,0,0.8,0,0,9,0,5,0,0,1,3,0,0,0,0
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,161946,Rob Valetini,6,True,68,0,0,0,0,0,0,0,34,6,2,0,19,10,0,0,0.91,0,0,17,0,3,0,0,1,1,0,0,0,0
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,154110,Fraser McReight,7,True,80,0,0,0,0,0,0,0,17,0,1,0,13,12,1,2,0.86,0,0,12,1,6,0,0,1,2,0,0,0,0
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,153066,Harry Wilson,8,True,80,0,0,0,0,0,0,0,12,1,0,0,13,21,0,1,0.91,0,0,11,0,9,2,0,1,0,0,0,0,0
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,161034,Brandon Paenga-Amosa,16,False,26,0,0,0,0,0,0,0,3,0,0,0,2,8,0,1,1.0,0,0,2,0,3,0,3,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,66978,James Slipper,17,False,26,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0.75,0,0,2,0,0,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546110,Australia,317,Ireland,1817,31,33,131862,Taniela Tupou,18,False,26,0,0,0,0,0,0,0,4,0,0,0,3,5,0,0,1.0,0,0,3,0,1,0,0,0,0,0,0,0,0
