id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,starter_exp,supersub_exp,captain_score
146815,Angus Bell,Australia,2,Prop,7.0,20.8,P,France,True,49,1772,-4.9,1.0,20.71,53.3,17.224542700467538,8.612271350233769,-0.28482565257279846
135572,Jack Cornelsen,Japan,2,Lock,5.5,4.8,P,Ireland,True,30,2948,-19.8,0.998,14.96,77.5,17.76580969146322,8.88290484573161,-0.03092878129763399
246864,Isaiah Armstrong-Ravula,Fiji,2,Fly Half,5.0,0.5,B,England,True,19,0,-2.8,1.0,10.33,9.5,5.157727426358019,15.473182279074056,-1.4787712791463208
188057,Ben White,Scotland,1,Scrum Half,4.5,4.5,P,South Africa,False,40,2829,-25.7,1.0,15.43,62.0,17.730836904626607,8.865418452313303,-0.1353080095746032
243190,Blair Murray,Wales,1,Back Three,4.5,8.9,P,Argentina,False,17,2296,-20.2,1.0,11.41,78.6,22.59357263059984,11.29678631529992,3.2123528145711893
251359,Yuya Hirose,Japan,2,Centre,4.0,0.5,P,Ireland,True,6,1653,-19.8,0.998,10.15,80.0,18.145098704989167,9.072549352494583,0.5356049769342527
233260,Shuhei Takeuchi,Japan,2,Prop,4.0,1.7,P,Ireland,True,25,1749,-19.8,0.998,17.68,60.0,16.02430988063689,8.012154940318444,-0.5695742790529646
131550,Takato Okabe,Japan,2,Prop,3.0,3.6,P,Ireland,True,9,2164,-19.8,0.998,12.62,59.5,14.57349889690271,7.286749448451355,-0.9430164228664694
237803,Kalaveti Ravouvou,Fiji,2,Back Three,6.5,2.4,P,England,True,16,3016,-2.8,1.0,21.07,77.2,25.521208159458318,12.760604079729159,2.8293806950696077
193134,Nick Timoney,Ireland,1,Loose Forward,5.0,4.9,P,Japan,False,12,3532,19.8,0.998,21.72,62.7,30.14572110692275,15.072860553461375,2.5027621167444902
103703,Harry Hockings,Japan,2,Lock,4.5,1.3,P,Ireland,True,3,2967,-19.8,0.998,17.37,59.0,19.151446138786103,9.575723069393051,0.31001453138108936
189190,Maxime Lamothe,France,1,Hooker,4.5,6.4,B,Australia,False,4,3426,4.9,1.0,18.85,25.9,5.028851931475172,15.086555794425516,-2.2133469702287254
107059,Marco Riccioni,Italy,1,Prop,3.5,6.9,P,New Zealand,False,27,2091,-33.5,0.962,13.7,43.4,14.270643294783639,7.1353216473918195,-1.0234835432363887
255396,Malik Faissal,Italy,1,Back Three,3.5,2.6,P,New Zealand,False,1,1214,-33.5,0.962,13.85,80.0,19.82949347600709,9.914746738003545,1.4833886739109312
111475,Josh Lord,New Zealand,2,Lock,6.0,4.1,B,Italy,True,13,1714,33.5,0.962,13.45,31.3,3.469949236216038,10.409847708648114,-2.2740282145161244
120191,Michele Lamaro,Italy,1,Loose Forward,6.0,2.4,P,New Zealand,False,55,3001,-33.5,0.962,15.21,69.8,20.30294975155862,10.15147487577931,0.2931749241158237
225264,Ruan Nortje,South Africa,2,Lock,6.0,6.0,P,Scotland,True,19,2807,25.7,1.0,10.51,72.6,17.522207619862264,8.761103809931132,0.10879974564150119
177559,Alex Mitchell,England,1,Scrum Half,5.5,1.1,B,Fiji,False,41,3128,2.8,1.0,15.38,15.1,5.498454679700577,16.49536403910173,-1.838696546119082
140735,Naoto Saito,Japan,2,Scrum Half,4.5,1.3,P,Ireland,True,28,1367,-19.8,0.998,7.9,67.3,16.905244849438184,8.452622424719092,0.05332330082870393
224426,Tom OToole,Ireland,1,Prop,4.0,4.9,P,Japan,False,22,2335,19.8,0.998,12.96,57.7,14.416882710273235,7.2084413551366175,-0.9882230987665019
251673,Ryunosuke Ito,Japan,2,Fly Half,4.0,0.5,P,Ireland,True,1,178,-19.8,0.998,13.22,80.0,22.303556648347083,11.151778324173542,2.65101059788885
144570,Jimmy OBrien,Ireland,1,Back Three,4.0,0.5,P,Japan,False,12,2892,19.8,0.998,16.34,75.4,19.513376190950773,9.756688095475386,1.9381038459593056
251199,Hayate Era,Japan,2,Hooker,3.5,0.2,B,Ireland,True,8,1099,-19.8,0.998,25.38,23.0,7.025867939427767,21.0776038182833,-1.779650513288855
