id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,starter_exp,supersub_exp,captain_score
153525,Rory Sutherland,Scotland,1,Prop,4.0,0.2,B,Argentina,False,43,1211,-5.3,1.0,12.1,17.8,4.998915519576111,14.996746558728333,-2.7884558216961883
156918,Tommy Freeman,England,1,Back Three,7.0,15.7,P,South Africa,False,35,4412,-26.1,1.0,17.91,76.4,21.757720231738297,10.878860115869148,2.5503668681138274
191608,Cobus Reinach,South Africa,2,Scrum Half,6.5,1.4,B,England,True,37,0,26.1,1.0,21.55,21.5,6.107383948749701,18.322151846249103,-1.6811697594371688
241689,Nicolas Depoortere,France,1,Centre,6.0,0.7,B,New Zealand,False,10,3491,-14.6,0.849,15.91,15.6,5.090984283786815,15.272952851360445,-1.5256433063075887
237000,Tom Hooper,Australia,2,Loose Forward,5.5,1.3,B,Ireland,True,24,3310,-10.1,1.0,13.18,18.3,4.851017042818071,14.55305112845421,-1.8104443350651767
117646,Ben Donaldson,Australia,2,Fly Half,5.5,0.5,B,Ireland,True,22,2566,-10.1,1.0,12.28,15.4,6.380126672248418,19.140380016745254,-1.0061125315934556
180382,Bautista Delguy,Argentina,2,Back Three,5.0,3.1,B,Scotland,True,27,4083,5.3,1.0,15.29,33.8,4.721655831715828,14.164967495147483,-1.1908701497999805
229826,Jamie Osborne,Ireland,1,Centre,5.0,5.8,P,Australia,False,18,2916,10.1,1.0,14.84,73.5,19.37898218745095,9.689491093725476,1.3719657119204403
130282,Tommaso Allan,Italy,1,Fly Half,5.0,0.4,B,Japan,False,36,2621,-4.2,0.992,13.82,25.2,4.958184428562024,14.874553285686073,-1.4924588955472076
249307,Ellis Mee,Wales,1,Back Three,4.5,0.2,B,Fiji,False,10,2321,-11.7,0.989,10.92,25.0,3.630424776711296,10.891274330133887,-2.1356150786931365
143123,Taine Plumtree,Wales,1,Loose Forward,4.0,0.3,B,Fiji,False,16,2311,-11.7,0.989,15.7,25.0,3.79865931000116,11.39597793000348,-2.4868164932826
138016,Henry Slade,England,1,Centre,4.0,0.6,B,South Africa,False,46,3985,-26.1,1.0,12.99,22.7,4.850616943487854,14.551850830463561,-2.326043459527753
164832,Quinn Tupaea,New Zealand,2,Centre,6.5,6.5,P,France,True,25,2697,14.6,0.849,20.17,64.8,21.647110945574823,10.823555472787412,1.3607899513206012
157406,Bundee Aki,Ireland,1,Centre,6.0,3.5,B,Australia,False,49,2866,10.1,1.0,16.69,27.8,6.536362136240954,19.609086408722863,-1.3932779760168543
196415,Charlie Ewels,England,1,Lock,4.0,0.1,B,South Africa,False,19,2611,-26.1,1.0,12.53,9.4,5.421226589517973,16.26367976855392,-1.88772109554434
136875,Gianmarco Lucchesi,Italy,1,Hooker,3.5,0.4,B,Japan,False,33,0,-4.2,0.992,22.4,27.3,5.048025606018832,15.144076818056497,-2.5322798108911817
196989,Eben Etzebeth,South Africa,2,Lock,8.0,13.1,P,England,True,53,1520,26.1,1.0,11.88,59.1,19.076281030835474,9.538140515417737,0.4313388538163319
190503,Siya Kolisi,South Africa,2,Loose Forward,6.5,12.0,P,England,True,50,2414,26.1,1.0,19.5,53.4,16.607907099876204,8.303953549938102,0.4144721102645551
127914,Andre Esterhuizen,South Africa,2,Centre,6.5,3.9,B,England,True,23,3434,26.1,1.0,20.7,28.8,3.9964308653794816,11.989292596138444,-1.8722090544486187
156336,Tom Wright,Australia,2,Back Three,6.0,1.3,B,Ireland,True,45,2720,-10.1,1.0,11.37,8.0,5.494922180477333,16.484766541432002,-0.9639686256940512
153646,George Furbank,England,1,Back Three,5.0,2.3,P,South Africa,False,11,2500,-26.1,1.0,12.19,65.6,16.830681666202622,8.415340833101311,1.4158570251978104
175150,Robert Baloucoune,Ireland,1,Back Three,5.0,7.9,P,Australia,False,8,1610,10.1,1.0,24.73,76.5,19.917463848827943,9.958731924413971,2.2067409561899964
201684,Patrick Tuipulotu,New Zealand,2,Lock,4.5,1.4,B,France,True,27,1926,14.6,0.849,11.19,26.2,5.273489908767888,15.820469726303664,-1.9297117139312459
236609,Lorenzo Pani,Italy,1,Back Three,4.5,2.2,P,Japan,False,13,1672,-4.2,0.992,7.51,56.5,16.603214734897684,8.301607367448842,1.1703735643428723
224905,George Horne,Scotland,1,Scrum Half,4.0,0.6,B,Argentina,False,37,2899,-5.3,1.0,20.08,19.4,5.623271311320629,16.869813933961886,-2.253809853350432
105642,Craig Casey,Ireland,1,Scrum Half,4.0,0.3,B,Australia,False,31,2474,10.1,1.0,15.57,8.8,4.567778138050018,13.703334414150055,-2.4259686843408987
190215,Kieran Hardy,Wales,1,Scrum Half,4.0,0.3,B,Fiji,False,38,1680,-11.7,0.989,14.03,8.0,3.833545499702689,11.500636499108067,-2.8013435827670685
174268,Jeremy Loughman,Ireland,1,Prop,3.0,0.5,B,Australia,False,9,2096,10.1,1.0,11.32,17.8,3.8555683698011354,11.566705109403406,-2.963498358910136
255945,Itsuki Kamimura,Japan,2,Scrum Half,3.0,0.3,B,Italy,True,2,1266,4.2,0.992,16.21,8.0,2.689762765748694,8.069288297246082,-2.282826255915997
120767,Louis Rees-Zammit,Wales,1,Back Three,6.0,11.9,P,Fiji,False,42,1539,-11.7,0.989,14.19,76.7,20.51875577758578,10.25937788879289,2.1319470647035885
239634,Henry Pollock,England,1,Loose Forward,5.5,15.1,B,South Africa,False,17,2744,-26.1,1.0,26.66,22.3,8.183176288485821,24.549528865457464,-0.6946527760153384
112684,Guy Pepper,England,1,Loose Forward,4.5,1.1,B,South Africa,False,14,2480,-26.1,1.0,19.31,20.5,4.7687355775503,14.306206732650901,-1.7697547037457966
216255,Zuriel Togiatama,Fiji,2,Hooker,4.0,0.2,B,Wales,True,14,1443,11.7,0.989,15.77,11.5,6.001012766737957,18.00303830021387,-2.007402477649263
229255,Cortez Ratima,New Zealand,2,Scrum Half,4.0,0.5,B,France,True,24,2095,14.6,0.849,15.85,15.7,2.8440774449395727,8.532232334818719,-2.475916208205043
106142,Luke Cowan-Dickie,England,1,Hooker,4.5,0.8,B,South Africa,False,40,2166,-26.1,1.0,20.8,27.5,6.60305047432127,19.809151422963808,-2.3494349205012846
251198,Lachlan Shaw,Australia,2,Lock,4.0,0.4,B,Ireland,True,3,1807,-10.1,1.0,13.89,25.5,7.03252217796917,21.09756653390751,-1.4870174323419354
237152,Joaquin Moro,Argentina,2,Loose Forward,4.0,0.3,B,Scotland,True,5,1325,5.3,1.0,16.18,22.9,4.476187092637036,13.428561277911108,-1.8572492668378255
