season,comp_id,comp_name,round,fixture_id,date,team,team_id,opponent,opponent_id,home_away,team_score,opp_score,result,margin,tries_for,tries_against,conv_for,conv_against,pens_for,pens_against,dg_for,dg_against,ball_possession_last_10_mins,carries_crossed_gain_line,carries_metres,carries_not_made_gain_line,clean_breaks,conversion_goals,defenders_beaten,kicks_from_hand,lineout_success,lineout_won_steal,lineouts_Lost,lineouts_lost,lineouts_won,mauls_lost,mauls_total,mauls_won,mauls_won_penalty,mauls_won_try,missed_conversion_goals,missed_penalty_goals,missed_tackles,offload,passes,pc_possession_first,pc_possession_second,penalties_conceded,penalty_goals,possession,red_card_second_yellow,red_cards,rucks_lost,rucks_total,rucks_won,runs,scrums_lost,scrums_success,scrums_won,tackles,turnovers_conceded,turnovers_won,yellow_cards
2021,2202,Autumn Nations Cup,1,3285133,2020-11-15,Fiji,2879,France,1967,away,0,28,L,-28,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2202,Autumn Nations Cup,1,3285133,2020-11-15,France,1967,Fiji,2879,home,28,0,W,28,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2208,2020 Tri Nations,4,26530,2020-11-21,Argentina,2417,Australia,317,home,15,15,D,0,0,0,0,0,5,5,0,0,0.41,25.0,200.0,47.0,2.0,0.0,14.0,36.0,0.75,2.0,2.0,,6.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,16.0,3.0,84.0,0.34,0.41,12.0,5.0,0.37,0.0,0.0,2.0,60.0,58.0,74.0,0.0,1.0,6.0,124.0,14.0,9.0,1.0
2021,2202,Autumn Nations Cup,2,3285214,2020-11-21,Wales,1517,Georgia,8567,home,18,0,W,18,2,0,1,0,2,0,0,0,0.91,64.0,376.0,65.0,6.0,1.0,22.0,26.0,0.73,1.0,4.0,,11.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,7.0,4.0,191.0,0.65,0.64,7.0,2.0,0.65,0.0,0.0,4.0,115.0,111.0,133.0,0.0,1.0,9.0,90.0,13.0,6.0,0.0
2021,2202,Autumn Nations Cup,2,3285205,2020-11-21,England,1667,Ireland,1817,home,18,7,W,11,2,1,1,1,2,0,0,0,0.46,24.0,191.0,36.0,3.0,1.0,11.0,34.0,0.92,1.0,1.0,,12.0,2.0,6.0,4.0,1.0,0.0,1.0,0.0,13.0,1.0,101.0,0.34,0.3,13.0,2.0,0.32,0.0,0.0,3.0,56.0,53.0,62.0,0.0,1.0,4.0,208.0,9.0,6.0,0.0
2021,2202,Autumn Nations Cup,2,3285196,2020-11-21,Fiji,2879,Italy,2873,away,0,28,L,-28,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2202,Autumn Nations Cup,2,3285196,2020-11-21,Italy,2873,Fiji,2879,home,28,0,W,28,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2202,Autumn Nations Cup,2,3285205,2020-11-21,Ireland,1817,England,1667,away,7,18,L,-11,1,2,1,1,0,2,0,0,0.54,57.0,261.0,88.0,7.0,1.0,13.0,38.0,0.76,0.0,4.0,,13.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,11.0,5.0,178.0,0.66,0.7,12.0,0.0,0.68,0.0,0.0,8.0,141.0,133.0,149.0,0.0,1.0,8.0,76.0,7.0,4.0,0.0
2021,2208,2020 Tri Nations,4,26530,2020-11-21,Australia,317,Argentina,2417,away,15,15,D,0,0,0,0,0,5,5,0,0,0.59,60.0,423.0,53.0,4.0,0.0,16.0,27.0,0.82,2.0,4.0,,18.0,0.0,8.0,8.0,1.0,0.0,0.0,1.0,14.0,4.0,168.0,0.66,0.59,11.0,5.0,0.63,0.0,0.0,3.0,97.0,94.0,116.0,1.0,0.75,3.0,94.0,13.0,6.0,0.0
2021,2202,Autumn Nations Cup,2,3285223,2020-11-22,Scotland,2117,France,1967,home,15,22,L,-7,0,1,0,1,5,4,0,1,0.65,47.0,311.0,61.0,5.0,0.0,19.0,34.0,0.86,2.0,1.0,,6.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,16.0,3.0,119.0,0.55,0.59,16.0,5.0,0.56,0.0,0.0,5.0,96.0,91.0,110.0,1.0,0.83,5.0,98.0,8.0,2.0,0.0
2021,2202,Autumn Nations Cup,2,3285223,2020-11-22,France,1967,Scotland,2117,away,22,15,W,7,1,0,1,0,4,5,1,0,0.35,41.0,274.0,44.0,6.0,1.0,16.0,29.0,0.82,1.0,2.0,,9.0,1.0,7.0,6.0,1.0,0.0,0.0,1.0,19.0,5.0,96.0,0.45,0.41,9.0,4.0,0.44,0.0,0.0,2.0,68.0,66.0,89.0,0.0,1.0,6.0,119.0,15.0,4.0,0.0
2021,2202,Autumn Nations Cup,3,3285295,2020-11-28,England,1667,Wales,1517,away,24,13,W,11,2,1,1,1,4,2,0,0,0.37,48.0,342.0,54.0,7.0,1.0,11.0,40.0,1.0,1.0,0.0,,10.0,1.0,4.0,3.0,1.0,0.0,1.0,2.0,9.0,4.0,147.0,0.65,0.52,7.0,4.0,0.59,0.0,0.0,1.0,90.0,89.0,105.0,0.0,1.0,7.0,85.0,15.0,9.0,0.0
2021,2208,2020 Tri Nations,5,26539,2020-11-28,New Zealand,2567,Argentina,2417,away,38,0,W,38,5,0,5,0,1,0,0,0,0.84,78.0,612.0,57.0,13.0,5.0,24.0,29.0,1.0,2.0,0.0,,16.0,1.0,4.0,3.0,1.0,0.0,0.0,2.0,5.0,6.0,210.0,0.74,0.68,7.0,1.0,0.71,0.0,0.0,2.0,112.0,110.0,143.0,0.0,1.0,10.0,53.0,13.0,7.0,1.0
2021,2208,2020 Tri Nations,5,26539,2020-11-28,Argentina,2417,New Zealand,2567,home,0,38,L,-38,0,5,0,5,0,1,0,0,0.16,22.0,148.0,27.0,8.0,0.0,5.0,21.0,0.8,0.0,3.0,,12.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,24.0,2.0,75.0,0.26,0.32,14.0,0.0,0.29,0.0,0.0,5.0,42.0,37.0,52.0,2.0,0.6,3.0,176.0,15.0,4.0,0.0
2021,2202,Autumn Nations Cup,3,3285286,2020-11-28,Scotland,2117,Fiji,2879,home,28,0,W,28,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2202,Autumn Nations Cup,3,3285286,2020-11-28,Fiji,2879,Scotland,2117,away,0,28,L,-28,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2202,Autumn Nations Cup,3,3285295,2020-11-28,Wales,1517,England,1667,home,13,24,L,-11,1,2,1,1,2,4,0,0,0.63,21.0,144.0,55.0,2.0,1.0,9.0,29.0,0.73,0.0,4.0,,11.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,11.0,2.0,93.0,0.35,0.48,12.0,2.0,0.41,0.0,0.0,6.0,62.0,56.0,77.0,2.0,0.67,4.0,135.0,13.0,5.0,0.0
2021,2202,Autumn Nations Cup,3,3285304,2020-11-28,France,1967,Italy,2873,home,36,5,W,31,5,1,4,0,1,0,0,0,0.88,37.0,417.0,49.0,6.0,4.0,13.0,46.0,0.86,2.0,2.0,,12.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,7.0,5.0,117.0,0.36,0.59,9.0,1.0,0.48,0.0,0.0,2.0,75.0,73.0,90.0,2.0,0.67,4.0,140.0,10.0,6.0,0.0
