season,comp_id,comp_name,round,fixture_id,date,team,team_id,opponent,opponent_id,home_away,team_score,opp_score,result,margin,tries_for,tries_against,conv_for,conv_against,pens_for,pens_against,dg_for,dg_against,ball_possession_last_10_mins,carries_crossed_gain_line,carries_metres,carries_not_made_gain_line,clean_breaks,conversion_goals,defenders_beaten,kicks_from_hand,lineout_success,lineout_won_steal,lineouts_Lost,lineouts_lost,lineouts_won,mauls_lost,mauls_total,mauls_won,mauls_won_penalty,mauls_won_try,missed_conversion_goals,missed_penalty_goals,missed_tackles,offload,passes,pc_possession_first,pc_possession_second,penalties_conceded,penalty_goals,possession,red_card_second_yellow,red_cards,rucks_lost,rucks_total,rucks_won,runs,scrums_lost,scrums_success,scrums_won,tackles,turnovers_conceded,turnovers_won,yellow_cards
2022,1242,Super Rugby Pacific,3,4707313,2022-03-05,Blues,296,Chiefs,290,home,24,22,W,2,3,3,3,2,1,1,0,0,0.11,44,316,25,3,3,15,20,0.67,1,3.0,,6,1,4,3,1,0,0,1,22,5,105,0.49,0.51,12,1,0.5,0,0,4,67,63,87,0,0.86,12,121,11,9,1
2022,1242,Super Rugby Pacific,3,4707313,2022-03-05,Chiefs,290,Blues,296,away,22,24,L,-2,3,3,2,3,1,1,0,0,0.89,58,401,33,6,2,22,16,0.93,1,1.0,,13,1,2,1,0,0,1,3,15,7,147,0.51,0.49,9,1,0.5,0,0,4,72,68,95,1,0.67,6,122,15,6,0
2022,1242,Super Rugby Pacific,3,4707322,2022-03-05,Hurricanes,299,Highlanders,302,home,21,14,W,7,3,2,3,2,0,0,0,0,0.81,56,432,31,5,3,15,21,0.8,0,2.0,,8,0,0,0,0,0,0,2,23,8,130,0.42,0.38,12,0,0.4,0,0,3,76,73,95,0,0.75,9,159,18,9,0
2022,1242,Super Rugby Pacific,3,4707322,2022-03-05,Highlanders,302,Hurricanes,299,away,14,21,L,-7,2,3,2,3,0,0,0,0,0.19,74,514,38,5,2,23,18,1.0,1,0.0,,14,0,5,5,1,0,0,2,15,11,193,0.58,0.62,9,0,0.6,0,0,5,106,101,130,0,1.0,9,112,22,3,0
2022,1242,Super Rugby Pacific,3,4707331,2022-03-05,ACT Brumbies,467,NSW Waratahs,617,home,27,20,W,7,3,2,3,2,2,2,0,0,0.86,47,274,28,2,3,16,25,0.89,1,2.0,,17,2,6,4,0,0,0,0,28,7,102,0.61,0.32,9,2,0.45,0,0,3,67,64,83,1,0.5,5,165,14,7,0
2022,1242,Super Rugby Pacific,3,4707331,2022-03-05,NSW Waratahs,617,ACT Brumbies,467,away,20,27,L,-7,2,3,2,3,2,2,0,0,0.14,70,451,42,6,2,28,19,0.92,1,1.0,,11,1,3,2,0,0,0,1,16,10,191,0.39,0.68,14,2,0.55,0,0,5,110,105,129,0,1.0,4,102,14,8,0
2022,1242,Super Rugby Pacific,4,4707376,2022-03-11,Blues,296,Highlanders,302,home,32,20,W,12,4,1,3,1,2,2,0,0,0.25,66,519,36,8,3,20,25,0.91,2,1.0,,10,0,6,6,0,0,1,0,14,10,159,0.43,0.52,18,2,0.48,0,0,4,88,84,110,1,0.71,5,142,17,4,1
2022,1242,Super Rugby Pacific,4,4707376,2022-03-11,Highlanders,302,Blues,296,away,20,32,L,-12,1,4,1,3,2,2,0,0,0.75,44,278,51,4,1,14,21,0.71,0,5.0,,12,0,4,4,1,0,0,0,20,7,154,0.57,0.48,8,2,0.52,0,0,3,90,87,104,1,0.82,9,131,11,5,0
2022,1242,Super Rugby Pacific,4,4707385,2022-03-11,Melbourne Rebels,53,ACT Brumbies,467,home,17,36,L,-19,2,6,2,3,1,0,0,0,0.19,65,331,36,2,2,19,16,0.94,0,1.0,,16,1,6,5,2,0,0,1,28,4,160,0.46,0.65,13,1,0.57,0,0,2,97,95,115,1,0.71,5,68,14,2,1
2022,1242,Super Rugby Pacific,4,4707385,2022-03-11,ACT Brumbies,467,Melbourne Rebels,53,away,36,17,W,19,6,2,3,2,0,1,0,0,0.81,49,451,25,8,3,28,19,0.94,0,1.0,,15,0,5,5,1,0,3,0,19,9,119,0.54,0.35,16,0,0.43,0,0,2,47,45,80,3,0.67,8,161,12,4,3
2022,1242,Super Rugby Pacific,4,4707421,2022-03-12,Fijian Drua,1340,Queensland Reds,767,away,28,33,L,-5,3,5,2,1,3,2,0,0,0.78,38,485,24,7,2,17,17,0.83,0,2.0,,10,0,1,1,0,0,1,0,32,8,89,0.39,0.34,10,3,0.36,0,0,6,49,43,70,1,0.71,5,159,11,8,1
2022,1242,Super Rugby Pacific,4,4707421,2022-03-12,Queensland Reds,767,Fijian Drua,1340,home,33,28,W,5,5,3,1,2,2,3,0,0,0.22,86,652,36,7,1,32,17,0.93,2,1.0,,13,1,4,3,0,1,4,0,17,11,207,0.61,0.66,14,2,0.64,0,0,7,100,93,130,0,0.8,4,81,13,8,2
2022,1242,Super Rugby Pacific,4,4707412,2022-03-12,Chiefs,290,Crusaders,305,away,24,21,W,3,3,2,3,1,1,3,0,0,0.17,102,583,45,3,3,27,20,0.95,0,1.0,,18,1,2,1,0,0,0,0,21,17,245,0.47,0.68,10,1,0.58,0,0,2,132,130,169,0,0.8,4,96,20,4,0
2022,1242,Super Rugby Pacific,4,4707412,2022-03-12,Crusaders,305,Chiefs,290,home,21,24,L,-3,2,3,1,3,3,1,0,0,0.83,52,416,28,6,1,21,26,0.91,0,1.0,,10,0,2,2,0,0,1,0,27,8,145,0.53,0.32,13,3,0.42,0,0,3,64,61,85,1,0.73,8,215,12,6,0
2022,1242,Super Rugby Pacific,4,4707394,2022-03-13,NSW Waratahs,617,Western Force,236,home,22,17,W,5,2,2,0,2,4,1,0,0,0.28,47,259,26,2,0,8,14,0.75,0,3.0,,9,1,5,4,0,1,2,0,12,4,147,0.56,0.42,15,4,0.49,0,0,4,76,72,85,0,0.82,9,97,12,8,1
2022,1242,Super Rugby Pacific,4,4707394,2022-03-13,Western Force,236,NSW Waratahs,617,away,17,22,L,-5,2,2,2,0,1,4,0,0,0.72,44,323,25,6,2,12,11,0.77,1,3.0,,10,2,5,3,0,0,0,1,8,3,130,0.44,0.58,15,1,0.51,0,0,5,68,63,81,2,0.69,9,112,12,6,1
2022,1242,Super Rugby Pacific,5,4707475,2022-03-18,ACT Brumbies,467,Queensland Reds,767,home,16,12,W,4,1,2,1,1,3,0,0,0,0.5,29,244,21,4,1,13,23,0.94,2,1.0,,15,0,8,8,1,0,0,0,18,1,88,0.36,0.56,11,3,0.48,0,0,2,47,45,61,2,0.57,8,120,8,6,1
2022,1242,Super Rugby Pacific,5,4707475,2022-03-18,Queensland Reds,767,ACT Brumbies,467,away,12,16,L,-4,2,1,1,1,0,3,0,0,0.5,49,242,25,4,1,18,19,0.81,0,3.0,,13,0,4,4,0,0,1,1,13,5,113,0.64,0.44,15,0,0.52,0,0,3,76,73,90,1,0.8,4,72,13,5,0
