id,display_name,full_name,team_name,team_id,team_short_code,hemisphere,skill,skill_desc,value,sel_percentage,sel_cap_percentage,is_active,available_status,injury_status,player_status,cur_gd_points,min_in_game
180778,K. Rowe,Kyle Rowe,Scotland,2,sco,1,8,BACK THREE,5.5,2.9,0.0286,1,,,,0,2
122907,R. Ntamack,Romain Ntamack,France,5,fra,1,6,FLY-HALF,7,5.5,1.141,1,,,,26.00,2
240624,S. Ravutaumada,Selestino Ravutaumada,Fiji,243,fij,2,7,CENTRE,5,6.3,0.0477,1,,,,32.00,2
245050,M. Jorgensen,Max Jorgensen,Australia,9,aus,2,8,BACK THREE,7.5,16.3,1.0217,1,,,,23.00,3
145361,H. Keenan,Hugo Keenan,Ireland,4,ire,1,8,BACK THREE,5.5,5.7,0.0907,1,,,,35.00,2
214439,R. Valetini,Rob Valetini,Australia,9,aus,2,3,LOOSE FORWARD,6.5,12.5,0.1766,1,,,,32.00,3
100192,J. Bayliss,Josh Bayliss,Scotland,2,sco,1,3,LOOSE FORWARD,4,4.4,0.0573,1,,,,42.00,2
136947,B. Paenga-Amosa,Brandon Paenga-Amosa,Australia,9,aus,2,2,HOOKER,4,2.9,0.0048,1,,,,35.00,3
212902,D. Lake,Dewi Lake,Wales,3,wal,1,2,HOOKER,6,4.6,0.1671,1,,,,22.00,3
189326,M. Smith,Marcus Smith,England,1,eng,1,6,FLY-HALF,4.5,2.6,0.1098,1,,,,28.00,3
242264,JA. Suaalii,Joseph-Aukuso Suaalii,Australia,9,aus,2,7,CENTRE,7.5,16.3,0.296,1,,,,21.00,3
222388,Y. Moefana,Yoram Moefana,France,5,fra,1,7,CENTRE,6.5,11.2,0.1194,1,,,,18.00,3
239634,H. Pollock,Henry Pollock,England,1,eng,1,3,LOOSE FORWARD,5.5,22.9,0.2626,1,,,,13.00,3
169055,J. Barrett,Jordie Barrett,New Zealand,7,nzl,2,7,CENTRE,8,11.2,1.0026,1,,,,24.00,3
189190,M. Lamothe,Maxime Lamothe,France,5,fra,1,2,HOOKER,4.5,3.2,0.0286,1,,,,42.00,3
210801,S. Cummings,Scott Cummings,Scotland,2,sco,1,4,LOCK,6,5,0.0191,1,,,,32.00,3
129616,F. McReight,Fraser McReight,Australia,9,aus,2,3,LOOSE FORWARD,7,11.2,0.191,1,,,,8.00,3
160801,J. George,Jamie George,England,1,eng,1,2,HOOKER,5.5,6.7,0.296,1,,,,17.00,3
165591,M. Carreras,Mateo Carreras,Argentina,10,arg,2,8,BACK THREE,5,6,0.0907,1,,,,23.00,3
102468,E. de Groot,Ethan de Groot,New Zealand,7,nzl,2,1,PROP,7,16.3,0.4488,1,,,,19.00,3
165007,E. Genge,Ellis Genge,England,1,eng,1,1,PROP,5.5,27.4,0.4201,1,,,,24.00,3
229297,R. Love,Ruben Love,New Zealand,7,nzl,2,6,FLY-HALF,5,10.3,1.5994,1,,,,22.00,3
241018,S. Jansen,Sean Jansen,Ireland,4,ire,1,3,LOOSE FORWARD,3.5,2.3,0.0095,1,,,,12.00,2
229557,T. Menoncello,Tommaso Menoncello,Italy,6,ita,1,7,CENTRE,8,18.7,2.2916,1,,,,0,2
110910,J. Kriel,Jesse Kriel,South Africa,8,rsa,2,7,CENTRE,7,15,0.5777,1,,,,26.00,3
238928,W. Dearns,Warner Dearns,Japan,103,jpn,2,4,LOCK,6.5,16.1,0.0907,1,,,,29.00,3
239638,T. Matsunaga,Takuro Matsunaga,Japan,103,jpn,2,8,BACK THREE,3.5,3,0.0143,1,,,,16.00,3
185160,C. Taylor,Codie Taylor,New Zealand,7,nzl,2,2,HOOKER,7.5,4.3,0.1957,1,,,,14.00,3
137153,J. Wiese,Jasper Wiese,South Africa,8,rsa,2,3,LOOSE FORWARD,6.5,10.6,0.3103,1,,,,40.00,2
120191,M. Lamaro,Michele Lamaro,Italy,6,ita,1,3,LOOSE FORWARD,6,1.5,0.0286,1,,,,31.00,3
185293,L. Ikitau,Len Ikitau,Australia,9,aus,2,7,CENTRE,6.5,7,0.0859,1,,,,32.00,3
223308,A. Grandidier-Nkanang,Aaron Grandidier-Nkanang,France,5,fra,1,8,BACK THREE,4,5.2,0.3819,1,,,,11.00,2
229857,J. Williams,Jeremy Williams,Australia,9,aus,2,4,LOCK,5.5,13,0.0143,1,,,,27.00,3
237233,R. Vintcent,Ross Vintcent,Italy,6,ita,1,3,LOOSE FORWARD,4.5,5.7,0.0239,1,,,,31.00,3
196773,P. Schoeman,Pierre Schoeman,Scotland,2,sco,1,1,PROP,6,5.3,0.0477,1,,,,28.00,3
241677,P. de Villiers,Paul de Villiers,South Africa,8,rsa,2,3,LOOSE FORWARD,4,2.9,0.043,1,,,,51.00,2
211240,D. Sheehan,Dan Sheehan,Ireland,4,ire,1,2,HOOKER,8,12.3,1.2174,1,,,,32.00,2
229505,L. Cinti,Lucio Cinti,Argentina,10,arg,2,7,CENTRE,6,2.3,0.0095,1,,,,6.00,3
195298,J. Dobie,Jamie Dobie,Scotland,2,sco,1,5,SCRUM-HALF,5,1.7,0.0095,1,,,,37.00,3
243508,T. Jordan,Tom Jordan,Scotland,2,sco,1,7,CENTRE,4.5,6.2,0.1003,1,,,,36.00,3
109648,S. Atkinson,Seb Atkinson,England,1,eng,1,7,CENTRE,4,1.3,0.0095,1,,,,29.00,3
119955,R. Carre,Rhys Carre,Wales,3,wal,1,1,PROP,4.5,29.1,0.1337,1,,,,16.00,3
224426,T. OToole,Tom OToole,Ireland,4,ire,1,1,PROP,4,11,0.0239,1,,,,16.00,3
243815,M. Gazzotti,Marko Gazzotti,France,5,fra,1,3,LOOSE FORWARD,4,6.2,0.0143,1,,,,8.00,3
187820,R. Darge,Rory Darge,Scotland,2,sco,1,3,LOOSE FORWARD,6.5,3.6,0.0764,1,,,I,0,2
126800,J. van der Flier,Josh van der Flier,Ireland,4,ire,1,3,LOOSE FORWARD,6,8.6,0.1528,1,,,,17.00,2
180382,B. Delguy,Bautista Delguy,Argentina,10,arg,2,8,BACK THREE,5,1.9,0.0191,1,,,,23.00,3
240478,G. Hiddleston,Gregor Hiddleston,Scotland,2,sco,1,2,HOOKER,4,3.6,0.0143,1,,,,25.00,3
223413,J. McCarthy,Joe McCarthy,Ireland,4,ire,1,4,LOCK,6.5,5.8,0.0525,1,,,,48.00,2
190708,H. Wilson,Harry Wilson,Australia,9,aus,2,3,LOOSE FORWARD,6,6.6,0.0716,1,,,,13.00,3
251199,H. Era,Hayate Era,Japan,103,jpn,2,2,HOOKER,3.5,0.4,0.0048,1,,,,25.00,3
207343,G. Williams,Grant Williams,South Africa,8,rsa,2,5,SCRUM-HALF,7,4.2,0.2005,1,,,,0,2
172455,D. van der Merwe,Duhan van der Merwe,Scotland,2,sco,1,8,BACK THREE,5,5.2,0.2483,1,,,,56.00,1
146815,A. Bell,Angus Bell,Australia,9,aus,2,1,PROP,7,21.5,0.1957,1,,,,28.00,3
196669,Z. Fagerson,Zander Fagerson,Scotland,2,sco,1,1,PROP,6.5,1.7,0.043,1,,,,21.00,3
159599,M. Fagerson,Matt Fagerson,Scotland,2,sco,1,3,LOOSE FORWARD,5.5,1.7,0,1,,,,0,2
193134,N. Timoney,Nick Timoney,Ireland,4,ire,1,3,LOOSE FORWARD,5,2.9,0.0095,1,,,,6.00,3
106142,L. Cowan-Dickie,Luke Cowan-Dickie,England,1,eng,1,2,HOOKER,4.5,0.9,0.0095,1,,,,27.00,3
172351,S. McCloskey,Stuart McCloskey,Ireland,4,ire,1,7,CENTRE,6.5,12.2,0.3437,1,,,,9.00,3
173801,A. Coles,Alex Coles,England,1,eng,1,4,LOCK,5,8.1,0.0382,1,,,,16.00,3
188057,B. White,Ben White,Scotland,2,sco,1,5,SCRUM-HALF,4.5,3,0.0382,1,,,,0,2
156918,T. Freeman,Tommy Freeman,England,1,eng,1,8,BACK THREE,7,14.6,0.888,1,,,,36.00,3
136190,L. Jacobson,Luke Jacobson,New Zealand,7,nzl,2,3,LOOSE FORWARD,4,2.2,0.0143,1,,,,14.00,3
240621,D. Pietsch,Dylan Pietsch,Australia,9,aus,2,8,BACK THREE,6.5,1.3,0.0095,1,,,,0,2
130487,N. Brex,Nacho Brex,Italy,6,ita,1,7,CENTRE,6,3.6,0.0239,1,,,,5.00,3
141860,E. Ashman,Ewan Ashman,Scotland,2,sco,1,2,HOOKER,5.5,1.7,0.0095,1,,,,0,2
219485,R. Lonergan,Ryan Lonergan,Australia,9,aus,2,5,SCRUM-HALF,4,2.4,0.0286,1,,,,16.00,3
189982,S. Carreras,Santiago Carreras,Argentina,10,arg,2,8,BACK THREE,6.5,7.3,0.3055,1,,,,10.00,3
191608,C. Reinach,Cobus Reinach,South Africa,8,rsa,2,5,SCRUM-HALF,6.5,4.6,0.3055,1,,,,46.00,2
138016,H. Slade,Henry Slade,England,1,eng,1,7,CENTRE,4,2.7,0.0286,1,,,,16.00,3
182170,R. Elias,Ryan Elias,Wales,3,wal,1,2,HOOKER,4,0.3,0,1,,,,14.00,3
216173,J. Gibson-Park,Jamison Gibson-Park,Ireland,4,ire,1,5,SCRUM-HALF,7,12.5,1.0599,1,,,,8.00,2
151974,B. Proctor,Billy Proctor,New Zealand,7,nzl,2,7,CENTRE,6,0.6,0.0239,1,,,,0,2
135572,J. Cornelsen,Jack Cornelsen,Japan,103,jpn,2,4,LOCK,5.5,2.2,0.0095,1,,,,11.00,3
240916,B. Wenger,Boris Wenger,Argentina,10,arg,2,1,PROP,4,0.4,0.0048,1,,,,22.00,3
103821,E. Mawi,Eroni Mawi,Fiji,243,fij,2,1,PROP,5,3.4,0.0191,1,,,,17.00,3
188103,P. Sowakula,Pita Gus Sowakula,Fiji,243,fij,2,3,LOOSE FORWARD,4,1,0.0095,1,,,,20.00,3
195116,H. Potter,Harry Potter,Australia,9,aus,2,8,BACK THREE,5.5,1.8,0.0525,1,,,,45.00,1
233314,T. Main,Taira Main,Japan,103,jpn,2,8,BACK THREE,3.5,0.1,0,1,,,,7.00,2
171003,P. du Toit,Pieter-Steph du Toit,South Africa,8,rsa,2,3,LOOSE FORWARD,8.5,15,1.9622,1,,,,19.00,3
197335,L. Cannone,Lorenzo Cannone,Italy,6,ita,1,3,LOOSE FORWARD,6,2.8,0.0286,1,,,,0,2
113737,J. van Poortvliet,Jack van Poortvliet,England,1,eng,1,5,SCRUM-HALF,4,1.1,0.0143,1,,,,19.00,3
206415,M. Harada,Mamoru Harada,Japan,103,jpn,2,2,HOOKER,4,0.8,0.0095,1,,,,0,2
246824,Z. Porthen,Zac Porthen,South Africa,8,rsa,2,1,PROP,3,2.7,0.0239,1,,,,0,2
128023,S. Rayasi,Salesi Rayasi,Fiji,243,fij,2,8,BACK THREE,6.5,4.2,0.1719,1,,,,0.00,3
119132,A. Wainwright,Aaron Wainwright,Wales,3,wal,1,3,LOOSE FORWARD,6.5,3.6,0.1194,1,,,,9.00,3
142211,G. Martin,George Martin,England,1,eng,1,4,LOCK,4,9.6,0.0191,1,,,,15.00,3
156336,T. Wright,Tom Wright,Australia,9,aus,2,8,BACK THREE,6,3,0.0621,1,,,,24.00,3
229303,S. Darry,Sam Darry,New Zealand,7,nzl,2,4,LOCK,5.5,2.8,0.0095,1,,,,0,2
120076,M. Leitch,Michael Leitch,Japan,103,jpn,2,3,LOOSE FORWARD,5,0.5,0.0048,1,,,,23.00,3
137453,J. Adams,Josh Adams,Wales,3,wal,1,8,BACK THREE,4.5,9.9,0.0812,1,,,,0,2
246851,T. Rapetti,Toms Rapetti,Argentina,10,arg,2,1,PROP,3,7.1,0.0048,1,,,,8.00,3
154929,C. Kolbe,Cheslin Kolbe,South Africa,8,rsa,2,8,BACK THREE,8,18.7,4.3636,1,,,,0,1
241794,W. Sititi,Wallace Sititi,New Zealand,7,nzl,2,3,LOOSE FORWARD,6.5,2.7,0.0525,1,,,,0,2
134796,J. Heyes,Joe Heyes,England,1,eng,1,1,PROP,6.5,3.5,0.043,1,,,,22.00,3
203381,J. Ryan,James Ryan,Ireland,4,ire,1,4,LOCK,5.5,5.5,0.0143,1,,,,15.00,3
128750,A. Zambonin,Andrea Zambonin,Italy,6,ita,1,4,LOCK,5.5,5.3,0.0477,1,,,,-1.00,3
243190,B. Murray,Blair Murray,Wales,3,wal,1,8,BACK THREE,4.5,4.3,0.0334,1,,,,5.00,3
226014,C. Wiese,Cobus Wiese,South Africa,8,rsa,2,4,LOCK,4,5,0.0286,1,,,,28.00,2
236606,L. Marin,Leonardo Marin,Italy,6,ita,1,6,FLY-HALF,4,0.3,0,1,,,,3.00,3
109816,R. Hutchinson,Rory Hutchinson,Scotland,2,sco,1,7,CENTRE,4,1.7,0.0143,1,,,,0,2
236602,T. di Bartolomeo,Tommaso di Bartolomeo,Italy,6,ita,1,2,HOOKER,3.5,1.3,0.0048,1,,,,0,2
101634,T. Vaai,Tupou Vaai,New Zealand,7,nzl,2,4,LOCK,5,5.7,0.0143,1,,,,20.00,2
150038,T. Lomax,Tyrel Lomax,New Zealand,7,nzl,2,1,PROP,5,3,0.0095,1,,,,13.00,3
111475,J. Lord,Josh Lord,New Zealand,7,nzl,2,4,LOCK,6,2.4,0.0191,1,,,,19.00,3
174318,M. Ioane,Monty Ioane,Italy,6,ita,1,8,BACK THREE,5,2.7,0.043,1,,,,32.00,2
244170,L.Nouchi,Lenni Nouchi,France,5,fra,1,3,LOOSE FORWARD,5,1.6,0.0143,1,,,,9.00,2
112684,G. Pepper,Guy Pepper,England,1,eng,1,3,LOOSE FORWARD,4.5,4,0.0334,1,,,,24.00,3
144570,J. OBrien,Jimmy OBrien,Ireland,4,ire,1,8,BACK THREE,4,1.8,0.0382,1,,,,7.00,3
136875,G. Lucchesi,Gianmarco Lucchesi,Italy,6,ita,1,2,HOOKER,3.5,0.7,0,1,,,,19.00,3
144635,O. Chessum,Ollie Chessum,England,1,eng,1,4,LOCK,6.5,22.9,0.5156,1,,,,15.00,3
178222,J. Campbell,Jock Campbell,Australia,9,aus,2,8,BACK THREE,4,1.8,0.0048,1,,,,0,2
156253,P. Garbisi,Paolo Garbisi,Italy,6,ita,1,6,FLY-HALF,7,2,0.2435,1,,,,4.00,3
118531,R. Kelleher,Ronan Kelleher,Ireland,4,ire,1,2,HOOKER,6,1.5,0.0191,1,,,,4.00,3
103440,F. Ruzza,Federico Ruzza,Italy,6,ita,1,4,LOCK,5.5,0.6,0,1,,,,24.00,2
222920,G. Brown,Gregor Brown,Scotland,2,sco,1,4,LOCK,4.5,6.4,0.0048,1,,,,8.00,3
132322,K.Tixeront,Killian Tixeront,France,5,fra,1,3,LOOSE FORWARD,4,0.4,0,1,,,,3.00,3
225770,A. Aumua,Asafo Aumua,New Zealand,7,nzl,2,2,HOOKER,4,0.8,0.0095,1,,,,31.00,2
110905,B. Dixon,Ben-Jason Dixon,South Africa,8,rsa,2,3,LOOSE FORWARD,4,1.1,0,1,,,,2.00,3
197546,J. Hawkins,Joe Hawkins,Wales,3,wal,1,7,CENTRE,6,0.4,0,1,,,,3.00,3
202316,F. Lomani,Frank Lomani,Fiji,243,fij,2,5,SCRUM-HALF,3.5,1.1,0.0048,1,,,,11.00,3
104572,T. du Toit,Thomas du Toit,South Africa,8,rsa,2,1,PROP,7,15.2,0.8498,1,,,,0,2
237803,K. Ravouvou,Kalaveti Ravouvou,Fiji,243,fij,2,8,BACK THREE,6.5,1.4,0.0286,1,,,,0,2
113444,T. Furlong,Tadhg Furlong,Ireland,4,ire,1,1,PROP,5,5.7,0.0525,1,,,,26.00,2
164116,R. Henshaw,Robbie Henshaw,Ireland,4,ire,1,7,CENTRE,5,0.8,0.0048,1,,,,0,1
226250,I. Nasilasila,Isoa Nasilasila,Fiji,243,fij,2,4,LOCK,4.5,2.1,0,1,,,,9.00,3
226185,K. Salawa,Kitione Salawa,Fiji,243,fij,2,3,LOOSE FORWARD,4.5,2.7,0.0143,1,,,,15.00,2
133457,A. Hastoy,Antoine Hastoy,France,5,fra,1,6,FLY-HALF,4,0.2,0.0095,1,,,,0,1
113000,J. Dempsey,Jack Dempsey,Scotland,2,sco,1,3,LOOSE FORWARD,6.5,2.6,0.0525,1,,,,0,2
222623,T. Curry,Tom Curry,England,1,eng,1,3,LOOSE FORWARD,6,3.3,0.0764,1,,,,15.00,3
133163,T. Williams,Tomos Williams,Wales,3,wal,1,5,SCRUM-HALF,5.5,4.5,0.0955,1,,,,0.00,3
143048,A. Alaalatoa,Allan Alaalatoa,Australia,9,aus,2,1,PROP,5.5,4.1,0.0143,1,,,,15.00,3
103703,H. Hockings,Harry Hockings,Japan,103,jpn,2,4,LOCK,4.5,1.5,0,1,,,,4.00,3
197246,T. Stewart,Tom Stewart,Ireland,4,ire,1,2,HOOKER,4,0.2,0,1,,,,0,1
149746,S. McDowall,Stafford McDowall,Scotland,2,sco,1,7,CENTRE,4,1.2,0.0382,1,,,,33.00,2
255396,M. Faissal,Malik Faissal,Italy,6,ita,1,8,BACK THREE,3.5,1.2,0,1,,,,0,2
202570,T. Staniforth,Tom Staniforth,France,5,fra,1,4,LOCK,3.5,1.6,0.0048,1,,,,10.00,3
131550,T. Okabe,Takato Okabe,Japan,103,jpn,2,1,PROP,3,1.1,0,1,,,,8.00,3
261209,S. Otsuka,Sojiro Otsuka,Japan,103,jpn,2,1,PROP,3,0.5,0,1,,,,18.00,3
157863,F. Russell,Finn Russell,Scotland,2,sco,1,6,FLY-HALF,8.5,18.2,4.3015,1,,,,0,1
147486,T. Beirne,Tadhg Beirne,Ireland,4,ire,1,4,LOCK,7.5,13.3,0.4249,1,,,,16.00,3
190669,K. Arendse,Kurt-Lee Arendse,South Africa,8,rsa,2,8,BACK THREE,6.5,14.7,3.0268,1,,,,26.00,2
117303,P. Mauvaka,Peato Mauvaka,France,5,fra,1,2,HOOKER,6.5,1.1,0.0239,1,,,,18.00,2
204526,M. Kremer,Marcos Kremer,Argentina,10,arg,2,3,LOOSE FORWARD,6,1.5,0.0239,1,,,,10.00,2
214124,J. Botham,James Botham,Wales,3,wal,1,3,LOOSE FORWARD,6,0.2,0.0048,1,,,,8.00,3
225264,R. Nortje,Ruan Nortje,South Africa,8,rsa,2,4,LOCK,6,3.8,0.043,1,,,,0,2
244767,O. Jegou,Oscar Jegou,France,5,fra,1,3,LOOSE FORWARD,6,2,0.0048,1,,,,0,2
182650,C. Muntz,Caleb Muntz,Fiji,243,fij,2,6,FLY-HALF,5,0.3,0.0239,1,,,,17.00,2
165194,A.Roumat,Alexandre Roumat,France,5,fra,1,3,LOOSE FORWARD,5,0.5,0.0095,1,,,,33.00,1
199383,C. Frawley,Ciaran Frawley,Ireland,4,ire,1,6,FLY-HALF,4.5,0.4,0.0048,1,,,,7.00,3
108021,J. Poirot,Jefferson Poirot,France,5,fra,1,1,PROP,4,2.7,0.0095,1,,,,9.00,3
136509,F. Burke,Fergus Burke,Scotland,2,sco,1,6,FLY-HALF,4,0.8,0.0573,1,,,,18.00,2
252989,N. Caluori,Noah Caluori,England,1,eng,1,8,BACK THREE,4,1.5,0.0048,1,,,,0.00,2
168641,D. Lewis,Dillon Lewis,Wales,3,wal,1,1,PROP,3.5,1.4,0,1,,,,11.00,3
196853,T. Clarkson,Thomas Clarkson,Ireland,4,ire,1,1,PROP,3.5,0.6,0,1,,,,7.00,3
252481,J. Williams,Jaco Williams,South Africa,8,rsa,2,8,BACK THREE,3.5,2.9,0.2339,1,,,,33.00,1
219771,H. Pollard,Handre Pollard,South Africa,8,rsa,2,6,FLY-HALF,8,1.9,0.3772,1,,,,0,1
198661,D. Riley,Dylan Riley,Japan,103,jpn,2,7,CENTRE,5,0.7,0.0095,1,,,,15.00,3
164759,B. Warren,Ben Warren,Wales,3,wal,1,1,PROP,3,0.4,0,1,,,,-1.00,3
123723,D. Fischetti,Danilo Fischetti,Italy,6,ita,1,1,PROP,5.5,4.9,0.0334,1,,,,10.00,3
152990,T. Mayanavanua,Temo Mayanavanua,Fiji,243,fij,2,4,LOCK,5,1.7,0.0143,1,,,,11.00,3
250678,K. Ishida,Kippei Ishida,Japan,103,jpn,2,8,BACK THREE,4,0.4,0,1,,,,21.00,2
141337,F. Verhaeghe,Florian Verhaeghe,France,5,fra,1,4,LOCK,3.5,2.6,0.0095,1,,,,7.00,2
166930,P. Kovekalou,Peni Ravai Kovekalou,Fiji,243,fij,2,1,PROP,3.5,0.3,0.0048,1,,,,9.00,3
110170,K. Steyn,Kyle Steyn,Scotland,2,sco,1,8,BACK THREE,6.5,5,0.253,1,,,I,0,2
249797,K. Gourgues,Kalvin Gourgues,France,5,fra,1,7,CENTRE,5.5,1.4,0,1,,,,4.00,2
182760,M. Vivas,Mayco Vivas,Argentina,10,arg,2,1,PROP,4.5,2.3,0.0095,1,,,,1.00,3
208620,C. Tizzano,Carlo Tizzano,Australia,9,aus,2,3,LOOSE FORWARD,6,3.5,0.043,1,,,,28.00,1
238629,P. Lakai,Peter Lakai,New Zealand,7,nzl,2,3,LOOSE FORWARD,6,1.6,0.0239,1,,,,5.00,2
210952,T. McDermott,Tate McDermott,Australia,9,aus,2,5,SCRUM-HALF,4,1.1,0,1,,,,4.00,3
233260,S. Takeuchi,Shuhei Takeuchi,Japan,103,jpn,2,1,PROP,4,0.6,0.0095,1,,,,0,2
172284,M. Hasa,Muhamed Hasa,Italy,6,ita,1,1,PROP,3.5,0.5,0,1,,,,9.00,3
134112,E. Meafou,Emmanuel Meafou,France,5,fra,1,4,LOCK,7.5,2.1,0.0143,1,,,,16.00,2
105949,D. de Allende,Damian de Allende,South Africa,8,rsa,2,7,CENTRE,7,7.4,0.253,1,,,,7.00,2
127095,S. Grondona,Santiago Grondona,Argentina,10,arg,2,3,LOOSE FORWARD,5.5,0.8,0.0048,1,,,,3.00,3
245177,T. Costley,Tiennan Costley,Japan,103,jpn,2,3,LOOSE FORWARD,4.5,0.1,0,1,,,,15.00,3
208805,M. Doge,Mesake Doge,Fiji,243,fij,2,1,PROP,4,0.2,0,1,,,,16.00,2
111864,M. Spring,Max Spring,France,5,fra,1,8,BACK THREE,4,0.7,0,1,,,,0,1
196687,D. Penaud,Damian Penaud,France,5,fra,1,8,BACK THREE,7.5,6.2,0.444,1,,,I,0,1
116876,F. Newell,Fletcher Newell,New Zealand,7,nzl,2,1,PROP,6,1.1,0,1,,,,11.00,2
193699,E. Papier,Embrose Papier,South Africa,8,rsa,2,5,SCRUM-HALF,4,0.6,0.0239,1,,,,0,1
144545,B. Carter,Ben Carter,Wales,3,wal,1,4,LOCK,4,0.8,0.0095,1,,,,0,2
240668,G. Marini,Giulio Marini,Italy,6,ita,1,4,LOCK,3,1.3,0,1,,,,16.00,2
164832,Q. Tupaea,Quinn Tupaea,New Zealand,7,nzl,2,7,CENTRE,6.5,2.4,0.1098,1,,,,24.00,2
117823,M. Alemanno,Matias Alemanno,Argentina,10,arg,2,4,LOCK,6,3.7,0.0286,1,,,,8.00,3
235183,A. Mann,Alex Mann,Wales,3,wal,1,3,LOOSE FORWARD,5.5,1,0.0048,1,,,,9.00,2
194110,R. Isgro,Rodrigo Isgro,Argentina,10,arg,2,8,BACK THREE,5.5,1.3,0.0239,1,,,,0,1
130282,T. Allan,Tommaso Allan,Italy,6,ita,1,6,FLY-HALF,5,0.2,0.0143,1,,,,0,2
144180,O. Smith,Ollie Smith,Scotland,2,sco,1,7,CENTRE,4,0.5,0,1,,,,25.00,1
229690,J. Wessels,Jan-Hendrik Wessels,South Africa,8,rsa,2,1,PROP,3.5,0.7,0.0095,1,,,,2.00,3
107059,M. Riccioni,Marco Riccioni,Italy,6,ita,1,1,PROP,3.5,4,0.0095,1,,,,1.00,3
200003,P. Matera,Pablo Matera,Argentina,10,arg,2,3,LOOSE FORWARD,6.5,4.5,0.1146,1,,,,5.00,3
117646,B. Donaldson,Ben Donaldson,Australia,9,aus,2,6,FLY-HALF,5.5,0.4,0.0095,1,,,,22.00,2
215963,G. Petti,Guido Petti,Argentina,10,arg,2,4,LOCK,5.5,2.9,0.0143,1,,,,1.00,3
219828,G. Ringrose,Garry Ringrose,Ireland,4,ire,1,7,CENTRE,5.5,3.4,0.043,1,,,,18.00,2
