fantasy_id,full_name,team,skill_desc,value,api_player_id,rp_slug,in_api,in_rp
235935,Ignacio Ruiz,Argentina,HOOKER,4.0,208518.0,ignacio-ruiz,True,True
240916,Boris Wenger,Argentina,PROP,4.0,337350.0,boris-wenger,True,True
237152,Joaquin Moro,Argentina,LOOSE FORWARD,4.0,383400.0,joaquin-moro,True,True
171323,Jonny Gray,Scotland,LOCK,4.0,117852.0,jonny-gray,True,True
109816,Rory Hutchinson,Scotland,CENTRE,4.0,130554.0,rory-hutchinson,True,True
156422,Josh Nasser,Australia,HOOKER,4.0,153054.0,josh-nasser,True,True
219485,Ryan Lonergan,Australia,SCRUM-HALF,4.0,163734.0,ryan-lonergan,True,True
148312,Carter Gordon,Australia,FLY-HALF,4.0,191412.0,carter-gordon,True,True
178222,Jock Campbell,Australia,BACK THREE,4.0,173226.0,jock-campbell,True,True
224426,Tom OToole,Ireland,PROP,4.0,,tom-otoole,False,True
198565,Cian Prendergast,Ireland,LOOSE FORWARD,4.0,201978.0,cian-prendergast,True,True
136190,Luke Jacobson,New Zealand,LOOSE FORWARD,4.0,149676.0,luke-jacobson,True,True
108021,Jefferson Poirot,France,PROP,4.0,116592.0,jefferson-poirot,True,True
239229,Hugo Auradou,France,LOCK,4.0,238278.0,hugo-auradou,True,True
243815,Marko Gazzotti,France,LOOSE FORWARD,4.0,340140.0,marko-gazzotti,True,True
111864,Max Spring,France,BACK THREE,4.0,223356.0,max-spring,True,True
206415,Mamoru Harada,Japan,HOOKER,4.0,206910.0,mamoru-harada,True,True
233260,Shuhei Takeuchi,Japan,PROP,4.0,227256.0,shuhei-takeuchi-1,True,True
154414,Kanji Shimokawa,Japan,LOOSE FORWARD,4.0,185784.0,kanji-shimokawa-1,True,True
251673,Ryunosuke Ito,Japan,FLY-HALF,4.0,371430.0,ryunosuke-ito,True,True
250678,Kippei Ishida,Japan,BACK THREE,4.0,204228.0,kippei-ishida,True,True
251359,Yuya Hirose,Japan,CENTRE,4.0,371544.0,yuya-hirose,True,True
110891,Stephen Varney,Italy,SCRUM-HALF,4.0,213144.0,stephen-varney,True,True
