date,comp_id,comp_name,fixture_id,team,team_id,opponent,opponent_id,team_score,opp_score,player_id,player_name,jersey,started,minutes,yellow_cards,red_cards,available__minutes,available__yellow_cards,available__red_cards,tries,available__tries,try_assists,available__try_assists,conversion_goals,available__conversion_goals,penalty_goals,available__penalty_goals,drop_goals_converted,available__drop_goals_converted,metres,available__metres,defenders_beaten,available__defenders_beaten,clean_breaks,available__clean_breaks,offload,available__offload,runs,available__runs,tackles,available__tackles,missed_tackles,available__missed_tackles,dominant_tackles,available__dominant_tackles,tackle_success,available__tackle_success,tackle_turnover,available__tackle_turnover,tackle_try_saver,available__tackle_try_saver,rucks_won,available__rucks_won,rucks_lost,available__rucks_lost,passes,available__passes,bad_passes,available__bad_passes,lineouts_won,available__lineouts_won,turnovers_conceded,available__turnovers_conceded,penalties_conceded,available__penalties_conceded,missed_conversion_goals,available__missed_conversion_goals,missed_penalty_goals,available__missed_penalty_goals,drop_goal_missed,available__drop_goal_missed,points,available__points
2019-07-27,1326,Pacific Nations Cup,79621,Fiji,2879,Japan,9017,21,34,133008,Filipo Nakosi,14,True,50,1,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,15.0,True,2.0,True,0.0,True,0.0,True,2.0,True,3.0,True,2.0,True,,False,0.6,True,,False,,False,0.0,True,0.0,True,1.0,True,1.0,True,0.0,True,1.0,True,1.0,True,0.0,True,0.0,True,0.0,True,0.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Fiji,2879,Japan,9017,21,34,66414,Leone Nakarawa,5,True,80,0,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,1.0,True,0.0,True,0.0,True,2.0,True,4.0,True,11.0,True,0.0,True,,False,1.0,True,,False,,False,0.0,True,0.0,True,3.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Japan,9017,Fiji,2879,34,21,145170,Lomano Lemeki,23,False,21,0,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,31.0,True,3.0,True,1.0,True,0.0,True,1.0,True,0.0,True,0.0,True,,False,0.0,True,,False,,False,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Fiji,2879,Japan,9017,21,34,144870,Alifereti Veitokani,15,True,61,0,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,20.0,True,1.0,True,1.0,True,0.0,True,4.0,True,1.0,True,0.0,True,,False,1.0,True,,False,,False,0.0,True,0.0,True,3.0,True,0.0,True,1.0,True,1.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Japan,9017,Fiji,2879,34,21,123648,Ryoto Nakamura,12,True,80,0,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,34.0,True,1.0,True,1.0,True,0.0,True,6.0,True,2.0,True,5.0,True,,False,0.29,True,,False,,False,0.0,True,0.0,True,13.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Japan,9017,Fiji,2879,34,21,123720,Kenki Fukuoka,11,True,59,0,0,True,True,True,1.0,True,0.0,True,0.0,True,0.0,True,0.0,True,41.0,True,3.0,True,0.0,True,1.0,True,5.0,True,2.0,True,0.0,True,,False,1.0,True,,False,,False,0.0,True,0.0,True,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,5.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Japan,9017,Fiji,2879,34,21,123474,Yu Tamura,10,True,80,0,0,True,True,True,0.0,True,1.0,True,3.0,True,1.0,True,0.0,True,4.0,True,0.0,True,0.0,True,0.0,True,4.0,True,3.0,True,1.0,True,,False,0.75,True,,False,,False,0.0,True,0.0,True,25.0,True,0.0,True,0.0,True,2.0,True,2.0,True,2.0,True,0.0,True,0.0,True,9.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Japan,9017,Fiji,2879,34,21,141552,Kaito Shigeno,9,True,56,0,0,True,True,True,0.0,True,1.0,True,0.0,True,0.0,True,0.0,True,9.0,True,0.0,True,0.0,True,1.0,True,4.0,True,0.0,True,1.0,True,,False,0.0,True,,False,,False,0.0,True,0.0,True,60.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Japan,9017,Fiji,2879,34,21,127158,Keita Inagaki,1,True,70,0,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,1.0,True,0.0,True,0.0,True,0.0,True,4.0,True,5.0,True,0.0,True,,False,1.0,True,,False,,False,0.0,True,0.0,True,2.0,True,0.0,True,0.0,True,0.0,True,2.0,True,0.0,True,0.0,True,0.0,True,0.0,True
2019-07-27,1326,Pacific Nations Cup,79621,Japan,9017,Fiji,2879,34,21,67836,Shota Horie,2,True,61,0,0,True,True,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,27.0,True,3.0,True,1.0,True,1.0,True,9.0,True,6.0,True,1.0,True,,False,0.86,True,,False,,False,0.0,True,0.0,True,6.0,True,0.0,True,5.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
