id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,mkt_margin,weather_att,per80,exp_min,starter_exp,supersub_exp
235183,Alex Mann,Wales,1,Loose Forward,5.5,2.9,P,Fiji,False,16,0,-8.9,0.989,26.02,69.1,24.42,11.24
123723,Danilo Fischetti,Italy,1,Prop,5.5,15.7,P,Japan,False,30,0,7.9,0.992,17.1,55.8,13.16,5.96
128750,Andrea Zambonin,Italy,1,Lock,5.5,13.0,P,Japan,False,16,0,7.9,0.992,15.97,61.5,13.55,6.14
180778,Kyle Rowe,Scotland,1,Back Three,5.5,1.3,P,Argentina,False,18,0,-9.7,1.0,19.25,75.1,19.96,9.04
117646,Ben Donaldson,Australia,2,Fly Half,5.5,0.5,B,Ireland,True,11,0,-8.6,1.0,11.2,9.5,1.47,4.0
143048,Allan Alaalatoa,Australia,2,Prop,5.5,4.9,P,Ireland,True,19,0,-8.6,1.0,7.55,53.5,5.57,2.52
159599,Matt Fagerson,Scotland,1,Loose Forward,5.5,2.5,P,Argentina,False,27,0,-9.7,1.0,22.75,75.4,23.4,10.73
237000,Tom Hooper,Australia,2,Loose Forward,5.5,1.3,B,Ireland,True,14,0,-8.6,1.0,10.13,21.8,3.05,8.29
180443,Damian Willemse,South Africa,2,Back Three,5.5,8.1,P,England,True,13,0,24.9,1.0,23.55,74.9,24.0,11.02
235266,Joaquin Oviedo,Argentina,2,Loose Forward,5.5,3.1,P,Scotland,True,20,0,9.7,1.0,18.12,69.9,17.48,7.92
154458,Matias Moroni,Argentina,2,Centre,5.5,0.5,B,Scotland,True,16,0,9.7,1.0,15.53,27.3,5.84,15.89
229857,Jeremy Williams,Australia,2,Lock,5.5,6.8,P,Ireland,True,22,0,-8.6,1.0,8.35,68.3,7.86,3.56
177559,Alex Mitchell,England,1,Scrum Half,5.5,1.1,B,South Africa,False,20,0,-24.9,1.0,14.18,21.0,4.11,11.16
239634,Henry Pollock,England,1,Loose Forward,5.5,15.1,B,South Africa,False,10,0,-24.9,1.0,26.01,20.0,7.18,19.53
194110,Rodrigo Isgro,Argentina,2,Back Three,5.5,2.4,P,Scotland,True,14,0,9.7,1.0,22.99,61.2,19.41,8.8
133163,Tomos Williams,Wales,1,Scrum Half,5.5,4.5,P,Fiji,False,22,0,-8.9,0.989,12.35,73.4,12.49,5.66
219828,Garry Ringrose,Ireland,1,Centre,5.5,7.2,P,Australia,False,19,0,8.6,1.0,13.48,71.8,13.36,6.05
240455,Dan Edwards,Wales,1,Fly Half,5.5,1.5,P,Fiji,False,11,0,-8.9,0.989,10.73,68.6,10.15,4.6
145361,Hugo Keenan,Ireland,1,Back Three,5.5,6.3,P,Australia,False,11,0,8.6,1.0,19.04,78.4,20.59,9.33
127095,Santiago Grondona,Argentina,2,Loose Forward,5.5,1.0,P,Scotland,True,13,0,9.7,1.0,12.64,63.5,11.08,5.02
165007,Ellis Genge,England,1,Prop,5.5,8.9,P,South Africa,False,26,0,-24.9,1.0,18.58,56.5,14.49,6.56
160801,Jamie George,England,1,Hooker,5.5,5.7,P,South Africa,False,27,0,-24.9,1.0,24.14,56.0,18.64,8.45
179604,Josua Tuisova,Fiji,2,Centre,5.5,12.4,P,Wales,True,8,0,8.9,0.989,11.53,77.5,12.33,5.59
195298,Jamie Dobie,Scotland,1,Scrum Half,5.0,4.1,P,Argentina,False,18,0,-9.7,1.0,18.56,70.6,18.08,8.19
170612,Gerhard Steenekamp,South Africa,2,Prop,5.0,0.8,B,England,True,16,0,24.9,1.0,6.73,33.8,3.14,8.52
180382,Bautista Delguy,Argentina,2,Back Three,5.0,3.1,B,Scotland,True,14,0,9.7,1.0,22.14,35.0,10.44,29.06
120076,Michael Leitch,Japan,2,Loose Forward,5.0,0.5,B,Italy,True,10,0,-7.9,0.992,12.87,32.0,5.68,15.45
