split,fold,tournament,calendar_year,hemisphere,target,weight_v4,baseline_score,candidate_score,delta
development,autumn_internationals_2022,autumn_internationals,2022,mixed,bad_passes,0.55,0.9722658511270849,0.9715341843658667,-0.0007316667612181638
development,autumn_internationals_2022,autumn_internationals,2022,mixed,turnovers_conceded,0.3,1.0033203354156177,1.0079461188892587,0.004625783473640954
development,autumn_internationals_2022,autumn_internationals,2022,mixed,penalties_conceded,0.35,1.0149442866752414,1.0148850083183536,-5.927835688779304e-05
development,autumn_internationals_2022,autumn_internationals,2022,mixed,yellow_cards,0.5,0.8769022173940622,0.8769022173940622,0.0
development,autumn_internationals_2022,autumn_internationals,2022,mixed,red_cards,0.9,0.9210800684358154,0.9028195071399605,-0.01826056129585485
development,autumn_internationals_2022,autumn_internationals,2022,mixed,metres,0.1,0.8992467606854809,0.881821805781004,-0.01742495490447693
development,six_nations_2023,six_nations,2023,north,minutes,0.5,0.9957189010703089,0.9957189010703089,0.0
development,six_nations_2023,six_nations,2023,north,tries,0.1,0.9645542725263693,0.962151145050769,-0.0024031274756002308
development,six_nations_2023,six_nations,2023,north,try_assists,0.2,0.9364644443884089,0.9482119716691929,0.011747527280783987
development,six_nations_2023,six_nations,2023,north,conversion_goals,0.2,0.3356201410892671,0.3719399143697116,0.0363197732804445
development,six_nations_2023,six_nations,2023,north,missed_conversion_goals,0.25,0.5938074638778061,0.5802797833146555,-0.013527680563150679
development,six_nations_2023,six_nations,2023,north,penalty_goals,0.5,0.4901565554300102,0.4901565554300102,0.0
development,six_nations_2023,six_nations,2023,north,missed_penalty_goals,0.5,0.682561249725247,0.682561249725247,0.0
development,six_nations_2023,six_nations,2023,north,drop_goals_converted,0.75,0.5393442559818432,0.602460587085776,0.06311633110393278
development,six_nations_2023,six_nations,2023,north,drop_goal_missed,0.65,0.6490930901332527,0.6730522860548096,0.02395919592155693
development,six_nations_2023,six_nations,2023,north,defenders_beaten,0.25,0.9449815009241167,0.9305238484706649,-0.014457652453451764
development,six_nations_2023,six_nations,2023,north,clean_breaks,0.2,0.937395222961491,0.9334351372732352,-0.003960085688255788
development,six_nations_2023,six_nations,2023,north,offload,0.25,0.9672959301797989,0.9680179634151385,0.000722033235339592
development,six_nations_2023,six_nations,2023,north,runs,0.6,0.9266922332777028,0.9114263132921502,-0.0152659199855526
development,six_nations_2023,six_nations,2023,north,tackles,0.65,0.9230484467504869,0.9133449036622018,-0.009703543088285138
development,six_nations_2023,six_nations,2023,north,missed_tackles,0.4,0.8899346737341152,0.892493800727101,0.002559126992985883
development,six_nations_2023,six_nations,2023,north,rucks_won,0.6,0.5785669881259358,0.5755739962099615,-0.0029929919159742413
development,six_nations_2023,six_nations,2023,north,rucks_lost,0.65,0.989749143498649,0.9831868816287909,-0.006562261869858088
development,six_nations_2023,six_nations,2023,north,passes,0.65,0.8346883356700353,0.8049907491745183,-0.029697586495517014
development,six_nations_2023,six_nations,2023,north,bad_passes,0.55,0.9184604256670474,0.9166699213565416,-0.0017905043105058693
development,six_nations_2023,six_nations,2023,north,turnovers_conceded,0.3,1.0079757802515033,1.0031280497538282,-0.004847730497675062
development,six_nations_2023,six_nations,2023,north,penalties_conceded,0.35,0.9984217071634833,0.997983356364594,-0.0004383507988893198
development,six_nations_2023,six_nations,2023,north,yellow_cards,0.5,1.0293760030113221,1.0293760030113221,0.0
development,six_nations_2023,six_nations,2023,north,red_cards,0.9,1.1808237141319458,1.1458433062488111,-0.03498040788313461
development,six_nations_2023,six_nations,2023,north,metres,0.1,0.9643783412056048,0.9658801349945975,0.0015017937889926225
