target,weight_v4,development_score,selection_score
tackles,0.2,0.9645640191566177,0.9037590143127732
tackles,0.25,0.9564165514913994,0.8995314355492342
tackles,0.3,0.9494589464062086,0.8959710467998226
tackles,0.35,0.9435811745609535,0.893050893039292
tackles,0.4,0.9387117009073307,0.8907511579701143
tackles,0.45,0.934801703895282,0.88905673055306
tackles,0.5,0.9318172668590947,0.887955947812194
tackles,0.55,0.9297351073887771,0.8874398746143521
tackles,0.6,0.9285400835590832,0.8875018636275654
tackles,0.65,0.9282236869634422,0.8881372785316026
tackles,0.7,0.9287831365603292,0.88934332236625
tackles,0.75,0.9302208754674633,0.8911189406784327
tackles,0.8,0.932544370772513,0.8934647837966626
tackles,0.85,0.9357661754066762,0.8963832213874526
tackles,0.9,0.9399042557024043,0.8998784087774528
tackles,0.95,0.9449826343920414,0.9039564102025409
tackles,1.0,0.9510324638434182,0.9086253905471945
missed_tackles,0.0,0.976800727712495,0.9686125396470756
missed_tackles,0.05,0.9512363365440939,0.9666695321124346
missed_tackles,0.1,0.94818778238038,0.9649702312065852
missed_tackles,0.15,0.9459827756899319,0.9635006156853718
missed_tackles,0.2,0.9443181406863798,0.9622509342735986
missed_tackles,0.25,0.9430858905286146,0.9612140571580472
missed_tackles,0.3,0.9422311273597092,0.9603846398349644
missed_tackles,0.35,0.9417207449273823,0.9597586533257404
missed_tackles,0.4,0.9415328102986771,0.959333099640348
missed_tackles,0.45,0.9416520174625838,0.959105829810356
missed_tackles,0.5,0.9420674305109483,0.9590754231763322
missed_tackles,0.55,0.9427712457772205,0.9592411057529114
missed_tackles,0.6,0.943758066134637,0.9596026950780465
missed_tackles,0.65,0.9450244591315882,0.960160564086611
missed_tackles,0.7,0.9465686867083126,0.9609156194706682
missed_tackles,0.75,0.9483905481199059,0.9618692917526316
missed_tackles,0.8,0.9504913053214197,0.9630235354308954
missed_tackles,0.85,0.9528736759837846,0.9643808383407512
missed_tackles,0.9,0.9555418901923632,0.9659442399654447
missed_tackles,0.95,0.9585018165526777,0.9677173589305871
missed_tackles,1.0,0.9617611752130562,0.9697044303870995
rucks_won,0.0,0.8637611737587974,0.8872106496208986
rucks_won,0.05,0.7802365868423031,0.8524334826585166
rucks_won,0.1,0.7644240228870592,0.8456202296458813
rucks_won,0.15,0.7517225627883661,0.8400165094697337
rucks_won,0.2,0.7411256280817627,0.8352927368278351
rucks_won,0.25,0.7322221966932331,0.8313285001104439
rucks_won,0.3,0.7247791147273787,0.828059585883078
rucks_won,0.35,0.7186434300021945,0.8254449119239041
rucks_won,0.4,0.7137072080723095,0.8234554909706517
rucks_won,0.45,0.7098916526582139,0.8220697530672608
rucks_won,0.5,0.7071389594694361,0.8212712285553616
rucks_won,0.55,0.705407901222801,0.8210472696933505
rucks_won,0.6,0.7046715402327434,0.8213882914850892
rucks_won,0.65,0.7049164079866344,0.8222873007835689
rucks_won,0.7,0.7061429672644329,0.8237396013779374
rucks_won,0.75,0.7083675324666141,0.8257426172405015
rucks_won,0.8,0.7116262830620983,0.8282958038378664
rucks_won,0.85,0.7159828782762181,0.8314006333352021
rucks_won,0.9,0.7215432919068456,0.8350606503850141
rucks_won,0.95,0.7284877156227948,0.8392816046536323
rucks_won,1.0,0.7371531693712267,0.8440716770930559
rucks_lost,0.0,1.0265855558931576,1.0103011287062573
rucks_lost,0.05,1.0043246911001602,1.0065520542431512
rucks_lost,0.1,0.996304888156528,1.0031831529394823
rucks_lost,0.15,0.9898895963648103,1.0001519862011836
rucks_lost,0.2,0.9846127231672116,0.997427533294892
rucks_lost,0.25,0.9802383479776929,0.9949861257415279
rucks_lost,0.3,0.9766183907770892,0.9928092441213089
rucks_lost,0.35,0.9736505863689244,0.9908821948647818
rucks_lost,0.4,0.9712604601555721,0.9891932592728989
rucks_lost,0.45,0.9693920530075689,0.9877331204713017
rucks_lost,0.5,0.9680026171395906,0.9864944661305834
rucks_lost,0.55,0.9670593899044982,0.9854717092429536
rucks_lost,0.6,0.9665375837304752,0.9846607926809781
rucks_lost,0.65,0.9664191732755789,0.9840590565821367
rucks_lost,0.7,0.9666922892475355,0.9836651557336794
rucks_lost,0.75,0.9673511858673535,0.9834790195058124
rucks_lost,0.8,0.9683969250583199,0.983501850807366
rucks_lost,0.85,0.9698392468063689,0.9837361638108995
rucks_lost,0.9,0.971700948679795,0.984185863391974
rucks_lost,0.95,0.9740290193196592,0.9848563728976393
rucks_lost,1.0,0.9769309608587297,0.9857548216859476
passes,0.0,0.9642254036704383,0.8971950517812756
passes,0.05,0.8762995397816257,0.8728180328519879
passes,0.1,0.8588905248443355,0.8591128142050116
passes,0.15,0.8445479887603331,0.8468893601336829
passes,0.2,0.8323536028151067,0.8359684583987215
passes,0.25,0.821943973824149,0.826253634686278
passes,0.3,0.8131139944347626,0.8176759630869216
passes,0.35,0.8057276123567312,0.8101811021154607
passes,0.4,0.7996867000514508,0.8037244138426765
passes,0.45,0.794917267112286,0.7982685855388554
passes,0.5,0.7913623671174188,0.7937822797365125
passes,0.55,0.7889780842377261,0.7902393018479623
passes,0.6,0.7877311429398159,0.7876180746039042
passes,0.65,0.7875974825325265,0.7859013235507795
passes,0.7,0.7885614809483281,0.7850759310979295
passes,0.75,0.7906156823708238,0.7851329478867441
passes,0.8,0.7937609859853738,0.7860677760978706
passes,0.85,0.7980073360043943,0.7878805708613115
