engine,fold,slate_id,rubric,tier,n,mae,spearman,allowed_events,top_10_overlap,top_10_capture,top_25_overlap,top_25_capture,top_50_overlap,top_50_capture,top_100_overlap,top_100_capture,tournament,calendar_year,fold_hemisphere
p3_event_50,rugby_championship_2022,rugby_championship_2022_r6,six_nations,stable,91,5.602068212705406,0.6218968973089422,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.4,0.7198581560283688,0.5466666666666666,0.7988826815642458,0.7466666666666667,0.8512820512820513,,,rugby_championship,2022,south
p3_event_50,rugby_championship_2022,rugby_championship_2022_r1,ncr,stable,92,4.442985275349884,0.5390244708660014,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.5,0.6824644549763034,0.5466666666666666,0.7575757575757576,0.7433333333333333,0.8421955403087479,,,rugby_championship,2022,south
p3_event_50,rugby_championship_2022,rugby_championship_2022_r2,ncr,stable,92,5.763982278765461,0.4913570176075521,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.4,0.5956678700361011,0.584,0.7466918714555766,0.74,0.807277628032345,,,rugby_championship,2022,south
p3_event_50,rugby_championship_2022,rugby_championship_2022_r3,ncr,stable,92,5.560913555677674,0.4015515086745969,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.25,0.5321888412017167,0.5333333333333333,0.6705069124423964,0.68,0.7954545454545454,,,rugby_championship,2022,south
p3_event_50,rugby_championship_2022,rugby_championship_2022_r4,ncr,stable,92,5.436212043703732,0.5025078270608249,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.5,0.7721088435374149,0.48,0.7447619047619047,0.7066666666666667,0.8395061728395061,,,rugby_championship,2022,south
p3_event_50,rugby_championship_2022,rugby_championship_2022_r5,ncr,stable,92,5.46082988898588,0.6446453510413985,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.5,0.7133550488599348,0.72,0.8838095238095238,0.78,0.8799435028248588,,,rugby_championship,2022,south
p3_event_50,rugby_championship_2022,rugby_championship_2022_r6,ncr,stable,91,5.503784157621992,0.4935388355779898,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.4,0.6455696202531646,0.4666666666666666,0.6777041942604857,0.702857142857143,0.7885532591414944,,,rugby_championship,2022,south
p3_event_50,autumn_internationals_2022,autumn_internationals_2022_w43,six_nations,stable,92,6.056956078358184,0.7205358373444303,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.3,0.5892351274787535,0.64,0.7961019490254873,0.8133333333333332,0.8830347734457323,,,autumn_internationals,2022,mixed
p3_event_50,autumn_internationals_2022,autumn_internationals_2022_w44,six_nations,stable,253,5.697559921925691,0.6495964091896427,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.3,0.5569007263922519,0.24,0.5787589498806682,0.4533333333333333,0.6879169755374351,0.66,0.8306852035749752,autumn_internationals,2022,mixed
p3_event_50,autumn_internationals_2022,autumn_internationals_2022_w45,six_nations,stable,276,5.355748166101276,0.6040946890982463,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.1,0.5328083989501312,0.4,0.6901041666666666,0.512,0.7925867507886435,0.6635294117647059,0.8520739630184908,autumn_internationals,2022,mixed
p3_event_50,autumn_internationals_2022,autumn_internationals_2022_w46,six_nations,stable,253,5.803618397379536,0.6155294934312655,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.3,0.6311300639658849,0.52,0.7593220338983051,0.475,0.7947067238912733,0.6388888888888888,0.8347457627118644,autumn_internationals,2022,mixed
p3_event_50,autumn_internationals_2022,autumn_internationals_2022_w47,six_nations,stable,92,7.0669453967630975,0.431066086860127,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.5,0.7348703170028819,0.49,0.7513227513227513,0.6714285714285714,0.8239895697522817,,,autumn_internationals,2022,mixed
p3_event_50,autumn_internationals_2022,autumn_internationals_2022_w43,ncr,stable,92,5.854650025548182,0.6430408860414007,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.4,0.5785953177257525,0.56,0.7377622377622378,0.7666666666666667,0.8522727272727273,,,autumn_internationals,2022,mixed
p3_event_50,autumn_internationals_2022,autumn_internationals_2022_w44,ncr,stable,253,5.552690537715941,0.5791269993119583,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.35,0.5829145728643216,0.2533333333333333,0.5619295958279009,0.42,0.6357615894039735,0.6285714285714286,0.7834757834757835,autumn_internationals,2022,mixed
p3_event_50,autumn_internationals_2022,autumn_internationals_2022_w45,ncr,stable,276,5.288565491208543,0.502655716514922,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.25,0.4204545454545454,0.4,0.5982658959537572,0.5125,0.7291857273559011,0.6153333333333333,0.8186746987951807,autumn_internationals,2022,mixed
p3_event_50,autumn_internationals_2022,autumn_internationals_2022_w46,ncr,stable,253,5.732883058095728,0.5019733636131347,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.2,0.5661252900232019,0.512,0.7330779054916986,0.505,0.7574013157894737,0.5738461538461539,0.7806873977086743,autumn_internationals,2022,mixed
p3_event_50,autumn_internationals_2022,autumn_internationals_2022_w47,ncr,stable,92,6.712275512559551,0.3231410624382049,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.3,0.4299363057324841,0.44,0.7306122448979592,0.632,0.7831513260530422,,,autumn_internationals,2022,mixed
p3_event_50,six_nations_2023,six_nations_2023_r1,six_nations,stable,138,4.515281817156822,0.8115516699748246,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.3,0.7909604519774012,0.56,0.803763440860215,0.6933333333333332,0.8582214765100671,0.9116666666666668,0.9766899766899768,six_nations,2023,north
