target,reference,opponent,metric,n_pairs,mean_difference,p025,p975,negative_blocks,positive_blocks,leave_one_min,leave_one_max
fifty_22,p3_robust_native,p3_rolling_native,relative_loss,2,-0.0071363947623457324,-0.011801241373422977,-0.002471548151268488,2,0,-0.011801241373422977,-0.002471548151268488
fifty_22,p3_robust_native,p3_weighted_native,relative_loss,2,-0.0071363947623457324,-0.011801241373422977,-0.002471548151268488,2,0,-0.011801241373422977,-0.002471548151268488
lineout_steals,p3_robust_native,empirical_event,relative_loss,2,-0.11642261694971873,-0.13899685020287245,-0.09384838369656501,2,0,-0.13899685020287245,-0.09384838369656501
lineout_steals,p3_robust_native,p3_rolling_native,relative_loss,2,-0.004380355601242836,-0.0412419556882635,0.03248124448577783,1,1,-0.0412419556882635,0.03248124448577783
lineout_steals,p3_robust_native,p3_weighted_native,relative_loss,2,-0.004380355601242836,-0.0412419556882635,0.03248124448577783,1,1,-0.0412419556882635,0.03248124448577783
metres,p3_robust_native,empirical_event,relative_loss,22,-0.04105970868479775,-0.04817116490953921,-0.034581419375860734,22,0,-0.04213893823443365,-0.0394135239657298
metres,p3_robust_native,p3_rolling_native,relative_loss,22,-0.024179007087593126,-0.034023641764746766,-0.014389709709887536,21,1,-0.02694560814479799,-0.02191842486366189
metres,p3_robust_native,p3_weighted_native,relative_loss,22,-0.03385773530314135,-0.04004779513496786,-0.028433418071752516,22,0,-0.0347452204322761,-0.03202927793905106
minutes,p3_robust_native,empirical_event,relative_loss,22,-0.02500600522475171,-0.04314052409880761,-0.009889509147910184,15,7,-0.028041152450039956,-0.018652923747498093
minutes,p3_robust_native,p3_rolling_native,relative_loss,22,-0.003927374081068433,-0.010887449484871725,0.0016536758370118735,12,10,-0.005096687798566646,-0.0013394010249090742
minutes,p3_robust_native,p3_weighted_native,relative_loss,22,-0.003927374081068433,-0.010887449484871725,0.0016536758370118735,12,10,-0.005096687798566646,-0.0013394010249090742
missed_conversion_goals,p3_robust_native,empirical_event,relative_loss,22,-0.04784532468381471,-0.1047061801739016,-0.013241937608851917,17,5,-0.05177648350199663,-0.02325315994778967
missed_conversion_goals,p3_robust_native,p3_rolling_native,relative_loss,22,-5.96249227022939e-05,-0.009959543174228404,0.010769316388224225,12,10,-0.0037069272651058024,0.0022966125811488772
missed_conversion_goals,p3_robust_native,p3_weighted_native,relative_loss,22,-0.0066642122913425335,-0.013131078303060333,-0.0007799193649461183,14,8,-0.0077975290589177345,-0.004710422862196441
missed_penalty_goals,p3_robust_native,empirical_event,relative_loss,22,-0.02859371268739105,-0.04636563046319546,-0.01101419014039259,15,7,-0.0321610086444141,-0.02455415956449853
missed_penalty_goals,p3_robust_native,p3_rolling_native,relative_loss,22,-0.00861954583139089,-0.015378668333927469,-0.0034379016308447373,19,3,-0.009595636868536801,-0.005993169935914644
missed_penalty_goals,p3_robust_native,p3_weighted_native,relative_loss,22,-0.00861954583139089,-0.015378668333927469,-0.0034379016308447373,19,3,-0.009595636868536801,-0.005993169935914644
missed_tackles,p3_robust_native,empirical_event,relative_loss,22,-0.043408326510938844,-0.06657861686277486,-0.023753362894895665,21,1,-0.04616379176577081,-0.036250266704994455
missed_tackles,p3_robust_native,p3_rolling_native,relative_loss,22,-5.820862590552841e-05,-0.0034188857292102174,0.003110872257360658,11,11,-0.0007544608376760678,0.0010584517220104937
missed_tackles,p3_robust_native,p3_weighted_native,relative_loss,22,-0.0009216480174651729,-0.004490262420745599,0.0025280911996388654,10,12,-0.001768221890024325,0.00013892679050886954
offload,p3_robust_native,empirical_event,relative_loss,22,-0.026752615430999913,-0.045060106191969804,-0.014329545547329002,21,1,-0.028174654165880213,-0.019384530762568537
offload,p3_robust_native,p3_rolling_native,relative_loss,22,-0.001991061152086809,-0.005188631414618937,0.001099150755261466,14,8,-0.0025721441933054838,-0.0012658547839197176
offload,p3_robust_native,p3_weighted_native,relative_loss,22,-0.005663083944497872,-0.008572147311985414,-0.0028015073209183253,16,6,-0.006155722808284152,-0.005040888838356945
passes,p3_robust_native,empirical_event,relative_loss,22,-0.17958065884159527,-0.22433071973670593,-0.14195003531619785,22,0,-0.18444770583680895,-0.16434373375601533
passes,p3_robust_native,p3_rolling_native,relative_loss,22,-0.016099085381972456,-0.02728837521946489,-0.006954455477508151,17,5,-0.017373070995674218,-0.01261464928569175
passes,p3_robust_native,p3_weighted_native,relative_loss,22,-0.002685126277290062,-0.008955815319689286,0.0024991450264823414,12,10,-0.003561658308974147,-0.0006156949199554107
penalties_conceded,p3_robust_native,empirical_event,relative_loss,22,-0.028405737662391763,-0.0438357742449674,-0.016318294323751294,22,0,-0.029740880042020006,-0.022572419440471975
penalties_conceded,p3_robust_native,p3_rolling_native,relative_loss,22,-0.0030059978641442183,-0.004719204236881588,-0.0014142186719273819,18,4,-0.0033530129862800384,-0.002563236357958071
penalties_conceded,p3_robust_native,p3_weighted_native,relative_loss,22,-0.004138021301311543,-0.005856511315279815,-0.0024549327011647963,17,5,-0.004466354760247196,-0.003708325567685305
penalty_goals,p3_robust_native,empirical_event,relative_loss,22,-0.05801419263871901,-0.08178539719519429,-0.03680361748057013,19,3,-0.06128878587148725,-0.04997834165111709
penalty_goals,p3_robust_native,p3_rolling_native,relative_loss,22,-0.008959746022771949,-0.013399670181679695,-0.004615389480707113,17,5,-0.009818854304948298,-0.007934124610607234
penalty_goals,p3_robust_native,p3_weighted_native,relative_loss,22,-0.008959746022771949,-0.013399670181679695,-0.004615389480707113,17,5,-0.009818854304948298,-0.007934124610607234
potm,p3_robust_native,empirical_event,relative_loss,2,-0.2658764922702077,-0.36320306155598436,-0.16854992298443106,2,0,-0.36320306155598436,-0.16854992298443106
potm,p3_robust_native,p3_rolling_native,relative_loss,2,-0.04472555496399355,-0.05443839913924864,-0.035012710788738466,2,0,-0.05443839913924864,-0.035012710788738466
potm,p3_robust_native,p3_weighted_native,relative_loss,2,-0.04472555496399355,-0.05443839913924864,-0.035012710788738466,2,0,-0.05443839913924864,-0.035012710788738466
red_cards,p3_robust_native,empirical_event,relative_loss,22,-0.16950216523301692,-0.2728206992036,-0.07304970969012027,17,5,-0.18656180087206936,-0.14179393613964195
red_cards,p3_robust_native,p3_rolling_native,relative_loss,22,-0.03281555206152547,-0.07801283451393541,0.010233155922961513,14,8,-0.04139659802777107,-0.018681023208184613
red_cards,p3_robust_native,p3_weighted_native,relative_loss,22,0.0005854988557095865,-0.0011721827506113724,0.0026976593786592574,11,11,-0.00015308186225019521,0.0008514141105948561
rucks_lost,p3_robust_native,empirical_event,relative_loss,22,-0.04721366612106795,-0.07785256298375183,-0.024025620952823495,20,2,-0.05204017270994534,-0.035242951762890114
rucks_lost,p3_robust_native,p3_rolling_native,relative_loss,22,-0.0028141273797473443,-0.005822103360144676,0.00039839332530998894,12,10,-0.003829313594197533,-0.0020908701844155556
rucks_lost,p3_robust_native,p3_weighted_native,relative_loss,22,-0.0012193625608055904,-0.0030383800146677313,0.0005422111196425598,12,10,-0.0015222759048052587,-0.0007535833758865541
rucks_won,p3_robust_native,empirical_event,relative_loss,22,-0.13306677273034054,-0.1695682601802983,-0.09967626858859943,22,0,-0.13906164221816025,-0.12224400953842449
rucks_won,p3_robust_native,p3_rolling_native,relative_loss,22,-0.004734052212432318,-0.008569630628944386,-0.0009746178886204109,14,8,-0.00557595951456537,-0.0038311451987462033
rucks_won,p3_robust_native,p3_weighted_native,relative_loss,22,-0.0021197932319830803,-0.006131201743581618,0.0013395011444512904,12,10,-0.0026730281946309837,-0.0007770787553410805
