fold,engine,relative_loss,family,population
pacific_nations_cup_2025,p3_rolling_native,0.8951426334099991,pacific_nations_cup,stable_events
pacific_nations_cup_2025,p3_weighted_native,0.8920782471782122,pacific_nations_cup,stable_events
rugby_championship_2022,empirical_event,1.0261977636457262,rugby_championship,stable_events
rugby_championship_2022,p3_robust_native,0.8988238857846219,rugby_championship,stable_events
rugby_championship_2022,p3_rolling_native,0.9025275688788365,rugby_championship,stable_events
rugby_championship_2022,p3_weighted_native,0.9078019531280368,rugby_championship,stable_events
rugby_championship_2023,empirical_event,0.9751263424554226,rugby_championship,stable_events
rugby_championship_2023,p3_robust_native,0.8567208838694743,rugby_championship,stable_events
rugby_championship_2023,p3_rolling_native,0.8897820918019563,rugby_championship,stable_events
rugby_championship_2023,p3_weighted_native,0.8544108784215088,rugby_championship,stable_events
rugby_championship_2024,empirical_event,0.9496597423067251,rugby_championship,stable_events
rugby_championship_2024,p3_robust_native,0.8621550416926382,rugby_championship,stable_events
rugby_championship_2024,p3_rolling_native,0.8665194640403205,rugby_championship,stable_events
rugby_championship_2024,p3_weighted_native,0.8673722597753492,rugby_championship,stable_events
rugby_championship_2025,empirical_event,0.9831872408989824,rugby_championship,stable_events
rugby_championship_2025,p3_robust_native,0.9103447361927016,rugby_championship,stable_events
rugby_championship_2025,p3_rolling_native,0.9292157906992291,rugby_championship,stable_events
rugby_championship_2025,p3_weighted_native,0.9147486918231644,rugby_championship,stable_events
rugby_world_cup_2023,empirical_event,0.910775445921309,rugby_world_cup,stable_events
rugby_world_cup_2023,p3_robust_native,0.8614857065569178,rugby_world_cup,stable_events
rugby_world_cup_2023,p3_rolling_native,0.8569259819971533,rugby_world_cup,stable_events
rugby_world_cup_2023,p3_weighted_native,0.8651168734269321,rugby_world_cup,stable_events
six_nations_2022,empirical_event,0.9914659275208967,six_nations,stable_events
six_nations_2022,p3_robust_native,0.9006747567825648,six_nations,stable_events
six_nations_2022,p3_rolling_native,0.8933450688056455,six_nations,stable_events
six_nations_2022,p3_weighted_native,0.907056536738807,six_nations,stable_events
six_nations_2023,empirical_event,0.8732893304992853,six_nations,stable_events
six_nations_2023,p3_robust_native,0.8339228600797334,six_nations,stable_events
six_nations_2023,p3_rolling_native,0.8383587364997136,six_nations,stable_events
six_nations_2023,p3_weighted_native,0.8421514081168794,six_nations,stable_events
six_nations_2024,empirical_event,0.939000494777765,six_nations,stable_events
six_nations_2024,p3_robust_native,0.8869096969322551,six_nations,stable_events
six_nations_2024,p3_rolling_native,0.886105253935446,six_nations,stable_events
six_nations_2024,p3_weighted_native,0.8911489395079006,six_nations,stable_events
six_nations_2025,empirical_event,0.9247868393950579,six_nations,stable_events
six_nations_2025,p3_robust_native,0.8584111923540768,six_nations,stable_events
six_nations_2025,p3_rolling_native,0.8680214308003932,six_nations,stable_events
six_nations_2025,p3_weighted_native,0.8601605414429505,six_nations,stable_events
six_nations_2026,empirical_event,0.9043872887702654,six_nations,stable_events
six_nations_2026,p3_robust_native,0.8755208199970083,six_nations,stable_events
