fixture_id,player_id,team,id,name,position,status,actual,predicted,is_sub,is_capt,slate,engine,multiplier,contribution,in_both_squads
291588,242406,Japan,238928,Warner Dearns,Second-row,P,11.0,24.837445807402094,False,False,ncr_2026_r2,p3_robust_native,1,11.0,True
291584,342324,England,239634,Henry Pollock,Back-row,B,65.0,11.177465315182417,True,False,ncr_2026_r2,p3_robust_native,3,195.0,False
291586,354888,France,250067,Fabien Brau-Boirie,Centre,P,22.0,24.998653001490407,False,False,ncr_2026_r2,p3_robust_native,1,22.0,True
291590,203070,Wales,123016,Jac Morgan,Back-row,P,22.0,26.46,False,False,ncr_2026_r3,empirical_baseline,1,22.0,False
291592,168972,New Zealand,146220,Will Jordan,Back-three,P,50.0,28.19,False,False,ncr_2026_r3,empirical_baseline,1,50.0,True
291591,192666,Australia,146815,Angus Bell,Prop,P,28.0,14.89,False,False,ncr_2026_r3,empirical_baseline,1,28.0,True
291590,203082,Wales,169185,Teddy Williams,Second-row,P,2.0,17.37,False,False,ncr_2026_r3,empirical_baseline,1,2.0,False
291594,131400,Scotland,172455,Duhan van der Merwe,Back-three,P,56.0,25.43,False,False,ncr_2026_r3,empirical_baseline,1,56.0,True
291592,120396,New Zealand,179379,Ardie Savea,Back-row,P,49.0,26.97,False,False,ncr_2026_r3,empirical_baseline,1,49.0,True
291593,169662,France,190344,Matthieu Jalibert,Fly-half,P,45.0,33.69,False,True,ncr_2026_r3,empirical_baseline,2,90.0,True
291591,193992,Australia,208620,Carlo Tizzano,Back-row,P,28.0,27.11,False,False,ncr_2026_r3,empirical_baseline,1,28.0,True
291592,fantasy_224426,Ireland,224426,Tom OToole,Prop,P,16.0,13.08,False,False,ncr_2026_r3,empirical_baseline,1,16.0,False
291592,225594,New Zealand,229307,Cam Roigard,Scrum-half,P,20.0,28.94,False,False,ncr_2026_r3,empirical_baseline,1,20.0,True
291589,fantasy_237155,Argentina,237155,Justo Piccardo,Centre,P,43.0,22.92,False,False,ncr_2026_r3,empirical_baseline,1,43.0,False
291593,242406,Japan,238928,Warner Dearns,Second-row,P,29.0,17.14,False,False,ncr_2026_r3,empirical_baseline,1,29.0,True
