slate,engine,bin,min_prediction,max_prediction,n,n_labelled,predicted_mean,actual_mean,bias,mae,rmse,spearman
six_nations_2025_r5,empirical_baseline,1,2.103363493937538,6.739435884524776,28,28,4.425929157262755,7.142857142857143,-2.716927985594388,4.0164621864938,6.778109839613799,0.18644516728736835
six_nations_2025_r5,empirical_baseline,2,6.825967639853104,11.239586428986785,27,27,9.054018982954894,11.518518518518519,-2.464499535563625,7.304828743683366,11.574305696607423,0.16592828435784532
six_nations_2025_r5,empirical_baseline,3,11.304600023677628,17.57219922329045,28,28,15.137533203256341,16.285714285714285,-1.1481810824579426,6.323111663939121,7.499321500446295,0.33923011557448696
six_nations_2025_r5,empirical_baseline,4,17.707072494205406,21.91411471865677,27,27,19.72793178918491,21.444444444444443,-1.7165126552595358,8.450657294844184,11.931260631557956,0.49977122015832925
six_nations_2025_r5,empirical_baseline,5,22.10759442460969,41.14097871184083,28,28,26.892269523345412,24.0,2.892269523345409,10.975497573150026,16.091751945291065,0.12362955318384192
six_nations_2025_r5,p3_robust_native,1,3.3796292715349283,7.141263736483241,28,28,5.258315056438243,6.892857142857143,-1.6345420864188998,3.8058969402002405,6.274131228033552,0.05987404272337774
six_nations_2025_r5,p3_robust_native,2,7.184123154640644,11.546884140238609,27,27,8.902760880377262,11.962962962962964,-3.060202082585703,7.052070023125008,11.536764215235186,0.3287467307695886
six_nations_2025_r5,p3_robust_native,3,11.612996768801542,17.265978301407934,28,28,14.939431615196252,15.714285714285714,-0.774854099089462,6.462983461722182,7.759044288760052,0.10849321583381401
six_nations_2025_r5,p3_robust_native,4,17.50795913750427,21.382737650543294,27,27,19.390863146573324,20.51851851851852,-1.1276553719451912,7.369556596937985,10.67437128484682,0.3755358003581905
six_nations_2025_r5,p3_robust_native,5,21.45627697647064,37.69982389066978,28,28,26.324722958275807,25.285714285714285,1.039008672561523,12.415480991932965,16.99552814235861,-0.20000012009768744
six_nations_2026_r1,empirical_baseline,1,2.466459631987165,6.296405530899116,27,27,4.440007857251364,5.037037037037037,-0.5970291797856732,3.162200016300227,4.222399653411116,0.15934370757263827
six_nations_2026_r1,empirical_baseline,2,6.650565848654583,13.455465733210008,27,27,9.585503673518701,11.666666666666666,-2.081162993147965,7.177137063210214,9.518784914844012,0.2937493226741006
six_nations_2026_r1,empirical_baseline,3,13.609538751639288,17.54555200319688,26,26,15.472847464460036,17.076923076923077,-1.604075612463042,7.408608725487573,9.50597885356391,0.07958880451581944
six_nations_2026_r1,empirical_baseline,4,17.57194245299423,22.807646756756714,27,27,20.11287121719051,18.62962962962963,1.483241587560881,9.162673059882255,11.122128512493147,-0.07859340447235746
six_nations_2026_r1,empirical_baseline,5,23.01567826992123,34.00442989025994,27,27,25.866187584343933,28.37037037037037,-2.50418278602644,13.072081364972943,14.566213544131525,0.47528852478316735
six_nations_2026_r1,p3_robust_native,1,3.4520559352218783,7.109879670564117,27,27,5.647098480152316,4.703703703703703,0.9433947764486122,2.8252443239230534,3.5957952512005162,0.25465892857369243
six_nations_2026_r1,p3_robust_native,2,7.187445039283183,12.932943292515828,27,27,9.482130073301748,11.11111111111111,-1.6289810378093608,6.679620978633657,8.955924390584876,0.13761491055471153
six_nations_2026_r1,p3_robust_native,3,13.145325209390691,16.936027888998996,26,26,15.190311622275422,16.423076923076923,-1.2327653008015007,6.979213926984941,8.593938811477408,0.15677622268848918
six_nations_2026_r1,p3_robust_native,4,17.302114205675164,21.874562554725784,27,27,19.855127711624,16.74074074074074,3.1143869708832534,9.394959404691376,10.768725397321695,0.007342837137586857
six_nations_2026_r1,p3_robust_native,5,22.069690826321093,31.957572496197805,27,27,24.867510527952604,31.77777777777778,-6.910267249825177,11.906477616405313,14.229519380174725,0.4896032706624292
six_nations_2026_r2,empirical_baseline,1,2.3839356725467806,6.149820465264365,27,27,4.3057558680749635,5.851851851851852,-1.5460959837768882,2.86387384552712,3.844823211938691,0.41364168584542566
six_nations_2026_r2,empirical_baseline,2,6.7826756759547,11.143829934564335,26,26,8.920593404804338,11.038461538461538,-2.1178681336572014,3.851798345190737,5.487395816540946,0.41675602503039044
six_nations_2026_r2,empirical_baseline,3,12.720513605569373,17.6691943612471,26,26,15.29749411750886,14.73076923076923,0.5667248867396297,5.17421866879104,6.683961382663495,0.09775390602016454
six_nations_2026_r2,empirical_baseline,4,17.844231328305597,22.081401852712915,26,26,20.067171945323064,24.807692307692307,-4.740520362369244,11.061279341233517,13.028949357607011,0.2513680037563564
six_nations_2026_r2,empirical_baseline,5,22.0989601741131,41.59380469654577,26,26,27.611584134644644,30.807692307692307,-3.1961081730476684,14.330670470234427,18.017635820063163,0.29993161808751634
six_nations_2026_r2,p3_robust_native,1,4.068909690325117,7.699086394364795,27,27,6.163286643137106,6.37037037037037,-0.2070837272332651,3.0419694073721826,3.619280301246153,0.4357317086040887
six_nations_2026_r2,p3_robust_native,2,7.719533823013959,12.50438791904076,26,26,9.673880314442737,10.23076923076923,-0.5568889163264934,3.9563254422566065,5.361937764734943,0.4950286418807218
six_nations_2026_r2,p3_robust_native,3,12.51140031625446,19.1887370309734,26,26,15.910707299648537,17.576923076923077,-1.6662157772745383,7.7167277757591926,10.01921146007378,0.3722377338186662
six_nations_2026_r2,p3_robust_native,4,19.22195905294789,23.05298958669988,26,26,20.79043098223115,22.03846153846154,-1.2480305562303893,9.419836914459891,11.125239136884984,-0.04108890342409104
six_nations_2026_r2,p3_robust_native,5,23.08021286711492,44.81852291498402,26,26,28.273237333683177,31.0,-2.7267626663168234,14.090156886983367,17.712119158822627,0.3597196154471743
six_nations_2026_r3,empirical_baseline,1,2.4920646233222623,6.2708465116360905,28,28,4.526794745886431,7.357142857142857,-2.8303481112564266,5.0240055138434245,7.282960021661289,0.5215043449463631
six_nations_2026_r3,empirical_baseline,2,6.466213152863405,11.660381650082934,27,27,8.81472841099886,11.37037037037037,-2.5556419593715116,4.4428810806802055,6.155840442960209,0.3380871856445251
six_nations_2026_r3,empirical_baseline,3,11.723152725354764,17.164513505039046,27,27,14.59249108112502,17.22222222222222,-2.6297311410972033,9.15892737089108,14.600823722914015,0.008878041526339931
six_nations_2026_r3,empirical_baseline,4,17.519262077814606,22.24310097643146,27,27,19.6093195384072,17.666666666666668,1.9426528717405347,9.060381921435843,10.845152724971179,0.1625172308369558
six_nations_2026_r3,empirical_baseline,5,22.40655598952897,42.31329756352862,28,28,27.108168806150044,27.464285714285715,-0.3561169081356681,10.111427330997211,11.947868446093452,0.026045277819038606
six_nations_2026_r3,p3_robust_native,1,3.7198864997700114,7.631767553379574,28,28,5.942124653846601,6.785714285714286,-0.8435896318676858,4.430823281348707,6.047676233736329,0.23856201076142292
six_nations_2026_r3,p3_robust_native,2,7.686740070873794,13.053077731322656,27,27,9.352720833278322,10.88888888888889,-1.536168055610567,4.783742890147211,6.3155885437198895,0.13767985229516685
six_nations_2026_r3,p3_robust_native,3,13.064020773744106,17.907259882144366,27,27,15.561756424165955,15.851851851851851,-0.29009542768589797,7.758369460846488,11.630029940757,0.07642931582752838
six_nations_2026_r3,p3_robust_native,4,18.181383806970288,22.41794272293702,27,27,20.148671755292312,20.14814814814815,0.0005236071441603729,11.344230168881882,13.898809108125544,0.15187174461482345
six_nations_2026_r3,p3_robust_native,5,22.499983615266057,42.90715485271233,28,28,27.866627248613725,27.428571428571427,0.4380558200422969,8.913022774000385,10.831052863202503,0.1234571664604622
