fixture_id,date,team,opponent,match_at,lock_at,timestamp_precision,ncr_gameday,ncr_fantasy_match_id
26629,2021-09-12,Argentina,New Zealand,2021-09-12 00:00:00+00:00,2021-09-12 00:00:00+00:00,date,,
26629,2021-09-12,New Zealand,Argentina,2021-09-12 00:00:00+00:00,2021-09-12 00:00:00+00:00,date,,
26584,2021-09-18,Australia,South Africa,2021-09-18 00:00:00+00:00,2021-09-18 00:00:00+00:00,date,,
26584,2021-09-18,South Africa,Australia,2021-09-18 00:00:00+00:00,2021-09-18 00:00:00+00:00,date,,
26638,2021-09-18,Argentina,New Zealand,2021-09-18 00:00:00+00:00,2021-09-18 00:00:00+00:00,date,,
26638,2021-09-18,New Zealand,Argentina,2021-09-18 00:00:00+00:00,2021-09-18 00:00:00+00:00,date,,
26593,2021-09-25,Argentina,Australia,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00,date,,
26593,2021-09-25,Australia,Argentina,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00,date,,
26647,2021-09-25,New Zealand,South Africa,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00,date,,
26647,2021-09-25,South Africa,New Zealand,2021-09-25 00:00:00+00:00,2021-09-25 00:00:00+00:00,date,,
26602,2021-10-02,Argentina,Australia,2021-10-02 00:00:00+00:00,2021-10-02 00:00:00+00:00,date,,
26602,2021-10-02,Australia,Argentina,2021-10-02 00:00:00+00:00,2021-10-02 00:00:00+00:00,date,,
26656,2021-10-02,New Zealand,South Africa,2021-10-02 00:00:00+00:00,2021-10-02 00:00:00+00:00,date,,
26656,2021-10-02,South Africa,New Zealand,2021-10-02 00:00:00+00:00,2021-10-02 00:00:00+00:00,date,,
8290375,2021-10-23,New Zealand,USA,2021-10-23 00:00:00+00:00,2021-10-23 00:00:00+00:00,date,,
8290807,2021-10-23,Australia,Japan,2021-10-23 00:00:00+00:00,2021-10-23 00:00:00+00:00,date,,
