engine,fixture_id,target,n,mae
p3_balanced_recent_native,8472256,passes,46,2.4058109702167485
p3_balanced_recent_native,8472256,bad_passes,46,0.4532415958678856
p3_balanced_recent_native,8472256,turnovers_conceded,46,0.5517354837611446
p3_balanced_recent_native,8472256,penalties_conceded,46,0.4822427147007095
p3_balanced_recent_native,8472256,yellow_cards,46,0.0149601378707035
p3_balanced_recent_native,8472256,red_cards,46,0.0009207363308666
p3_balanced_recent_native,8472256,metres,46,11.770732592928203
empirical_raw,8472337,minutes,46,13.299634480078137
empirical_raw,8472337,tries,46,0.2326908515691508
empirical_raw,8472337,try_assists,46,0.1687226447075452
empirical_raw,8472337,conversion_goals,46,0.0622604792959803
empirical_raw,8472337,missed_conversion_goals,46,0.0306296601908455
empirical_raw,8472337,penalty_goals,46,0.1403505907714773
empirical_raw,8472337,missed_penalty_goals,46,0.0159709612818125
empirical_raw,8472337,drop_goals_converted,46,0.0009349740960703
empirical_raw,8472337,drop_goal_missed,46,0.021756240255016
empirical_raw,8472337,defenders_beaten,46,0.9223697516185482
empirical_raw,8472337,clean_breaks,46,0.3391680968869182
empirical_raw,8472337,offload,46,0.4431062749505162
empirical_raw,8472337,runs,46,3.1483248080094057
empirical_raw,8472337,tackles,46,3.3934399529635395
empirical_raw,8472337,missed_tackles,46,0.8445743797959743
empirical_raw,8472337,rucks_won,46,2.602278161212062
empirical_raw,8472337,rucks_lost,46,0.3314202867103304
empirical_raw,8472337,passes,46,3.52249719540613
empirical_raw,8472337,bad_passes,46,0.4220662405528522
empirical_raw,8472337,turnovers_conceded,46,0.6650066931238089
empirical_raw,8472337,penalties_conceded,46,0.497240709686462
empirical_raw,8472337,yellow_cards,46,0.0234168787397611
empirical_raw,8472337,red_cards,46,0.0037846393899864
empirical_raw,8472337,metres,46,12.03973846862044
p3_robust_native,8472337,minutes,46,12.72089680428724
p3_robust_native,8472337,tries,46,0.2268207231016768
p3_robust_native,8472337,try_assists,46,0.1636328175727971
p3_robust_native,8472337,conversion_goals,46,0.0604917861893429
p3_robust_native,8472337,missed_conversion_goals,46,0.029036119866454
p3_robust_native,8472337,penalty_goals,46,0.1337405637869057
p3_robust_native,8472337,missed_penalty_goals,46,0.0134163563556287
p3_robust_native,8472337,drop_goals_converted,46,0.0003591850280624
p3_robust_native,8472337,drop_goal_missed,46,0.0226063770737226
p3_robust_native,8472337,defenders_beaten,46,0.925155003480636
p3_robust_native,8472337,clean_breaks,46,0.3344235796302263
p3_robust_native,8472337,offload,46,0.4338704205776638
p3_robust_native,8472337,runs,46,3.1206984870067345
p3_robust_native,8472337,tackles,46,3.054480646347822
p3_robust_native,8472337,missed_tackles,46,0.8470757977451135
p3_robust_native,8472337,rucks_won,46,2.509246028091097
p3_robust_native,8472337,rucks_lost,46,0.3393079374600439
p3_robust_native,8472337,passes,46,3.2267339571879203
p3_robust_native,8472337,bad_passes,46,0.4092165932439342
p3_robust_native,8472337,turnovers_conceded,46,0.6489618609354829
p3_robust_native,8472337,penalties_conceded,46,0.4930414331728862
p3_robust_native,8472337,yellow_cards,46,0.0197621955877686
p3_robust_native,8472337,red_cards,46,0.0020692875895088
p3_robust_native,8472337,metres,46,11.792256091482418
