candidate_id,year,learning_rate,n_estimators,num_leaves,min_child_samples,reg_lambda,subsample,colsample_bytree,weighting,time_half_life_days,rate_cap_quantile,use_appearance,context_blocks,seed,deviance__tries,deviance__try_assists,deviance__conversion_goals,deviance__missed_conversion_goals,deviance__penalty_goals,deviance__missed_penalty_goals,deviance__drop_goals_converted,deviance__drop_goal_missed,deviance__defenders_beaten,deviance__clean_breaks,deviance__offload,deviance__runs,deviance__tackles,deviance__missed_tackles,deviance__dominant_tackles,deviance__tackle_turnover,deviance__tackle_try_saver,deviance__rucks_won,deviance__rucks_lost,deviance__passes,deviance__bad_passes,deviance__lineouts_won,deviance__turnovers_conceded,deviance__penalties_conceded,deviance__yellow_cards,deviance__red_cards,deviance__metres,minutes_scaled_mae,raw_deviance,observable_points_mae,objective
3,2023,0.045,220,31,45,4.0,0.9,0.85,level_balanced,1095.0,0.995,True,['wr'],17,0.43676349485963406,0.34113448101037125,0.15394277559070554,0.09383415202334147,0.14222168001665486,0.10028398567025695,0.07382111578946575,0.12635822614148065,0.7003247078819829,0.5059049945950327,0.6238651403262331,0.30830722318850823,0.3147335279533998,0.6316492532488486,0.6343243007320528,0.5150886647424284,0.033682111700750084,0.3863223395392423,0.5001464421385012,0.35570472297329303,0.5847230261821467,0.2362152068932694,0.6209012348685063,0.6585420719344829,0.09445636721662161,0.02441083603007155,1.3083318156886947,0.1253151968042247,0.2250738233288202,6.239778997195854,0.4746649832166544
3,2024,0.045,220,31,45,4.0,0.9,0.85,level_balanced,1095.0,0.995,True,['wr'],17,0.44516254999435534,0.3634636212818882,0.15969346483052832,0.09366722065816008,0.13672405005636273,0.0739065701801969,0.04577883343200207,0.15394402997838885,0.6890966714047746,0.49991439981287566,0.6121506924329081,0.289772373412623,0.3037454538379457,0.6043757312563524,0.6365640733375857,0.422779040565164,0.21026513208356468,0.35646395324895147,0.485861540168966,0.3227061293644752,0.5784521655736292,0.1660528120946725,0.6142912121882762,0.6474314918061851,0.11835029008209978,0.025840558089031802,1.2578533986597118,0.12064591925042942,0.22001373395675744,6.144750722289256,0.4658037628483277
4,2022,0.045,220,31,45,8.0,0.9,0.85,level_balanced,547.5,0.995,True,['wr'],17,0.4741377163614188,0.3429621900796871,0.16161035100898236,0.08829839780792789,0.15226218793140578,0.07407960991631612,0.060311180790353504,0.06928116160831961,0.7582584524103598,0.4815738244168933,0.6249631217862402,0.32801176789030123,0.3337667275484773,0.6895829710879506,0.7974030047301732,1.9781869348827255,0.6045625877052446,0.4775310074577656,0.5991878988134769,0.4279317267104376,0.6469121628283281,0.2165809292818229,0.6497013717143286,0.6604667998690098,0.13614685750510286,0.0245371176286932,1.2852897285203508,0.13375293091556442,0.2921177838067126,5.594705783765095,0.5159060151573164
4,2023,0.045,220,31,45,8.0,0.9,0.85,level_balanced,547.5,0.995,True,['wr'],17,0.43708411796464997,0.340465904462293,0.15844288917237268,0.09457641944323497,0.13903837199054572,0.09692996149675381,0.07382111578946575,0.12635822614148065,0.7019788239660789,0.5044099390163239,0.6238331529842364,0.30855661638312454,0.31185087226960206,0.6313913830705229,0.6342756563859155,0.4993235964201852,0.0358512733932949,0.3852829005440974,0.501721379423247,0.35535497137308486,0.585450813507045,0.23526687862166357,0.6199681528164391,0.6589838830870919,0.09346867949038044,0.024131108991683144,1.2957781120602616,0.12515450637002168,0.22428561966090843,6.227697300426569,0.47339351167797117
4,2024,0.045,220,31,45,8.0,0.9,0.85,level_balanced,547.5,0.995,True,['wr'],17,0.44617141590584214,0.3652694211563451,0.1618717424093431,0.09610250776793845,0.1322154595326735,0.07205874496386298,0.04577883343200207,0.15394402997838885,0.6898985951511878,0.5024195533667535,0.6138587584827082,0.28920967371244677,0.30482781051181845,0.6075397489851898,0.6367254147359006,0.4211354664964779,0.20714272190694624,0.35244365132204925,0.4866558736534356,0.32205462909465365,0.5791562185172032,0.16783450927691884,0.6185892352626123,0.6488182196419023,0.12011844753608272,0.024495222179103313,1.2495650596836374,0.12027350071055214,0.2199098022955697,6.140513338190171,0.46553033582317654
5,2022,0.045,220,31,45,2.0,0.9,0.85,international_x2,,0.995,True,[],17,0.47290676523623604,0.3473162098380471,0.17637236806738443,0.08935181488360631,0.15388232584152675,0.07576763578913635,0.060311180790353504,0.06928116160831961,0.7516083558650516,0.48544193632447985,0.629820946425483,0.3299198825007953,0.33859046225113015,0.685458317142671,0.8074680064853925,1.9781869348827255,0.6045625877052446,0.4812119928056433,0.6091287079786089,0.4283430781378498,0.6529245790313991,0.22332692331623666,0.644500447489571,0.6596551591493581,0.13725418252080046,0.025837146607678822,1.2627588010468656,0.13377653921017507,0.2926632091209481,5.615847564721024,0.5172971117097891
5,2023,0.045,220,31,45,2.0,0.9,0.85,international_x2,,0.995,True,[],17,0.43631193469152807,0.3342523656292279,0.16235074277485192,0.09335168428581278,0.1399362341884853,0.09314463292747936,0.07382111578946575,0.12635822614148065,0.6973953135091898,0.5032427184777507,0.6238567566534068,0.305810482898723,0.3074129422447564,0.6248091192971662,0.6290478872735323,0.47142116899719405,0.04140603776287793,0.3779647094794404,0.5025601537320442,0.35310942511395665,0.5846784265015078,0.23244976611681492,0.6193509772145076,0.6558748495010338,0.0947913017726908,0.024385749268539675,1.3066840701729867,0.1248337395935482,0.22276428177306817,6.22236584255178,0.4716589154751394
5,2024,0.045,220,31,45,2.0,0.9,0.85,international_x2,,0.995,True,[],17,0.44385413969546467,0.3632820791263132,0.1570702338593655,0.0925896663237749,0.12327861294072892,0.06880380005789698,0.04577883343200207,0.15394402997838885,0.6819937038169419,0.4990112971793806,0.611566880896608,0.28695100701864723,0.30078358062081384,0.6002525645244824,0.6309343419629215,0.42045755507466187,0.18882025404049385,0.34991689798728554,0.48075846236086955,0.31699335301927745,0.573512724771138,0.16789720958616844,0.6097609133338163,0.644351775125274,0.11602903475864083,0.024321318633161927,1.2915378212697877,0.11962824265563318,0.2184079745004801,6.13709504942692,0.46389177647755686
6,2022,0.045,220,31,45,2.0,0.9,0.85,international_x2,,0.995,True,['wr'],17,0.47170016042151774,0.3437319573742266,0.16617340613642215,0.09040719694498826,0.16023107042719598,0.07883775798180775,0.060311180790353504,0.06928116160831961,0.751472656801777,0.4828461259215205,0.6254192021672258,0.3290400903965462,0.32877058373500845,0.6865263631893209,0.8268335596666121,1.9781869348827255,0.6045625877052446,0.49089733031496197,0.6242698317590688,0.43281744010166306,0.6524862938377924,0.21509110216411081,0.64387558498982,0.6595355184311309,0.1387817396482706,0.025662111354344347,1.3023458350839903,0.13168614231667497,0.29178911869608737,5.59365191698844,0.515535195375625
6,2023,0.045,220,31,45,2.0,0.9,0.85,international_x2,,0.995,True,['wr'],17,0.43632077328347213,0.3414252104610931,0.1565171587610797,0.0951205244056587,0.1392862230418085,0.10143315167823246,0.07382111578946575,0.12635822614148065,0.6990444441053539,0.5026723190588687,0.6225100549138174,0.3075511360429234,0.31484486638541287,0.6298959012587999,0.6363179597507714,0.5168997578215744,0.033476531673606646,0.3844516333107115,0.5029027087123691,0.35317175913770293,0.5835480291163561,0.23510774458860106,0.616154126900817,0.6589542099549235,0.09406266318090684,0.024931226998758806,1.3194275217062812,0.12467195206023758,0.22470517177074928,6.219378697941384,0.47348031968840465
