Player,Nation,MP,POTM,T,As,C,Pen,DG,Ta,MC,DB,OF,50-22,LS,BS,KR,SW,CPen,YC,RC ,AP
B. Carter,Wales,5,0,0,0,0,0,0,53,24,2,1,0,0,0,0,11,0,0,0,14.2
T. Matiu,France,1,0,0,0,0,0,0,10,8,0,1,0,0,0,0,3,1,0,0,14.0
P. Schoeman,Scotland,5,0,1,0,0,0,0,36,40,2,0,0,0,0,0,14,2,0,0,13.6
D. Fischetti,Italy,5,0,0,0,0,0,0,48,36,3,1,0,0,1,0,11,6,0,0,13.4
L. Marin,Italy,5,0,1,0,0,0,0,17,94,5,9,0,0,1,0,0,0,0,0,13.4
F. Steward,England,3,0,0,1,0,0,0,7,144,8,3,0,0,0,0,0,0,1,0,13.3
Z. Fagerson,Scotland,5,0,0,0,0,0,0,54,40,4,0,0,0,0,0,9,7,0,0,13.2
R. Kelleher,Ireland,5,0,0,0,0,0,0,38,45,4,1,0,0,1,0,8,0,0,0,13.0
H. Deaves,Wales,1,0,0,0,0,0,0,11,26,0,0,0,0,0,0,1,1,0,0,13.0
L. Nouchi,France,4,0,0,0,0,0,0,35,69,5,1,0,0,0,0,6,2,1,0,12.8
G. Ringrose,Ireland,5,0,0,0,0,0,0,35,106,7,3,0,0,0,0,0,2,0,0,12.6
J. Heyes,England,5,0,0,0,0,0,0,43,13,3,1,0,0,0,0,14,2,0,0,12.6
E. Ashman,Scotland,3,0,0,0,0,0,0,26,38,1,2,0,0,0,0,5,2,0,0,12.3
F. Ruzza,Italy,5,0,0,0,0,0,0,31,41,1,1,0,1,1,0,14,2,0,0,12.2
M. Smith,England,4,0,1,1,2,0,0,3,147,8,0,0,0,0,0,0,2,0,0,12.0
L. Lynagh,Italy,5,0,1,0,0,0,0,32,148,2,5,0,0,1,0,0,4,2,0,12.0
H. Pollock,England,5,0,0,0,0,0,0,21,112,8,1,0,0,2,0,7,1,1,0,11.8
P. Mauvaka,France,4,0,0,0,0,0,0,33,19,0,1,0,0,1,0,5,0,0,0,11.5
S. Atkinson,England,2,0,0,0,0,0,0,14,38,2,1,0,0,0,1,0,1,0,0,11.5
E. Genge,England,5,0,0,0,0,0,0,30,63,9,1,0,0,0,0,12,4,1,0,11.2
J. Bayliss,Scotland,2,0,0,0,0,0,0,16,30,3,0,0,0,0,0,1,1,1,0,10.0
J. Dobie,Scotland,2,0,0,0,0,0,0,6,65,5,0,0,0,0,0,0,1,0,0,10.0
M. Lamothe,France,1,0,0,0,0,0,0,9,5,0,0,0,0,0,0,2,1,0,0,10.0
O. Cracknell,Wales,3,0,0,0,0,0,0,17,37,0,1,0,0,0,0,9,1,0,0,10.0
J. Loughman,Ireland,3,0,0,0,0,0,0,20,13,0,0,0,0,0,0,12,2,0,0,10.0
T. di Bartolomeo,Italy,4,0,1,0,0,0,0,20,7,0,0,0,0,0,0,6,2,0,0,9.8
T. Francis,Wales,5,0,0,0,0,0,0,36,13,0,1,0,0,0,0,14,4,0,0,9.8
E. Daly,England,2,0,0,1,0,0,0,1,78,4,0,0,0,0,0,0,1,0,0,9.5
M. Grady,Wales,2,0,1,0,0,0,0,4,12,3,0,0,0,0,0,0,1,0,0,9.5
B. Rodd,England,5,0,0,0,0,0,0,36,23,2,2,0,0,0,0,5,3,0,0,9.4
J. van Poortvliet,England,3,0,0,3,0,0,0,3,30,1,1,0,0,0,5,0,2,0,0,9.3
M. Milne,Ireland,3,0,1,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,9.3
G. Turner,Scotland,5,0,1,1,0,0,0,17,41,0,0,0,0,1,0,10,2,1,0,9.2
A. Griffin,Wales,5,0,0,0,0,0,0,39,14,2,0,0,0,0,0,9,2,1,0,9.2
P. Barassi,France,3,0,0,0,0,0,0,17,36,3,1,0,0,0,0,0,1,0,0,9.0
A. Beard,Wales,4,0,0,0,0,0,0,21,14,0,1,0,0,0,0,12,0,0,0,9.0
G. Gilchrist,Scotland,4,0,0,1,0,0,0,30,11,0,0,0,0,0,0,5,3,0,0,9.0
H. Auradou,France,2,0,0,0,0,0,0,7,17,0,0,0,1,0,0,3,0,0,0,9.0
R. Elias,Wales,4,0,0,0,0,0,0,24,41,1,0,0,0,0,0,7,0,0,0,8.8
L. Pani,Italy,4,0,0,0,0,0,0,9,155,6,1,0,0,0,0,0,3,0,0,8.5
D. Aldegheri,France,5,0,0,0,0,0,0,25,0,2,0,0,0,0,0,17,5,0,0,8.2
N. Smith,Wales,5,0,0,0,0,0,0,28,3,1,0,0,0,2,0,9,4,1,0,8.0
M. Bradbury,Scotland,1,0,0,0,0,0,0,7,4,0,0,0,0,0,0,1,0,0,0,8.0
G. Zilocchi,Italy,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,1,0,0,8.0
E. Edogbo,Ireland,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,0,0,8.0
M. Spagnolo,Italy,5,0,0,0,0,0,0,21,4,0,0,0,0,1,0,13,0,0,0,7.8
T. Allan,Italy,2,0,1,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,7.5
G. Horne,Scotland,5,0,1,0,0,0,0,10,36,2,1,0,0,0,5,0,1,0,0,7.4
