fantasy_id,player_id,player_name,team,opponent,position,started,engine,expected_points,p10,median,p90,p_play,expected_minutes
219828,129372,Garry Ringrose,Ireland,New Zealand,Centre,True,baseline,14.67875,5.0,13.0,26.0,,72.28433899827708
129616,154110,Fraser McReight,Australia,Italy,Back-row,True,baseline,14.6515,6.0,14.0,24.0,,67.39215793433169
102468,196176,Ethan de Groot,New Zealand,Ireland,Prop,True,baseline,14.64,6.0,13.0,26.0,,55.632815115985316
229505,201528,Lucio Cinti,Argentina,England,Centre,True,baseline,14.5955,5.0,13.0,26.0,,72.20647384624954
172351,129840,Stuart McCloskey,Ireland,New Zealand,Centre,True,baseline,14.552,5.0,13.0,26.0,,72.28433899827708
188103,173826,Pita Gus Sowakula,Fiji,Scotland,Back-row,True,baseline,14.53125,6.0,14.0,24.0,,66.73712684523605
190708,153066,Harry Wilson,Australia,Italy,Back-row,True,baseline,14.44975,6.0,13.0,24.0,,67.39215793433169
225264,185688,Ruan Nortje,South Africa,Wales,Second-row,True,baseline,14.38725,6.0,13.0,25.0,,64.61222907741211
120191,164220,Michele Lamaro,Italy,Australia,Back-row,True,baseline,14.37325,7.0,13.0,23.0,,66.87867808776927
113000,124308,Jack Dempsey,Scotland,Fiji,Back-row,True,baseline,14.3095,7.0,14.0,23.0,,67.85942521809842
144570,fantasy_144570,Jimmy OBrien,Ireland,New Zealand,Back-three,True,baseline,14.30475,4.0,13.0,27.0,,71.81141920732885
251673,371430,Ryunosuke Ito,Japan,France,Fly-half,True,baseline,14.191,5.0,13.0,25.0,,69.18162576506992
215963,124686,Guido Petti,Argentina,England,Second-row,True,baseline,14.0095,6.0,13.0,24.0,,65.60978168929218
117823,112962,Matias Alemanno,Argentina,England,Second-row,True,baseline,13.9995,5.0,13.0,24.0,,65.43677561431927
105949,120234,Damian de Allende,South Africa,Wales,Centre,True,baseline,13.7505,4.0,12.0,25.0,,72.49603120924894
229307,225594,Cam Roigard,New Zealand,Ireland,Scrum-half,True,baseline,13.7115,3.0,12.0,26.0,,63.69353920695051
110910,124026,Jesse Kriel,South Africa,Wales,Centre,True,baseline,13.64775,4.0,12.0,25.0,,72.49603120924894
238928,242406,Warner Dearns,Japan,France,Second-row,True,baseline,13.6015,6.0,13.0,22.0,,64.92064201411193
156253,203034,Paolo Garbisi,Italy,Australia,Fly-half,True,baseline,13.49925,5.0,12.0,23.0,,68.46617510704753
207407,178656,Demba Bamba,France,Japan,Prop,True,baseline,13.32725,5.0,12.0,24.0,,55.58898735658324
250879,411264,Pedro Delgado,Argentina,England,Prop,True,baseline,13.291,4.0,12.0,24.0,,55.378754777673706
196989,113430,Eben Etzebeth,South Africa,Wales,Second-row,True,baseline,13.23325,5.0,12.0,24.0,,64.20877378415793
144545,219996,Ben Carter,Wales,South Africa,Second-row,True,baseline,13.20925,6.0,12.0,21.0,,64.26096726320523
103703,149754,Harry Hockings,Japan,France,Second-row,True,baseline,13.20775,5.0,12.0,22.0,,64.88028879491259
105892,129576,Adam Beard,Wales,South Africa,Second-row,True,baseline,13.202,5.0,12.0,22.0,,64.43585030315222
182760,169530,Mayco Vivas,Argentina,England,Prop,True,baseline,13.05975,4.0,11.0,24.0,,55.58898735658324
240799,193422,Josh Canham,Australia,Italy,Second-row,True,baseline,12.96475,5.0,12.0,21.0,,64.88028879491259
225770,149706,Asafo Aumua,New Zealand,Ireland,Hooker,False,baseline,12.9385,4.0,11.0,24.0,,20.293373126906523
135572,142194,Jack Cornelsen,Japan,France,Second-row,True,baseline,12.926,5.0,12.0,21.0,,64.88028879491259
226250,197268,Isoa Nasilasila,Fiji,Scotland,Second-row,True,baseline,12.87425,5.0,12.0,21.0,,64.24967230283374
128750,208140,Andrea Zambonin,Italy,Australia,Second-row,True,baseline,12.8365,5.0,12.0,22.0,,64.38594758732283
113444,112374,Tadhg Furlong,Ireland,New Zealand,Prop,True,baseline,12.8185,4.0,11.0,23.0,,55.78065735927608
108021,116592,Jefferson Poirot,France,Japan,Prop,True,baseline,12.7745,4.0,11.0,24.0,,55.83112735812483
236608,263058,Alessandro Ortombina,Italy,Australia,Second-row,True,baseline,12.71075,5.0,12.0,21.0,,64.42599334397109
