engine,fold,slate_id,rubric,tier,n,mae,spearman,allowed_events,top_10_overlap,top_10_capture,top_25_overlap,top_25_capture,top_50_overlap,top_50_capture,top_100_overlap,top_100_capture,tournament,fold_hemisphere
C5_phase1,six_nations_2022,six_nations_2022_r1,six_nations,stable,138,5.455810141915135,0.6938671844310978,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.5666666666666667,0.8058823529411765,0.4628571428571428,0.7747603833865815,0.6828571428571429,0.8891257995735607,0.85,0.9401840490797546,six_nations,north
C5_phase1,six_nations_2022,six_nations_2022_r2,six_nations,stable,138,5.795649332520008,0.586201879486279,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.375,0.6430769230769231,0.3866666666666666,0.670196671709531,0.5444444444444444,0.7837837837837838,0.8828571428571429,0.9430336307481124,six_nations,north
C5_phase1,six_nations_2022,six_nations_2022_r3,six_nations,stable,138,6.025102303196412,0.610004099516169,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.3666666666666666,0.7307692307692307,0.4,0.7424242424242424,0.68,0.8355205599300087,0.86,0.9418386491557224,six_nations,north
C5_phase1,six_nations_2022,six_nations_2022_r4,six_nations,stable,138,5.672100290138044,0.6342907977101584,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.2333333333333333,0.6214689265536724,0.52,0.7043090638930164,0.64,0.8263002944062807,0.86,0.8979734451432565,six_nations,north
C5_phase1,six_nations_2022,six_nations_2022_r5,six_nations,stable,138,5.119701590049517,0.7126087708879106,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.2,0.6269592476489029,0.4114285714285715,0.7248840803709428,0.7120000000000001,0.8583732057416268,0.856,0.9561943874058864,six_nations,north
C5_phase1,six_nations_2022,six_nations_2022_r1,ncr,stable,138,5.548193152684116,0.5683691390879877,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.6,0.8092307692307692,0.5142857142857143,0.7658450704225352,0.636,0.8411552346570397,0.8133333333333332,0.9163636363636364,six_nations,north
C5_phase1,six_nations_2022,six_nations_2022_r2,ncr,stable,138,5.904999233095162,0.4497786406649493,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.4,0.6379310344827587,0.4,0.6245674740484429,0.4825,0.7106773823191733,0.825,0.918143459915612,six_nations,north
C5_phase1,six_nations_2022,six_nations_2022_r3,ncr,stable,138,5.831363793476116,0.5143500574915388,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.4,0.6816816816816816,0.4,0.7045813586097947,0.64,0.78860103626943,0.8227272727272726,0.9191456903127384,six_nations,north
C5_phase1,six_nations_2022,six_nations_2022_r4,ncr,stable,138,5.705397329065335,0.5340788584971125,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.3,0.6329113924050633,0.456,0.6400679117147708,0.605,0.7220956719817767,0.815,0.8758503401360545,six_nations,north
C5_phase1,six_nations_2022,six_nations_2022_r5,ncr,stable,138,5.332301202784852,0.5812438680780071,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",0.15,0.4963503649635036,0.38,0.6635514018691588,0.6171428571428571,0.7712952158693116,0.8271428571428571,0.9320722269991402,six_nations,north
E4_three_empirical_plus_naive_phase2,six_nations_2022,six_nations_2022_r1,six_nations,stable,138,5.308690534934482,0.7078870134950352,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.3666666666666666,0.6294117647058823,0.4628571428571428,0.7811501597444089,0.7228571428571429,0.8976545842217484,0.85,0.9401840490797546,six_nations,north
E4_three_empirical_plus_naive_phase2,six_nations_2022,six_nations_2022_r2,six_nations,stable,138,5.684696293883017,0.5859915885879501,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.375,0.6553846153846153,0.3866666666666666,0.670196671709531,0.5733333333333334,0.7934362934362934,0.8814285714285713,0.9334248455730954,six_nations,north
E4_three_empirical_plus_naive_phase2,six_nations_2022,six_nations_2022_r3,six_nations,stable,138,5.9477495033357295,0.6115834025936204,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.3666666666666666,0.717032967032967,0.472,0.7575757575757576,0.66,0.8136482939632546,0.848,0.934959349593496,six_nations,north
E4_three_empirical_plus_naive_phase2,six_nations_2022,six_nations_2022_r4,six_nations,stable,138,5.566350732151104,0.6500976070143887,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",0.2333333333333333,0.6271186440677966,0.52,0.7087667161961367,0.64,0.8223748773307163,0.86,0.8979734451432565,six_nations,north
