engine,rubric,tournament,fold,mae,spearman,mean_capture,slates
C5_phase1,ncr,summer_internationals,summer_internationals_2022,6.32883866759709,0.4441445249028891,0.602925849790724,5
C5_phase1,ncr,summer_internationals,summer_internationals_2023,5.695264465559368,0.4861054824168833,0.6841456223341283,6
C5_phase1,ncr,summer_internationals,summer_internationals_2024,6.9751081596689675,0.5330539160907466,0.2989538515633716,2
C5_phase1,ncr,summer_internationals,summer_internationals_2025,6.91252649086112,0.46574445738647374,0.736079987509741,4
C5_phase1,six_nations,autumn_internationals,autumn_internationals_2022,5.957889577660715,0.6007589780086438,0.7347952839829033,5
C5_phase1,six_nations,autumn_internationals,autumn_internationals_2024,6.05872530732704,0.645969686090581,0.7498813295575597,2
C5_phase1,six_nations,autumn_internationals,autumn_internationals_2025,7.2963847885062005,0.6768078203838956,0.7826669087914373,2
C5_phase1,six_nations,british_irish_lions,british_irish_lions_2025,5.889080977144167,0.5912247700890083,0.796010859737512,7
C5_phase1,six_nations,nations_championship,nations_championship_2026,6.374556920738243,0.6242960499273325,0.7231907714294976,2
C5_phase1,six_nations,pacific_nations_cup,pacific_nations_cup_2024,7.531220010527067,0.6364696781275889,0.8065834656354287,4
C5_phase1,six_nations,pacific_nations_cup,pacific_nations_cup_2025,7.801639330715943,0.6130926670082563,0.7573691194998798,4
C5_phase1,six_nations,rugby_championship,rugby_championship_2022,5.395026115276824,0.6315986073191995,0.8110252501431078,6
C5_phase1,six_nations,rugby_championship,rugby_championship_2023,5.701599065094139,0.6656177287010825,0.8311381753224133,3
C5_phase1,six_nations,rugby_championship,rugby_championship_2024,5.755904587257549,0.6783971588279466,0.8159983725755003,6
C5_phase1,six_nations,rugby_championship,rugby_championship_2025,6.389627757736853,0.5769374790711342,0.7488401650953896,6
C5_phase1,six_nations,rugby_world_cup,rugby_world_cup_2023,6.274755024584508,0.6401507462727491,0.7987616745867646,9
C5_phase1,six_nations,six_nations,six_nations_2022,5.613672731563823,0.6473945464063229,0.7958529463871106,5
C5_phase1,six_nations,six_nations,six_nations_2023,5.550795499887258,0.7014897623553011,0.8056578177859004,5
C5_phase1,six_nations,six_nations,six_nations_2024,5.392139022592379,0.6851858221167852,0.812182371957849,5
C5_phase1,six_nations,six_nations,six_nations_2025,6.144011995677407,0.6456624572777294,0.7882202681709438,5
C5_phase1,six_nations,six_nations,six_nations_2026,6.030490538231031,0.6881352903968443,0.8306524471257243,5
C5_phase1,six_nations,summer_internationals,summer_internationals_2022,6.383124976800618,0.5546477774988823,0.663010189263597,5
C5_phase1,six_nations,summer_internationals,summer_internationals_2023,5.875332008522019,0.5876498107504912,0.7360278141922577,6
C5_phase1,six_nations,summer_internationals,summer_internationals_2024,8.23069245767093,0.6247053255584112,0.31611752038084096,2
C5_phase1,six_nations,summer_internationals,summer_internationals_2025,6.860510199556657,0.5550162787025501,0.766563645245226,4
C9_calibrated_E4_phase2,ncr,autumn_internationals,autumn_internationals_2022,5.774212154823831,0.5255530961436157,0.7000128351685736,5
C9_calibrated_E4_phase2,ncr,autumn_internationals,autumn_internationals_2024,5.780653891004247,0.5682339157460152,0.7257443813895894,2
C9_calibrated_E4_phase2,ncr,autumn_internationals,autumn_internationals_2025,6.8779775010438815,0.5129828945671654,0.7461643999996255,2
C9_calibrated_E4_phase2,ncr,british_irish_lions,british_irish_lions_2025,5.903691802644498,0.49522497342439065,0.7386361593216699,7
C9_calibrated_E4_phase2,ncr,nations_championship,nations_championship_2026,6.312836515407669,0.5659927826343814,0.709556335036064,2
C9_calibrated_E4_phase2,ncr,pacific_nations_cup,pacific_nations_cup_2024,7.185121466468319,0.5740067566531776,0.752243142293829,4
C9_calibrated_E4_phase2,ncr,pacific_nations_cup,pacific_nations_cup_2025,7.4551866520587105,0.5711112837330181,0.7594992405484312,4
C9_calibrated_E4_phase2,ncr,rugby_championship,rugby_championship_2022,5.417968662292619,0.521739641276768,0.7326931325864491,6
C9_calibrated_E4_phase2,ncr,rugby_championship,rugby_championship_2023,5.754402094486454,0.5742468579446495,0.7930009304137323,3
C9_calibrated_E4_phase2,ncr,rugby_championship,rugby_championship_2024,5.484174384028891,0.6086994897397747,0.792573706097668,6
C9_calibrated_E4_phase2,ncr,rugby_championship,rugby_championship_2025,6.219716530821539,0.4978887457597328,0.6985028211352192,6
C9_calibrated_E4_phase2,ncr,rugby_world_cup,rugby_world_cup_2023,6.222645744076244,0.5564908283638241,0.7504147527737316,9
C9_calibrated_E4_phase2,ncr,six_nations,six_nations_2022,5.644928764213423,0.533884624360416,0.7347069374282532,5
C9_calibrated_E4_phase2,ncr,six_nations,six_nations_2023,5.487532177673609,0.6308399049172589,0.7737247164620173,5
C9_calibrated_E4_phase2,ncr,six_nations,six_nations_2024,5.393636473354093,0.5929913330496627,0.7450170619284003,5
C9_calibrated_E4_phase2,ncr,six_nations,six_nations_2025,6.084593672538673,0.564234794316705,0.7499978298426457,5
C9_calibrated_E4_phase2,ncr,six_nations,six_nations_2026,6.23559602135767,0.6108594523487864,0.8203088925573312,5
C9_calibrated_E4_phase2,ncr,summer_internationals,summer_internationals_2022,6.329860588474963,0.4503308144978234,0.606551565074821,5
C9_calibrated_E4_phase2,ncr,summer_internationals,summer_internationals_2023,5.736061203913614,0.4889072675907162,0.6971242798267784,6
C9_calibrated_E4_phase2,ncr,summer_internationals,summer_internationals_2024,7.281979642061351,0.5311109578486579,0.30637860700748404,2
C9_calibrated_E4_phase2,ncr,summer_internationals,summer_internationals_2025,6.916708421205865,0.4647741307008339,0.7446823372046467,4
C9_calibrated_E4_phase2,six_nations,autumn_internationals,autumn_internationals_2022,5.883487607471035,0.6138799616994624,0.7421935635055465,5
C9_calibrated_E4_phase2,six_nations,autumn_internationals,autumn_internationals_2024,5.998369054372237,0.6231812501911371,0.7733379784217198,2
