engine,rubric,tournament,mae,spearman,mean_capture,slates,mae_raw,mae_calibrated,slates_cal
C9_calibrated_E4_phase2,ncr,summer_internationals,6.370380184400156,0.47345657241783795,0.6357052980687253,17,6.370380184400156,6.364123766175394,17
C9_calibrated_E4_phase2,six_nations,autumn_internationals,6.193852980119065,0.6281548922379684,0.7613014179665936,9,6.193852980119065,6.302987048014497,9
C9_calibrated_E4_phase2,six_nations,british_irish_lions,5.872885367239649,0.5859951711063464,0.789161395973436,7,5.872885367239649,5.962080324438111,7
C9_calibrated_E4_phase2,six_nations,nations_championship,6.405235695009623,0.6321334765021013,0.722274807508585,2,6.405235695009623,6.38287252432631,2
C9_calibrated_E4_phase2,six_nations,pacific_nations_cup,7.693012486132736,0.6281237354668471,0.7771901558415851,8,7.693012486132736,7.6829819806840165,8
C9_calibrated_E4_phase2,six_nations,rugby_championship,5.691385679009942,0.633922798505605,0.7987226959747998,21,5.691385679009941,5.812517089938415,21
C9_calibrated_E4_phase2,six_nations,rugby_world_cup,6.273020043731297,0.6326125037240184,0.7968442473913023,9,6.273020043731297,6.316430380223968,9
C9_calibrated_E4_phase2,six_nations,six_nations,5.6397188536357525,0.6790884431274812,0.8108141659295905,25,5.6397188536357525,5.72440523629813,25
C9_calibrated_E4_phase2,six_nations,summer_internationals,6.446731322393647,0.5759145786980763,0.6910549950550838,17,6.446731322393647,6.58682061943336,17
E4_three_empirical_plus_naive_phase2,ncr,autumn_internationals,5.970339364147262,0.532235286147995,0.7168669322405301,9,5.970339364147262,6.004934986540472,9
E4_three_empirical_plus_naive_phase2,ncr,british_irish_lions,5.857323781998054,0.4956482822556025,0.7387446206594122,7,5.857323781998054,5.891054456795838,7
E4_three_empirical_plus_naive_phase2,ncr,nations_championship,6.309101342683463,0.5647945994675962,0.7144733434057596,2,6.309101342683462,6.310372557519778,2
E4_three_empirical_plus_naive_phase2,ncr,pacific_nations_cup,7.3229352174485856,0.5706680071799091,0.7534977736996111,8,7.322935217448586,7.308557147368928,8
E4_three_empirical_plus_naive_phase2,ncr,rugby_championship,5.654035750470042,0.5473986197128706,0.7500727158192093,21,5.654035750470042,5.704723659596917,21
E4_three_empirical_plus_naive_phase2,ncr,rugby_world_cup,6.18930606334164,0.5553462723600067,0.7491735596122343,9,6.189306063341641,6.2029671360586915,9
