fantasy_id,fixture_id,player_id,player_name,team,opponent,position,started,engine,expected_points,p10,median,p90,p_play,expected_minutes,career_matches
153215,291585,190890,Aphelele Fassi,South Africa,Scotland,Back-three,True,p3_event_50,16.33325,4.0,15.0,32.0,,72.02997979027447,0.0
251673,291588,371430,Ryunosuke Ito,Japan,Ireland,Fly-half,True,p3_event_50,16.2955,6.0,15.0,28.0,,70.11626649998934,0.0
199383,291588,148890,Ciaran Frawley,Ireland,Japan,Fly-half,True,p3_event_50,16.19825,5.0,15.0,29.0,,69.79266889443551,0.0
180443,291585,161226,Damian Willemse,South Africa,Scotland,Back-three,True,p3_event_50,16.189,5.0,15.0,30.0,,71.60585561349163,0.0
193699,291585,fantasy_193699,Embrose Papier,South Africa,Scotland,Scrum-half,True,p3_event_50,16.164,4.0,14.0,30.0,,63.218539513144364,0.0
229557,291587,226818,Tommaso Menoncello,Italy,New Zealand,Centre,True,p3_event_50,16.15125,6.0,15.0,28.0,,72.99261651031486,0.0
162344,291583,124668,Julian Montoya,Argentina,Wales,Hooker,True,p3_event_50,16.136,6.0,15.0,28.0,,60.00648606675276,0.0
117823,291583,112962,Matias Alemanno,Argentina,Wales,Second-row,True,p3_event_50,16.1225,6.0,15.0,28.0,,67.96241631047147,0.0
157863,291585,117894,Finn Russell,Scotland,South Africa,Fly-half,True,p3_event_50,16.0125,5.0,15.0,28.0,,72.19873265435933,0.0
255396,291587,421050,Malik Faissal,Italy,New Zealand,Back-three,True,p3_event_50,15.95175,5.0,15.0,29.0,,75.83184528821866,0.0
233260,291588,227256,Shuhei Takeuchi,Japan,Ireland,Prop,True,p3_event_50,15.881,7.0,15.0,26.0,,55.373649319847445,0.0
225264,291585,185688,Ruan Nortje,South Africa,Scotland,Second-row,True,p3_event_50,15.7845,6.0,14.0,27.0,,68.69003856000356,0.0
118531,291588,148644,Ronan Kelleher,Ireland,Japan,Hooker,True,p3_event_50,15.78025,6.0,15.0,27.0,,55.5703049480917,0.0
146815,291586,192666,Angus Bell,Australia,France,Prop,True,p3_event_50,15.58325,6.0,14.0,26.0,,53.61364099017041,0.0
237078,291585,234822,Canan Moodie,South Africa,Scotland,Back-three,True,p3_event_50,15.5245,3.0,14.0,30.0,,70.99906185627081,0.0
118619,291583,203076,Sam Costelow,Wales,Argentina,Fly-half,True,p3_event_50,15.52125,6.0,14.0,27.0,,66.82462350622563,0.0
245050,291586,346554,Max Jorgensen,Australia,France,Back-three,True,p3_event_50,15.42625,4.0,14.0,29.0,,72.92186710970202,0.0
109648,291584,232032,Seb Atkinson,England,Fiji,Centre,True,p3_event_50,15.38175,6.0,15.0,26.0,,74.40158378687684,0.0
179604,291584,126930,Josua Tuisova,Fiji,England,Centre,True,p3_event_50,15.3445,5.0,14.0,26.09999999999991,,70.8630795938659,0.0
138498,291584,177156,Tevita Ratuva,Fiji,England,Second-row,True,p3_event_50,15.342,5.0,14.0,27.0,,62.83115385332469,0.0
195298,291585,214146,Jamie Dobie,Scotland,South Africa,Scrum-half,True,p3_event_50,15.338,4.0,14.0,29.0,,68.79114898440616,0.0
122465,291584,176772,Lekima Tagitagivalu,Fiji,England,Back-row,True,p3_event_50,15.32775,6.0,14.0,25.0,,62.71727331556714,0.0
180382,291583,148386,Bautista Delguy,Argentina,Wales,Back-three,True,p3_event_50,15.18075,4.0,14.0,29.0,,73.36654012029214,0.0
160801,291584,61134,Jamie George,England,Fiji,Hooker,True,p3_event_50,15.17725,6.0,14.0,26.0,,56.89105049243488,0.0
123723,291587,164232,Danilo Fischetti,Italy,New Zealand,Prop,True,p3_event_50,14.93675,6.0,14.0,25.0,,55.625529208838856,0.0
229826,291588,227658,Jamie Osborne,Ireland,Japan,Centre,True,p3_event_50,14.81325,4.0,13.0,28.09999999999991,,73.54393526382387,0.0
203381,291588,143604,James Ryan,Ireland,Japan,Second-row,True,p3_event_50,14.78,6.0,14.0,24.09999999999991,,66.15206992659039,0.0
204526,291583,150576,Marcos Kremer,Argentina,Wales,Back-row,True,p3_event_50,14.76975,6.0,14.0,25.0,,69.84024041585891,0.0
223308,291586,fantasy_223308,Aaron Grandidier-Nkanang,France,Australia,Back-three,True,p3_event_50,14.69075,4.0,13.0,28.0,,72.56476027966448,0.0
240621,291586,164262,Dylan Pietsch,Australia,France,Back-three,True,p3_event_50,14.505,4.0,13.0,27.0,,70.65642465513471,0.0
119955,291583,162870,Rhys Carre,Wales,Argentina,Prop,True,p3_event_50,14.474,5.0,13.0,26.0,,52.778689596448956,0.0
169560,291585,207024,Boan Venter,South Africa,Scotland,Prop,True,p3_event_50,14.434,4.0,13.0,27.0,,56.01287817555378,0.0
143048,291586,118890,Allan Alaalatoa,Australia,France,Prop,True,p3_event_50,14.41125,6.0,13.0,25.0,,55.051514590122935,0.0
131550,291588,193938,Takato Okabe,Japan,Ireland,Prop,True,p3_event_50,14.3575,6.0,13.0,24.0,,58.45015737872434,0.0
226250,291584,197268,Isoa Nasilasila,Fiji,England,Second-row,True,p3_event_50,14.33225,5.0,13.0,24.0,,67.98950188119036,0.0
105642,291588,203124,Craig Casey,Ireland,Japan,Scrum-half,True,p3_event_50,14.1295,2.0,12.0,29.0,,65.92171096307374,0.0
196669,291585,130530,Zander Fagerson,Scotland,South Africa,Prop,True,p3_event_50,14.0445,6.0,13.0,23.0,,57.64139290059285,0.0
222388,291586,196152,Yoram Moefana,France,Australia,Centre,True,p3_event_50,13.994,5.0,13.0,25.0,,73.60954248750804,0.0
215963,291583,124686,Guido Petti,Argentina,Wales,Second-row,True,p3_event_50,13.9845,5.0,13.0,24.0,,67.75689473926883,0.0
180778,291585,179370,Kyle Rowe,Scotland,South Africa,Back-three,True,p3_event_50,13.89825,3.0,12.0,27.0,,73.226667621865,0.0
229505,291583,201528,Lucio Cinti,Argentina,Wales,Centre,True,p3_event_50,13.87025,4.0,13.0,25.0,,72.43688486108401,0.0
242264,291586,213924,Joseph-Aukuso Suaalii,Australia,France,Centre,True,p3_event_50,13.85025,4.0,13.0,25.0,,72.60849198259926,0.0
161973,291584,206814,Simione Kuruvoli,Fiji,England,Scrum-half,True,p3_event_50,13.841,2.0,12.0,27.0,,62.254105915423786,0.0
168641,291583,135306,Dillon Lewis,Wales,Argentina,Prop,True,p3_event_50,13.74175,5.0,13.0,23.0,,54.23581673280472,0.0
156253,291587,203034,Paolo Garbisi,Italy,New Zealand,Fly-half,True,p3_event_50,13.62525,4.0,12.5,24.0,,71.50108354534582,0.0
185293,291586,153318,Len Ikitau,Australia,France,Centre,True,p3_event_50,13.52625,4.0,12.0,25.0,,72.02546437088273,0.0
240916,291583,337350,Boris Wenger,Argentina,Wales,Prop,True,p3_event_50,13.45975,4.0,12.0,25.0,,58.02046944108426,0.0
226014,291585,150120,Cobus Wiese,South Africa,Scotland,Second-row,True,p3_event_50,13.41825,4.0,12.0,25.0,,62.10452615069751,0.0
130282,291587,117834,Tommaso Allan,Italy,New Zealand,Fly-half,True,p3_event_50,13.34575,3.0,12.0,25.0,,70.6021508935333,0.0
134796,291584,178806,Joe Heyes,England,Fiji,Prop,True,p3_event_50,13.18425,5.0,12.0,22.0,,57.32636362444541,0.0
165007,291584,136680,Ellis Genge,England,Fiji,Prop,True,p3_event_50,13.11325,4.0,12.0,23.0,,57.02847889778984,0.0
224426,291588,fantasy_224426,Tom OToole,Ireland,Japan,Prop,True,p3_event_50,13.044,4.0,12.0,24.0,,54.0425992751197,0.0
226261,291584,359628,Vuate Karawalevu,Fiji,England,Back-three,True,p3_event_50,12.9005,2.0,12.0,26.0,,69.61565238220244,0.0
243190,291583,197892,Blair Murray,Wales,Argentina,Back-three,True,p3_event_50,12.71225,3.0,11.0,25.0,,74.63656423885517,0.0
156336,291586,201012,Tom Wright,Australia,France,Back-three,True,p3_event_50,12.6215,2.0,11.0,26.0,,74.52781295164998,0.0
196853,291588,203208,Thomas Clarkson,Ireland,Japan,Prop,True,p3_event_50,12.619,3.0,11.0,24.0,,55.40139331881497,0.0
102468,291587,196176,Ethan de Groot,New Zealand,Italy,Prop,True,p3_event_50,12.595,4.0,11.0,22.0,,54.59931676792282,0.0
146480,291585,139998,Sione Tuipulotu,Scotland,South Africa,Centre,True,p3_event_50,12.5905,4.0,11.0,22.0,,74.00163449127099,0.0
109816,291585,130554,Rory Hutchinson,Scotland,South Africa,Centre,True,p3_event_50,12.581,3.0,11.0,23.0,,73.02937575209643,0.0
187476,291586,fantasy_187476,Moses Alo-Emile,France,Australia,Prop,True,p3_event_50,12.52025,4.0,11.0,23.0,,54.0425992751197,0.0
245274,291586,fantasy_245274,Declan Meredith,Australia,France,Back-three,True,p3_event_50,12.4565,2.0,11.0,26.0,,72.50819899535851,0.0
164116,291588,120702,Robbie Henshaw,Ireland,Japan,Centre,True,p3_event_50,12.21625,3.0,11.0,23.0,,69.73588971709627,0.0
138016,291584,114534,Henry Slade,England,Fiji,Centre,True,p3_event_50,12.08725,2.0,11.0,24.0,,73.78552248288892,0.0
103821,291584,175848,Eroni Mawi,Fiji,England,Prop,True,p3_event_50,12.031,3.0,11.0,22.0,,54.14128578102822,0.0
209105,291587,213750,Louis Lynagh,Italy,New Zealand,Back-three,True,p3_event_50,11.96775,1.0,10.0,25.0,,74.21190060497578,0.0
133163,291583,128628,Tomos Williams,Wales,Argentina,Scrum-half,True,p3_event_50,11.8385,2.0,10.0,24.0,,66.51179797626469,0.0
252801,291588,350934,Kazuma Ueda,Japan,Ireland,Back-three,True,p3_event_50,11.75475,1.0,10.0,25.0,,73.20159919308264,0.0
188057,291585,142476,Ben White,Scotland,South Africa,Scrum-half,True,p3_event_50,11.6935,2.0,10.0,23.0,,62.07128773763095,0.0
198661,291588,165924,Dylan Riley,Japan,Ireland,Centre,True,p3_event_50,11.643,2.0,10.0,23.0,,73.967127013506,0.0
207407,291586,178656,Demba Bamba,France,Australia,Prop,True,p3_event_50,11.6305,3.0,11.0,21.0,,53.15946586204377,0.0
113737,291584,213786,Jack van Poortvliet,England,Fiji,Scrum-half,True,p3_event_50,11.54875,1.0,10.0,24.0,,63.495472837213434,0.0
150038,291587,140004,Tyrel Lomax,New Zealand,Italy,Prop,True,p3_event_50,11.4575,3.0,10.0,21.0,,55.21824664211142,0.0
237271,291583,232158,Eddie James,Wales,Argentina,Centre,True,p3_event_50,11.4425,3.0,10.0,21.0,,73.90894076202704,0.0
239638,291588,229884,Takuro Matsunaga,Japan,Ireland,Back-three,True,p3_event_50,11.351,1.0,10.0,23.0,,74.71749176557348,0.0
107059,291587,144684,Marco Riccioni,Italy,New Zealand,Prop,True,p3_event_50,11.30825,3.0,10.0,20.0,,54.51646674295772,0.0
165888,291585,130260,Wilco Louw,South Africa,Scotland,Prop,True,p3_event_50,11.24225,2.0,10.0,22.0,,55.531218442245304,0.0
246851,291583,359274,Toms Rapetti,Argentina,Wales,Prop,True,p3_event_50,11.18,3.0,10.0,21.0,,54.015762529454825,0.0
178772,291583,169464,Gonzalo Garcia,Argentina,Wales,Scrum-half,True,p3_event_50,11.12925,1.0,9.0,24.0,,63.25303528026225,0.0
136875,291587,202980,Gianmarco Lucchesi,Italy,New Zealand,Hooker,False,p3_event_50,11.02125,2.0,9.0,21.0,,24.766276727680726,0.0
249307,291583,363636,Ellis Mee,Wales,Argentina,Back-three,True,p3_event_50,11.001,2.0,10.0,22.0,,71.39448707258381,0.0
130487,291587,118614,Nacho Brex,Italy,New Zealand,Centre,True,p3_event_50,10.83375,2.0,9.0,21.0,,74.33872801250902,0.0
219485,291586,163734,Ryan Lonergan,Australia,France,Scrum-half,True,p3_event_50,10.5835,1.0,9.0,23.0,,66.53889708928061,0.0
110891,291587,213144,Stephen Varney,Italy,New Zealand,Scrum-half,True,p3_event_50,10.54125,1.0,9.0,22.0,,67.2910738458746,0.0
137453,291583,129096,Josh Adams,Wales,Argentina,Back-three,True,p3_event_50,10.45625,0.0,9.0,23.0,,72.0899507886034,0.0
240478,291585,263268,Gregor Hiddleston,Scotland,South Africa,Hooker,False,p3_event_50,10.40275,2.0,9.0,21.0,,22.099245213280142,0.0
197246,291588,201792,Tom Stewart,Ireland,Japan,Hooker,False,p3_event_50,10.0665,1.0,8.0,22.0,,23.335833351122638,0.0
120076,291588,67848,Michael Leitch,Japan,Ireland,Back-row,False,p3_event_50,9.928,2.0,8.0,20.0,,23.364895803743707,0.0
251359,291588,371544,Yuya Hirose,Japan,Ireland,Centre,True,p3_event_50,9.722,2.0,8.0,19.0,,71.04301612918908,0.0
140735,291588,150960,Naoto Saito,Japan,Ireland,Scrum-half,True,p3_event_50,9.712,0.0,8.0,22.0,,65.81768521182221,0.0
129754,291585,193200,Vincent Tshituka,South Africa,Scotland,Back-row,False,p3_event_50,8.976,1.0,7.0,20.0,,29.39433276871589,0.0
197546,291583,220962,Joe Hawkins,Wales,Argentina,Centre,True,p3_event_50,8.96875,1.0,8.0,18.0,,71.96229848023732,0.0
239634,291584,342324,Henry Pollock,England,Fiji,Back-row,False,p3_event_50,8.83725,0.0,7.0,20.0,,19.667543853964307,0.0
189190,291586,178824,Maxime Lamothe,France,Australia,Hooker,False,p3_event_50,8.676,1.0,7.0,19.0,,24.087751651580938,0.0
251199,291588,371742,Hayate Era,Japan,Ireland,Hooker,False,p3_event_50,8.656,1.0,7.0,18.0,,19.282793486359417,0.0
229863,291588,208038,Cormac Izuchukwu,Ireland,Japan,Second-row,False,p3_event_50,8.61275,1.0,7.0,19.0,,20.13020207447596,0.0
237231,291587,231804,Mirco Spagnolo,Italy,New Zealand,Prop,False,p3_event_50,8.49775,1.0,7.0,17.0,,23.184743076344102,0.0
172284,291587,220782,Muhamed Hasa,Italy,New Zealand,Prop,False,p3_event_50,8.495,1.0,7.0,17.0,,25.54862771869827,0.0
225671,291587,fantasy_225671,Samisoni Taukeiaho,New Zealand,Italy,Hooker,False,p3_event_50,8.424,0.0,6.0,19.0,,20.309847405045588,0.0
222623,291584,155892,Tom Curry,England,Fiji,Back-row,False,p3_event_50,8.16625,0.0,7.0,18.0,,23.024876614616698,0.0
171709,291584,124944,Sam Matavesi,Fiji,England,Hooker,False,p3_event_50,8.09325,0.0,6.0,18.0,,22.58129354590156,0.0
182170,291583,128574,Ryan Elias,Wales,Argentina,Hooker,False,p3_event_50,8.00775,1.0,7.0,17.0,,23.015848113951506,0.0
156550,291585,129396,Magnus Bradbury,Scotland,South Africa,Back-row,False,p3_event_50,8.00725,0.0,6.0,17.0,,20.901092392694274,0.0
110319,291583,121974,Nicky Smith,Wales,Argentina,Prop,False,p3_event_50,7.922,1.0,7.0,17.0,,26.119718047387316,0.0
103440,291587,129234,Federico Ruzza,Italy,New Zealand,Second-row,False,p3_event_50,7.819,1.0,7.0,16.0,,20.392608553821574,0.0
188103,291584,173826,Pita Gus Sowakula,Fiji,England,Back-row,False,p3_event_50,7.69575,0.0,6.0,18.0,,23.629414151223926,0.0
106142,291584,115452,Luke Cowan-Dickie,England,Fiji,Hooker,False,p3_event_50,7.645,0.0,6.0,18.0,,22.63262111920157,0.0
111475,291587,197916,Josh Lord,New Zealand,Italy,Second-row,False,p3_event_50,7.63075,0.0,6.0,16.0,,23.008976954305346,0.0
245055,291584,207894,Elia Canakaivata,Fiji,England,Back-row,False,p3_event_50,7.62125,0.0,6.0,18.0,,21.468012907203388,0.0
209567,291585,227988,Ntuthuko Mchunu,South Africa,Scotland,Prop,False,p3_event_50,7.3795,0.0,5.0,19.0,,23.968335717318503,0.0
