id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,fantasy_id,expected_points,starter_exp,supersub_exp
212902,Dewi Lake,Wales,1,Hooker,6.0,7.1,P,Argentina,False,32,1787,-20.2,1.0,23.17,60.3,212902,18.75875,18.75875,9.379375
160801,Jamie George,England,1,Hooker,5.5,5.7,P,Fiji,False,62,2578,2.8,1.0,17.42,59.6,160801,15.17725,15.17725,7.588625
146815,Angus Bell,Australia,2,Prop,7.0,20.8,P,France,True,49,1772,-4.9,1.0,20.71,53.3,146815,15.58325,15.58325,7.791625
135572,Jack Cornelsen,Japan,2,Lock,5.5,4.8,P,Ireland,True,30,2948,-19.8,0.998,14.96,77.5,135572,21.3445,21.3445,10.67225
246864,Isaiah Armstrong-Ravula,Fiji,2,Fly Half,5.0,0.5,B,England,True,19,0,-2.8,1.0,10.33,9.5,246864,2.59575,2.59575,7.787249999999999
188057,Ben White,Scotland,1,Scrum Half,4.5,4.5,P,South Africa,False,40,2829,-25.7,1.0,15.43,62.0,188057,11.6935,11.6935,5.84675
243190,Blair Murray,Wales,1,Back Three,4.5,8.9,P,Argentina,False,17,2296,-20.2,1.0,11.41,78.6,243190,12.71225,12.71225,6.356125
251359,Yuya Hirose,Japan,2,Centre,4.0,0.5,P,Ireland,True,6,1653,-19.8,0.998,10.15,80.0,251359,9.722,9.722,4.861
233260,Shuhei Takeuchi,Japan,2,Prop,4.0,1.7,P,Ireland,True,25,1749,-19.8,0.998,17.68,60.0,233260,15.881,15.881,7.9405
131550,Takato Okabe,Japan,2,Prop,3.0,3.6,P,Ireland,True,9,2164,-19.8,0.998,12.62,59.5,131550,14.3575,14.3575,7.17875
237803,Kalaveti Ravouvou,Fiji,2,Back Three,6.5,2.4,P,England,True,16,3016,-2.8,1.0,21.07,77.2,237803,18.3145,18.3145,9.15725
193134,Nick Timoney,Ireland,1,Loose Forward,5.0,4.9,P,Japan,False,12,3532,19.8,0.998,21.72,62.7,193134,24.11125,24.11125,12.055625
103703,Harry Hockings,Japan,2,Lock,4.5,1.3,P,Ireland,True,3,2967,-19.8,0.998,17.37,59.0,103703,23.0795,23.0795,11.53975
189190,Maxime Lamothe,France,1,Hooker,4.5,6.4,B,Australia,False,4,3426,4.9,1.0,18.85,25.9,189190,8.676,8.676,26.028
107059,Marco Riccioni,Italy,1,Prop,3.5,6.9,P,New Zealand,False,27,2091,-33.5,0.962,13.7,43.4,107059,11.30825,11.30825,5.654125
255396,Malik Faissal,Italy,1,Back Three,3.5,2.6,P,New Zealand,False,1,1214,-33.5,0.962,13.85,80.0,255396,15.95175,15.95175,7.975875
111475,Josh Lord,New Zealand,2,Lock,6.0,4.1,B,Italy,True,13,1714,33.5,0.962,13.45,31.3,111475,7.63075,7.63075,22.89225
120191,Michele Lamaro,Italy,1,Loose Forward,6.0,2.4,P,New Zealand,False,55,3001,-33.5,0.962,15.21,69.8,120191,19.36425,19.36425,9.682125
225264,Ruan Nortje,South Africa,2,Lock,6.0,6.0,P,Scotland,True,19,2807,25.7,1.0,10.51,72.6,225264,15.7845,15.7845,7.89225
177559,Alex Mitchell,England,1,Scrum Half,5.5,1.1,B,Fiji,False,41,3128,2.8,1.0,15.38,15.1,177559,3.52675,3.52675,10.58025
140735,Naoto Saito,Japan,2,Scrum Half,4.5,1.3,P,Ireland,True,28,1367,-19.8,0.998,7.9,67.3,140735,9.712,9.712,4.856
224426,Tom OToole,Ireland,1,Prop,4.0,4.9,P,Japan,False,22,2335,19.8,0.998,12.96,57.7,224426,13.044,13.044,6.522
251673,Ryunosuke Ito,Japan,2,Fly Half,4.0,0.5,P,Ireland,True,1,178,-19.8,0.998,13.22,80.0,251673,16.2955,16.2955,8.14775
144570,Jimmy OBrien,Ireland,1,Back Three,4.0,0.5,P,Japan,False,12,2892,19.8,0.998,16.34,75.4,144570,17.00625,17.00625,8.503125
251199,Hayate Era,Japan,2,Hooker,3.5,0.2,B,Ireland,True,8,1099,-19.8,0.998,25.38,23.0,251199,8.656,8.656,25.968000000000004
