Player,Nation,Position,MP,POTM,MC,DB,OF,T,As,C,Pen,DG,SW,50-22,Ta,BS,LS,CPen,YC,RC ,AP
P. Mauvaka,France,Centre,5,0,109,3,0,1,0,0,0,0,7,0,32,1,0,2,1,0,13.4
P. Schoeman,Scotland,Centre,5,0,230,4,0,0,0,0,0,0,10,0,25,1,0,3,0,0,13.2
A. Mitchell,England,Scrum-half,5,0,154,7,0,1,4,0,0,0,0,0,16,0,0,3,0,0,13.0
E. Meafou,France,Wing,4,0,101,2,3,0,0,0,0,0,9,0,27,0,0,3,0,0,13.0
G. Gilchrist,Scotland,Wing,5,0,140,2,1,0,0,0,0,0,17,0,34,0,0,4,0,0,13.0
T. Dan,England,Centre,1,0,17,2,0,0,1,0,0,0,1,0,3,0,0,0,0,0,13.0
O. Jegou,France,Fly-half,5,0,65,1,1,1,0,0,0,0,6,0,28,0,1,1,0,0,12.8
F. Dingwall,England,Back Row,2,0,43,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,12.5
J. George,England,Centre,4,0,67,2,1,0,1,0,0,0,5,0,25,1,0,0,0,0,12.3
T. Williams,Wales,Wing,4,0,64,1,1,1,0,0,0,0,1,0,17,0,1,0,0,0,12.3
F. Bealham,Ireland,Centre,5,0,55,1,0,0,0,0,0,0,11,0,40,1,0,0,0,0,12.2
T. Allan,Italy,Number 8,5,0,100,0,2,0,0,6,11,0,0,0,5,0,0,1,0,0,12.2
J. McCarthy,Ireland,Wing,3,0,72,5,1,0,0,0,0,0,5,0,20,0,0,2,1,0,12.0
G. Anscombe,Wales,Number 8,3,0,47,1,0,0,1,2,3,0,0,0,14,0,0,0,0,0,12.0
C. Nash,Ireland,Back Row,2,0,84,2,2,1,0,0,0,0,0,0,5,0,0,2,1,0,12.0
R. Taofifenua,France,Wing,1,0,23,0,3,0,0,0,0,0,4,0,1,0,0,1,0,0,12.0
E. Ashman,Scotland,Centre,5,0,125,3,5,0,0,0,0,0,8,0,26,0,0,2,0,0,11.6
S. Varney,Italy,Scrum-half,2,0,16,1,1,1,0,0,0,0,0,0,9,0,0,0,0,0,11.5
E. Dee,Wales,Centre,5,0,129,0,1,0,0,0,0,0,7,0,43,0,0,5,0,0,11.4
J. Gros,France,Centre,5,0,121,4,1,0,0,0,0,0,8,0,35,0,0,1,1,0,11.4
H. Slade,England,Back Row,3,0,107,0,0,0,1,0,0,0,0,0,21,0,0,1,0,0,11.3
R. Vintcent,Italy,Fly-half,5,0,128,3,1,1,0,0,0,0,4,0,27,0,0,1,0,1,11.2
G. Ford,England,Number 8,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,11.0
A. Jelonch,France,Fly-half,3,0,46,1,1,0,1,0,0,0,6,0,17,0,0,2,0,0,10.7
S. Gesi,Italy,Back Row,2,0,84,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10.5
L. Cowan-Dickie,England,Centre,5,0,56,0,0,0,0,0,0,0,11,0,35,1,0,2,0,0,10.4
S. Ferrari,Italy,Centre,5,0,16,0,0,0,0,0,0,0,13,0,38,0,0,0,0,0,10.4
N. Tompkins,Wales,Back Row,3,0,95,3,2,0,0,0,0,0,0,0,13,0,0,0,0,0,10.3
G. Nicotera,Italy,Centre,5,0,20,0,1,0,0,0,0,0,8,0,47,0,0,2,1,0,10.2
F. Steward,England,Back Row,1,0,78,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.0
S. McDowall,Scotland,Back Row,5,0,138,6,2,0,1,0,0,0,0,0,18,0,0,0,0,0,9.8
