player,slug,competition,season,games,minutes,tries,try_assists,points,carries,metres,av_gain,post_contact_metres,defenders_beaten,clean_breaks,offloads,handling_errors,passes,bad_passes,tackles,missed_tackles,tackles_success_pct,dominant_tackles,turnovers_won,turnovers_conceded,kicks_from_hand,penalties_conceded,yellow_cards,red_cards
T. Jordan,tom-jordan,Six Nations,2025,5,343,2,2,10,39.0,194.0,4.98,140.0,14.0,3,2,3,63.0,3,30.0,8.0,0.7,2,2,3,4,4,0,0
T. Matiu,temo-matiu,Six Nations,2026,1,41,0,0,0,8.0,7.0,0.89,12.0,,0,1,0,2.0,1,11.0,1.0,0.85,0,0,1,0,1,0,0
T. Menoncello,tommaso-menoncello,Six Nations,2026,5,400,2,1,10,35.0,362.0,10.36,319.0,21.0,10,2,7,24.0,9,41.0,5.0,0.77,3,5,10,4,2,0,0
T. Menoncello,tommaso-menoncello,Six Nations,2025,5,400,2,0,10,32.0,213.0,6.66,195.0,20.0,3,4,0,13.0,3,59.0,6.0,0.83,8,6,2,2,3,0,0
T. Menoncello,tommaso-menoncello,Six Nations,2024,5,388,0,1,0,35.0,191.0,5.45,132.0,10.0,2,4,6,15.0,2,46.0,15.0,0.66,5,4,8,5,3,1,0
T. O'Toole,tom-otoole,Six Nations,2026,4,176,0,0,0,16.0,14.0,0.89,15.0,,0,1,1,8.0,0,44.0,1.0,0.96,0,2,1,0,1,0,0
T. O'Toole,tom-otoole,Six Nations,2024,1,24,0,0,0,1.0,4.0,4.1,2.0,,0,0,0,,0,1.0,,0.33,0,0,0,0,1,0,0
T. Plumtree,taine-plumtree,Six Nations,2026,3,60,0,0,0,9.0,34.0,3.81,17.0,1.0,0,1,0,9.0,0,11.0,1.0,0.85,0,0,0,0,1,1,0
T. Ramos,thomas-ramos,Six Nations,2026,5,400,3,4,74,57.0,298.0,5.22,172.0,17.0,5,10,11,98.0,11,13.0,4.0,0.65,0,0,15,20,1,0,0
T. Ramos,thomas-ramos,Six Nations,2025,5,375,1,2,71,48.0,320.0,6.67,112.0,11.0,7,7,7,69.0,7,14.0,8.0,0.61,1,1,9,38,3,0,0
T. Ramos,thomas-ramos,Six Nations,2024,5,400,0,0,63,34.0,202.0,5.94,115.0,17.0,1,4,3,108.0,5,23.0,6.0,0.7,0,1,8,38,0,0,0
T. Reffell,tommy-reffell,Six Nations,2025,4,200,0,0,0,21.0,22.0,1.06,24.0,2.0,0,0,1,10.0,0,48.0,5.0,0.84,1,1,1,0,0,0,0
T. Reffell,tommy-reffell,Six Nations,2024,5,376,0,0,0,36.0,42.0,1.17,67.0,8.0,2,3,0,15.0,0,78.0,6.0,0.86,2,11,1,0,2,0,0
T. Rogers,tom-rogers,Six Nations,2025,4,195,1,0,5,13.0,80.0,6.18,37.0,2.0,1,2,1,5.0,0,13.0,5.0,0.65,3,0,4,2,1,0,0
T. Stewart,tom-stewart,Six Nations,2026,1,17,0,0,0,2.0,2.0,0.95,5.0,,0,0,0,,0,4.0,,1.0,0,0,0,0,0,0,0
T. di Bartolomeo,tommaso-di-bartolomeo,Six Nations,2026,4,74,1,0,5,7.0,9.0,1.26,12.0,,0,0,0,2.0,0,17.0,1.0,0.94,2,0,1,0,2,0,0
U. Atonio,uini-atonio,Six Nations,2025,5,246,0,0,0,16.0,9.0,0.56,18.0,,0,1,0,13.0,0,22.0,6.0,0.76,2,3,0,0,1,0,0
U. Atonio,uini-atonio,Six Nations,2024,5,261,0,0,0,29.0,18.0,0.62,36.0,1.0,0,0,2,7.0,1,23.0,2.0,0.85,1,2,2,0,3,1,0
W. Hurd,will-hurd,Six Nations,2025,4,46,0,0,0,7.0,10.0,1.49,13.0,,0,0,0,,0,4.0,2.0,0.67,0,0,0,0,3,0,0
W. John,will-john,Six Nations,2025,3,130,0,0,0,9.0,0.0,0.03,11.0,,0,1,1,2.0,0,28.0,4.0,0.85,2,0,1,0,3,1,0
W. Rowlands,will-rowlands,Six Nations,2025,5,319,0,0,0,35.0,45.0,1.27,48.0,4.0,0,0,2,20.0,3,45.0,7.0,0.8,2,0,3,0,2,0,0
W. Rowlands,will-rowlands,Six Nations,2024,4,137,1,0,5,23.0,29.0,1.25,33.0,2.0,0,0,0,9.0,1,22.0,1.0,0.81,2,1,0,0,0,0,0
W. Stuart,will-stuart,Six Nations,2025,5,293,1,0,5,21.0,29.0,1.39,39.0,3.0,0,1,2,8.0,2,32.0,3.0,0.89,1,1,2,0,1,0,0
W. Stuart,will-stuart,Six Nations,2024,5,188,0,0,0,15.0,13.0,0.85,25.0,3.0,0,0,2,1.0,0,20.0,2.0,0.8,2,0,2,0,2,0,0
Y. Moefana,yoram-moefana,Six Nations,2026,3,210,0,1,0,27.0,99.0,3.67,66.0,3.0,3,5,2,20.0,2,17.0,9.0,0.57,1,1,2,0,1,0,0
Y. Moefana,yoram-moefana,Six Nations,2025,5,400,2,2,10,46.0,186.0,4.03,118.0,12.0,3,4,1,39.0,1,54.0,13.0,0.73,3,0,2,3,0,0,0
Y. Moefana,yoram-moefana,Six Nations,2024,5,169,0,0,0,16.0,76.0,4.77,55.0,2.0,0,0,2,7.0,2,14.0,1.0,0.88,3,0,3,0,1,0,0
Z. Fagerson,zander-fagerson,Six Nations,2026,5,279,0,0,0,43.0,55.0,1.28,69.0,2.0,0,0,2,7.0,1,55.0,3.0,0.92,1,0,3,0,7,0,0
Z. Fagerson,zander-fagerson,Six Nations,2025,5,354,0,0,0,57.0,70.0,1.23,95.0,2.0,0,1,1,13.0,0,43.0,2.0,0.91,1,0,2,0,4,0,0
Z. Fagerson,zander-fagerson,Six Nations,2024,5,341,1,0,5,31.0,32.0,1.04,49.0,3.0,0,0,1,3.0,1,57.0,2.0,0.93,2,2,1,0,8,0,0
