slate,competition,season,candidate,comparator,unknown_selected,delta_total,delta_xv,delta_captain_extra,delta_super_sub,delta_mae
ncr_2026_r2,ncr,2026,equal_empirical_baseline,empirical_baseline,0,40.0,40.0,0.0,0.0,-0.17594509180353057
ncr_2026_r3,ncr,2026,equal_empirical_baseline,empirical_baseline,0,-22.0,-22.0,0.0,0.0,-0.113499120843219
six_nations_2025_r1,six_nations,2025,regularised_empirical_baseline,empirical_baseline,0,63.0,3.0,0.0,60.0,0.0055423543020536314
six_nations_2025_r2,six_nations,2025,regularised_empirical_baseline,empirical_baseline,0,0.0,0.0,0.0,0.0,-0.03528799528687454
six_nations_2025_r3,six_nations,2025,regularised_empirical_baseline,empirical_baseline,0,-19.0,11.0,0.0,-30.0,0.06621090724127754
six_nations_2025_r4,six_nations,2025,regularised_empirical_baseline,empirical_baseline,0,-7.0,-7.0,0.0,0.0,-0.023019993821491447
six_nations_2025_r5,six_nations,2025,regularised_empirical_baseline,empirical_baseline,0,0.0,0.0,0.0,0.0,-0.02992673698429016
six_nations_2026_r1,six_nations,2026,regularised_empirical_baseline,empirical_baseline,0,27.0,27.0,0.0,0.0,-0.15212112746673423
six_nations_2026_r2,six_nations,2026,regularised_empirical_baseline,empirical_baseline,0,-15.0,0.0,-15.0,0.0,0.023871841699683927
six_nations_2026_r3,six_nations,2026,regularised_empirical_baseline,empirical_baseline,0,23.0,23.0,0.0,0.0,-0.12046308751082524
six_nations_2026_r4,six_nations,2026,regularised_empirical_baseline,empirical_baseline,0,-52.0,-21.0,-31.0,0.0,-0.07154405586650103
six_nations_2026_r5,six_nations,2026,regularised_empirical_baseline,empirical_baseline,0,35.0,35.0,0.0,0.0,-0.11752395748083178
ncr_2026_r1,ncr,2026,regularised_empirical_baseline,empirical_baseline,0,-20.0,-8.0,0.0,-12.0,-0.049692709034838245
ncr_2026_r2,ncr,2026,regularised_empirical_baseline,empirical_baseline,0,40.0,40.0,0.0,0.0,-0.21926265900757436
ncr_2026_r3,ncr,2026,regularised_empirical_baseline,empirical_baseline,0,-1.0,-13.0,0.0,12.0,-0.14138963363787127
six_nations_2025_r1,six_nations,2025,role_calibration,p3_robust_native,0,0.0,0.0,0.0,0.0,0.0
six_nations_2025_r2,six_nations,2025,role_calibration,p3_robust_native,0,-11.0,0.0,-11.0,0.0,0.39324395369343534
six_nations_2025_r3,six_nations,2025,role_calibration,p3_robust_native,0,-26.0,0.0,-26.0,0.0,0.16190109624521298
six_nations_2025_r4,six_nations,2025,role_calibration,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.02795766039099501
six_nations_2025_r5,six_nations,2025,role_calibration,p3_robust_native,0,0.0,0.0,0.0,0.0,0.08012932848643572
six_nations_2026_r1,six_nations,2026,role_calibration,p3_robust_native,0,16.0,0.0,16.0,0.0,0.0518314867614853
six_nations_2026_r2,six_nations,2026,role_calibration,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.02980964199082692
six_nations_2026_r3,six_nations,2026,role_calibration,p3_robust_native,0,27.0,0.0,0.0,27.0,-0.06179636216341411
six_nations_2026_r4,six_nations,2026,role_calibration,p3_robust_native,0,0.0,0.0,0.0,0.0,0.31891853462565933
