competition,rubric_era,season,round,key_fixture,key_player,team,player_name,position,is_forward,official_pts,group_id,status,label_percentile,label_z,_label_row_id,predicted_points,career_matches,matched,engine
six_nations,modern,2026,1,8523952,226818,Italy,Tommaso Menoncello,Centre,False,34.0,6n-2026-r1,,0.8969465648854962,1.3383851272097007,46,17.59,87.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,134016,Italy,Monty Ioane,Back-three,False,17.0,6n-2026-r1,,0.648854961832061,0.0480891625793962,47,20.64625,93.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,203034,Italy,Paolo Garbisi,Fly-half,False,15.0,6n-2026-r1,,0.5992366412213741,-0.1037103626712278,48,14.20375,121.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,180450,Italy,Alessandro Fusco,Scrum-half,False,11.0,6n-2026-r1,,0.4045801526717557,-0.4073094131724759,49,12.73625,72.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,164232,Italy,Danilo Fischetti,Prop,True,19.0,6n-2026-r1,,0.6946564885496184,0.1998886878300203,50,16.74875,113.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,226836,Italy,Giacomo Nicotera,Hooker,True,20.0,6n-2026-r1,,0.7175572519083969,0.2757884504553323,51,15.1175,93.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,123210,Italy,Simone Ferrari,Prop,True,33.0,6n-2026-r1,,0.8816793893129771,1.2624853645843888,52,9.56375,92.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,167196,Italy,Niccolo Cannone,Second-row,True,31.0,6n-2026-r1,,0.8358778625954199,1.1106858393337646,53,12.7075,111.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,208140,Italy,Andrea Zambonin,Second-row,True,30.0,6n-2026-r1,,0.8129770992366412,1.034786076708453,54,13.65375,68.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,164220,Italy,Michele Lamaro,Back-row,True,37.0,6n-2026-r1,,0.916030534351145,1.566084415085637,55,18.025,104.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,204054,Italy,Manuel Zuliani,Back-row,True,32.0,6n-2026-r1,,0.8587786259541985,1.1865856019590768,56,19.83375,87.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,220140,Italy,Lorenzo Cannone,Back-row,True,44.0,6n-2026-r1,,0.9465648854961832,2.097382753462821,57,20.625,86.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,231714,Italy,Tommaso Di Bartolomeo,Hooker,True,12.0,6n-2026-r1,,0.4503816793893129,-0.3314096505471639,58,9.415,41.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,231804,Italy,Mirco Spagnolo,Prop,True,5.0,6n-2026-r1,,0.1717557251908397,-0.8627079889243481,59,6.52625,64.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,220782,Italy,Muhamed Hasa,Prop,True,7.0,6n-2026-r1,,0.2824427480916031,-0.7109084636737241,60,6.32875,61.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,129234,Italy,Federico Ruzza,Second-row,True,8.0,6n-2026-r1,,0.3053435114503817,-0.635008701048412,61,8.11375,101.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,220128,Italy,Riccardo Favretto,Back-row,True,13.0,6n-2026-r1,,0.5,-0.2555098879218518,62,6.855,66.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,231774,Italy,Alessandro Garbisi,Scrum-half,False,5.0,6n-2026-r1,,0.1717557251908397,-0.8627079889243481,63,3.9325,88.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,231744,Italy,Lorenzo Pani,Back-three,False,2.0,6n-2026-r1,,0.0763358778625954,-1.0904072768002842,64,5.36875,44.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,242766,Scotland,Tom Jordan,Centre,False,6.0,6n-2026-r1,,0.232824427480916,-0.7868082262990361,65,18.24375,96.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,171582,Scotland,Kyle Steyn,Back-three,False,12.0,6n-2026-r1,,0.4503816793893129,-0.3314096505471639,66,22.01125,81.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,136776,Scotland,Huw Jones,Centre,False,7.0,6n-2026-r1,,0.2824427480916031,-0.7109084636737241,67,18.2575,75.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,139998,Scotland,Sione Tuipulotu,Centre,False,11.0,6n-2026-r1,,0.4045801526717557,-0.4073094131724759,68,15.1475,104.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,117894,Scotland,Finn Russell,Fly-half,False,14.0,6n-2026-r1,,0.5534351145038168,-0.1796101252965398,69,33.30625,129.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,142476,Scotland,Ben White,Scrum-half,False,26.0,6n-2026-r1,,0.7862595419847328,0.7311870262072045,70,12.7275,105.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,130290,Scotland,Pierre Schoeman,Prop,True,10.0,6n-2026-r1,,0.3740458015267175,-0.4832091757977879,71,16.88125,111.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,187422,Scotland,Ewan Ashman,Hooker,True,14.0,6n-2026-r1,,0.5534351145038168,-0.1796101252965398,72,21.975,103.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,130530,Scotland,Zander Fagerson,Prop,True,13.0,6n-2026-r1,,0.5,-0.2555098879218518,73,11.91375,100.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,136596,Scotland,Scott Cummings,Second-row,True,9.0,6n-2026-r1,,0.3396946564885496,-0.5591089384230999,74,14.74125,100.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,102762,Scotland,Grant Gilchrist,Second-row,True,3.0,6n-2026-r1,,0.1030534351145038,-1.0145075141749722,75,15.60625,95.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,161856,Scotland,Matt Fagerson,Back-row,True,17.0,6n-2026-r1,,0.648854961832061,0.0480891625793962,76,20.4925,111.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,180222,Scotland,Rory Darge,Back-row,True,22.0,6n-2026-r1,,0.7595419847328244,0.4275879757059564,77,23.2125,89.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,124308,Scotland,Jack Dempsey,Back-row,True,40.0,6n-2026-r1,,0.931297709923664,1.793783702961573,78,32.18875,70.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,117864,Scotland,George Turner,Hooker,True,-2.0,6n-2026-r1,,0.015267175572519,-1.3940063273015324,79,11.7225,88.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,179394,Scotland,Nathan McBeth,Prop,True,6.0,6n-2026-r1,,0.232824427480916,-0.7868082262990361,80,5.1925,68.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,178038,Scotland,Elliot Millar-Mills,Prop,True,3.0,6n-2026-r1,,0.1030534351145038,-1.0145075141749722,81,6.21375,54.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,231570,Scotland,Max Williamson,Second-row,True,3.0,6n-2026-r1,,0.1030534351145038,-1.0145075141749722,82,6.93375,56.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,220296,Scotland,Gregor Brown,Second-row,True,14.0,6n-2026-r1,,0.5534351145038168,-0.1796101252965398,83,10.28625,55.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,129792,Scotland,George Horne,Scrum-half,False,15.0,6n-2026-r1,,0.5992366412213741,-0.1037103626712278,84,7.405,102.0,True,gbdt_v4
six_nations,modern,2026,1,8523952,146754,Scotland,Darcy Graham,Back-three,False,1.0,6n-2026-r1,,0.0648854961832061,-1.1663070394255963,85,8.6325,81.0,True,gbdt_v4
six_nations,modern,2026,1,8523961,203496,England,Freddie Steward,Back-three,False,16.0,6n-2026-r1,,0.6183206106870229,-0.0278106000459157,86,27.51875,108.0,True,gbdt_v4
six_nations,modern,2026,1,8523961,187458,England,Tom Roebuck,Back-three,False,17.0,6n-2026-r1,,0.648854961832061,0.0480891625793962,87,30.11,74.0,True,gbdt_v4
six_nations,modern,2026,1,8523961,213192,England,Tommy Freeman,Back-three,False,50.0,6n-2026-r1,,0.9732824427480916,2.5527813292146933,88,34.97375,98.0,True,gbdt_v4
six_nations,modern,2026,1,8523961,156030,England,Fraser Dingwall,Centre,False,20.0,6n-2026-r1,,0.7175572519083969,0.2757884504553323,89,17.8675,81.0,True,gbdt_v4
six_nations,modern,2026,1,8523961,238830,England,Henry Arundell,Back-three,False,46.0,6n-2026-r1,,0.9580152671755724,2.249182278713445,90,30.53,65.0,True,gbdt_v4
six_nations,modern,2026,1,8523961,66258,England,George Ford,Fly-half,False,55.0,6n-2026-r1,,1.0,2.932280142341253,91,21.46125,89.0,True,gbdt_v4
six_nations,modern,2026,1,8523961,142356,England,Alex Mitchell,Scrum-half,False,6.0,6n-2026-r1,,0.232824427480916,-0.7868082262990361,92,25.89,102.0,True,gbdt_v4
six_nations,modern,2026,1,8523961,136680,England,Ellis Genge,Prop,True,11.0,6n-2026-r1,,0.4045801526717557,-0.4073094131724759,93,20.82125,111.0,True,gbdt_v4
six_nations,modern,2026,1,8523961,61134,England,Jamie George,Hooker,True,12.0,6n-2026-r1,,0.4503816793893129,-0.3314096505471639,94,16.29625,113.0,True,gbdt_v4
six_nations,modern,2026,1,8523961,178806,England,Joe Heyes,Prop,True,9.0,6n-2026-r1,,0.3396946564885496,-0.5591089384230999,95,11.86,87.0,True,gbdt_v4
six_nations,modern,2026,1,8523961,198696,England,Alex Coles,Second-row,True,22.0,6n-2026-r1,,0.7595419847328244,0.4275879757059564,96,27.495,82.0,True,gbdt_v4
six_nations,modern,2026,1,8523961,218742,England,Ollie Chessum,Second-row,True,30.0,6n-2026-r1,,0.8129770992366412,1.034786076708453,97,22.79875,82.0,True,gbdt_v4
six_nations,modern,2026,1,8523961,239076,England,Guy Pepper,Back-row,True,32.0,6n-2026-r1,,0.8587786259541985,1.1865856019590768,98,24.865,56.0,True,gbdt_v4
six_nations,modern,2026,1,8523961,129660,England,Sam Underhill,Back-row,True,10.0,6n-2026-r1,,0.3740458015267175,-0.4832091757977879,99,21.24,72.0,True,gbdt_v4
six_nations,modern,2026,1,8523961,142404,England,Ben Earl,Back-row,True,50.0,6n-2026-r1,,0.9732824427480916,2.5527813292146933,100,27.5325,113.0,True,gbdt_v4
