fixture_id,player_id,team,player_name,date,competition_level,previous_minutes,previous_available__minutes,previous_provenance__minutes,minutes,available__minutes,provenance__minutes,reason
26656,51510,South Africa,Francois Steyn,2021-10-02,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290375,128790,New Zealand,Anton Lienert-Brown,2021-10-23,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290375,140004,New Zealand,Tyrel Lomax,2021-10-23,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290375,69684,New Zealand,Beauden Barrett,2021-10-23,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290375,228444,USA,Andrew Guerra,2021-10-23,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8289754,144144,New Zealand,Karl Tu'inukuafe,2021-10-30,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8289754,156702,New Zealand,Sevu Reece,2021-10-30,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8289754,165852,New Zealand,Samisoni Taukei'aho,2021-10-30,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8289754,188874,New Zealand,Tupou Vaa'i,2021-10-30,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8289754,60942,Wales,Gareth Davies,2021-10-30,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290384,101598,Scotland,Stuart McInally,2021-10-30,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290384,142308,Tonga,Onehunga Havili,2021-10-30,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8289763,132606,South Africa,Vincent Koch,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8289763,111564,Wales,WillGriff John,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8289763,111690,Wales,Liam Williams,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8289763,226830,Wales,Bradley Roberts,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8289763,60942,Wales,Gareth Davies,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290141,136914,France,Sekou Macalou,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290141,176748,France,Gregory Alldritt,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290231,142356,England,Alex Mitchell,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290231,144738,England,Will Stuart,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290231,121116,Tonga,Loni Uhila,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290231,211824,Tonga,Setafano Funaki,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290231,69804,Tonga,Ma'afu Fia,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290240,150960,Japan,Naoto Saito,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290240,151854,Japan,Rikiya Matsuda,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290249,128046,Italy,Luca Bigi,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290249,167196,Italy,Niccolo Cannone,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
